Flight Information:
Launch Date:            	      	                       	Sunday, 13 December 2020	        	                   	          	Launch Time: 	       	            	02:00:01  	       	     	End of Ascent:	     	         	01:53:31
Station name:           	      	                       	                        	        	                   	          	Serialnumber:	       	            	20028064
Ground Values:
Pressure:               	      	                       	1021.7 hPa              	        	                   	          	Temperature: 	       	            	9.1 °C    	       	     	Humidity:     	     	         	92 %
Wind direction:         	      	                       	0 °                     	        	                   	          	Wind speed:  	       	            	0 m/s     	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                       	-73.160 °               	        	                   	          	Latitude:    	       	            	-39.236 ° 	       	     	Altitude:     	     	         	3 m
Staff:
Company:                	      	                       	
Operator:               	      	                       	                        	        	                   	          	
Events:
Highest Point:          	      	                       	5.8 hPa                 	        	                   	          	34966 m
Tropopauses:            	      	                       	1.: 194.0 hPa           	        	                   	          	             	       	            	
Max Winds:              	      	                       	1.: 368.9 hPa           	        	                   	          	2.: 7.2 hPa  	       	            	
Remarks:

Profile Data:
Time                    	P     	T                      	Hu                      	Ws      	Wd                 	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa] 	[°C]                   	[%]                     	[m/s]   	[°]                	[°]       	[°]          	[m]    	[m]         	          	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	1021.7	9.1                    	92                      	0.0     	360                	-73.160438	-39.236300   	3      	3           	285.678   	285.207	7.9  	10.2          	0.0  	39.2     	180     	0      	1.261268
1                       	1021.0	9.4                    	91                      	2.3     	008                	-73.160434	-39.236321   	9      	9           	285.967   	284.633	8.1  	10.6          	5.5  	64.6     	174     	6      	1.258898
2                       	1020.4	9.8                    	90                      	2.3     	008                	-73.160431	-39.236343   	14     	14          	286.258   	284.060	8.3  	10.9          	5.5  	65.5     	173     	12     	1.256533
3                       	1019.7	10.1                   	90                      	2.3     	008                	-73.160427	-39.236364   	20     	20          	286.550   	283.488	8.5  	11.3          	5.5  	65.9     	173     	18     	1.254174
4                       	1019.0	10.5                   	89                      	2.3     	008                	-73.160424	-39.236385   	25     	25          	286.843   	282.918	8.7  	11.7          	5.5  	66.0     	173     	24     	1.251821
5                       	1018.3	10.8                   	88                      	2.3     	008                	-73.160420	-39.236407   	31     	31          	287.154   	282.350	8.9  	12.0          	5.5  	66.2     	173     	30     	1.249474
6                       	1017.7	11.2                   	87                      	2.3     	008                	-73.160416	-39.236428   	36     	36          	287.450   	281.783	9.2  	12.4          	5.5  	66.2     	173     	36     	1.247132
7                       	1017.0	11.3                   	87                      	2.2     	004                	-73.160413	-39.236449   	42     	42          	287.916   	281.384	9.2  	12.6          	5.5  	66.3     	173     	42     	1.245526
8                       	1016.3	11.4                   	86                      	2.2     	359                	-73.160409	-39.236471   	47     	47          	288.534   	281.140	9.1  	12.6          	5.5  	66.3     	173     	48     	1.244552
9                       	1015.6	11.4                   	85                      	2.1     	353                	-73.160406	-39.236492   	53     	53          	289.154   	280.896	9.1  	12.6          	5.5  	66.3     	173     	54     	1.243578
10                      	1015.0	11.5                   	85                      	2.0     	347                	-73.160402	-39.236513   	58     	58          	289.774   	280.652	9.0  	12.7          	5.5  	66.4     	173     	60     	1.242604
11                      	1014.3	11.5                   	84                      	1.9     	339                	-73.160398	-39.236535   	64     	64          	290.394   	280.409	8.9  	12.7          	5.5  	66.4     	173     	66     	1.241631
12                      	1013.6	11.5                   	84                      	1.8     	331                	-73.160395	-39.236556   	69     	69          	291.014   	280.165	8.9  	12.7          	5.5  	66.4     	173     	72     	1.240657
13                      	1013.0	11.6                   	83                      	1.7     	322                	-73.160391	-39.236577   	75     	75          	291.640   	279.927	8.8  	12.8          	5.5  	66.4     	173     	78     	1.239708
14                      	1012.3	11.6                   	83                      	1.6     	313                	-73.160388	-39.236599   	80     	80          	292.265   	279.690	8.8  	12.8          	5.5  	66.4     	173     	84     	1.238759
15                      	1011.7	11.6                   	82                      	1.6     	304                	-73.160384	-39.236620   	86     	86          	292.907   	279.452	8.7  	12.8          	5.5  	66.4     	173     	91     	1.237811
16                      	1011.0	11.7                   	82                      	1.6     	301                	-73.160380	-39.236641   	91     	91          	293.532   	279.214	8.6  	12.9          	5.5  	66.4     	173     	97     	1.236862
17                      	1010.4	11.7                   	81                      	1.8     	299                	-73.160341	-39.236645   	96     	96          	294.095   	278.976	8.6  	12.9          	5.1  	67.1     	168     	102    	1.235914
18                      	1009.7	11.7                   	80                      	1.9     	297                	-73.160300	-39.236648   	101    	101         	294.658   	278.738	8.5  	12.9          	5.1  	67.6     	163     	107    	1.234966
19                      	1009.1	11.8                   	80                      	2.0     	295                	-73.160259	-39.236651   	107    	106         	295.231   	278.511	8.4  	13.0          	5.1  	67.9     	159     	112    	1.234063
20                      	1008.5	11.8                   	79                      	2.1     	293                	-73.160217	-39.236654   	112    	112         	295.818   	278.297	8.4  	13.0          	5.1  	68.0     	154     	117    	1.233192
21                      	1007.9	11.8                   	79                      	2.2     	291                	-73.160176	-39.236656   	117    	117         	296.459   	278.137	8.3  	12.9          	5.1  	68.1     	150     	123    	1.232546
22                      	1007.3	11.8                   	79                      	2.3     	290                	-73.160135	-39.236659   	122    	122         	297.100   	277.977	8.2  	12.9          	5.1  	68.1     	147     	128    	1.231900
23                      	1006.7	11.7                   	78                      	2.4     	289                	-73.160094	-39.236662   	127    	127         	297.740   	277.817	8.1  	12.9          	5.1  	68.0     	144     	134    	1.231254
24                      	1006.1	11.7                   	78                      	2.5     	287                	-73.160053	-39.236665   	132    	132         	298.381   	277.657	8.0  	12.9          	5.1  	67.8     	141     	140    	1.230608
25                      	1005.4	11.7                   	78                      	2.6     	286                	-73.160011	-39.236667   	137    	137         	299.022   	277.497	7.9  	12.8          	5.1  	67.7     	138     	145    	1.229965
26                      	1004.8	11.7                   	77                      	2.7     	285                	-73.159970	-39.236670   	142    	142         	299.663   	277.337	7.8  	12.8          	5.1  	67.5     	136     	151    	1.229321
27                      	1004.2	11.6                   	77                      	2.8     	284                	-73.159929	-39.236673   	147    	147         	300.304   	277.177	7.7  	12.8          	5.1  	67.2     	134     	157    	1.228677
28                      	1003.6	11.6                   	77                      	2.9     	283                	-73.159888	-39.236676   	152    	152         	300.944   	277.018	7.6  	12.7          	5.1  	67.0     	132     	163    	1.228034
29                      	1003.0	11.6                   	76                      	3.0     	282                	-73.159846	-39.236678   	157    	157         	301.570   	276.858	7.5  	12.7          	5.1  	66.8     	130     	168    	1.227390
30                      	1002.4	11.6                   	76                      	3.0     	282                	-73.159805	-39.236681   	163    	162         	302.211   	276.698	7.4  	12.7          	5.1  	66.5     	128     	174    	1.226746
31                      	1001.8	11.5                   	75                      	3.1     	281                	-73.159764	-39.236684   	168    	168         	302.852   	276.539	7.3  	12.6          	5.1  	66.3     	126     	180    	1.226104
32                      	1001.2	11.5                   	75                      	3.2     	280                	-73.159723	-39.236687   	173    	173         	303.493   	276.379	7.3  	12.6          	5.1  	66.1     	125     	186    	1.225462
33                      	1000.6	11.5                   	75                      	3.2     	279                	-73.159681	-39.236690   	178    	178         	304.139   	276.224	7.2  	12.6          	5.1  	65.8     	124     	192    	1.224820
34                      	1000.0	11.4                   	75                      	3.3     	278                	-73.159640	-39.236692   	183    	183         	304.805   	276.090	7.1  	12.5          	5.1  	65.6     	123     	198    	1.224235
35                      	999.3 	11.4                   	75                      	3.4     	278                	-73.159599	-39.236695   	188    	188         	305.477   	275.961	7.1  	12.5          	5.1  	65.4     	121     	204    	1.223676
36                      	998.7 	11.4                   	74                      	3.5     	277                	-73.159558	-39.236698   	193    	193         	306.149   	275.832	7.0  	12.4          	5.1  	65.2     	120     	210    	1.223117
37                      	998.1 	11.3                   	74                      	3.5     	276                	-73.159516	-39.236701   	198    	198         	306.821   	275.704	6.9  	12.4          	5.1  	65.0     	119     	216    	1.222559
38                      	997.5 	11.3                   	74                      	3.6     	276                	-73.159475	-39.236703   	203    	203         	307.494   	275.576	6.9  	12.3          	5.1  	64.8     	119     	222    	1.222002
39                      	996.9 	11.2                   	74                      	3.7     	275                	-73.159434	-39.236706   	208    	208         	308.166   	275.447	6.8  	12.3          	5.1  	64.6     	118     	228    	1.221444
40                      	996.3 	11.2                   	74                      	3.7     	275                	-73.159393	-39.236709   	214    	213         	308.839   	275.319	6.7  	12.3          	5.1  	64.4     	117     	234    	1.220886
41                      	995.7 	11.1                   	74                      	3.8     	274                	-73.159351	-39.236712   	219    	219         	309.511   	275.191	6.7  	12.2          	5.1  	64.2     	116     	240    	1.220328
42                      	995.1 	11.1                   	74                      	3.9     	274                	-73.159310	-39.236715   	224    	224         	310.183   	275.062	6.6  	12.2          	5.1  	64.0     	115     	246    	1.219770
43                      	994.5 	11.1                   	74                      	4.0     	273                	-73.159269	-39.236717   	229    	229         	310.866   	274.945	6.5  	12.1          	5.1  	63.8     	115     	252    	1.219261
44                      	994.0 	11.0                   	74                      	4.0     	273                	-73.159228	-39.236720   	234    	234         	311.549   	274.827	6.5  	12.1          	5.1  	63.6     	114     	258    	1.218751
45                      	993.4 	11.0                   	73                      	4.1     	272                	-73.159186	-39.236723   	239    	239         	312.232   	274.709	6.4  	12.0          	5.1  	63.5     	114     	264    	1.218242
46                      	992.8 	10.9                   	73                      	4.2     	271                	-73.159133	-39.236718   	244    	243         	312.837   	274.592	6.4  	12.0          	4.6  	63.1     	113     	270    	1.217732
47                      	992.3 	10.9                   	73                      	4.2     	271                	-73.159071	-39.236708   	248    	248         	313.409   	274.473	6.3  	11.9          	4.4  	62.7     	111     	276    	1.217215
48                      	991.7 	10.8                   	73                      	4.3     	270                	-73.159010	-39.236699   	252    	252         	313.961   	274.350	6.2  	11.9          	4.4  	62.3     	110     	282    	1.216677
49                      	991.2 	10.8                   	73                      	4.3     	270                	-73.158949	-39.236690   	257    	257         	314.541   	274.239	6.2  	11.8          	4.4  	61.9     	109     	288    	1.216196
50                      	990.6 	10.8                   	73                      	4.4     	269                	-73.158888	-39.236680   	261    	261         	315.122   	274.129	6.1  	11.8          	4.4  	61.5     	108     	294    	1.215715
51                      	990.1 	10.7                   	73                      	4.4     	268                	-73.158826	-39.236671   	266    	265         	315.702   	274.018	6.1  	11.8          	4.4  	61.1     	107     	300    	1.215233
52                      	989.6 	10.7                   	73                      	4.5     	268                	-73.158765	-39.236661   	270    	270         	316.282   	273.908	6.0  	11.7          	4.4  	60.7     	106     	306    	1.214752
53                      	989.1 	10.7                   	73                      	4.5     	267                	-73.158704	-39.236652   	274    	274         	316.862   	273.797	6.0  	11.7          	4.4  	60.3     	105     	313    	1.214270
54                      	988.6 	10.6                   	73                      	4.6     	266                	-73.158643	-39.236642   	279    	279         	317.442   	273.686	5.9  	11.6          	4.4  	59.9     	104     	319    	1.213788
55                      	988.0 	10.6                   	72                      	4.6     	266                	-73.158581	-39.236633   	283    	283         	318.023   	273.576	5.9  	11.6          	4.4  	59.6     	103     	325    	1.213308
56                      	987.5 	10.6                   	72                      	4.7     	265                	-73.158520	-39.236623   	288    	287         	318.603   	273.466	5.8  	11.6          	4.4  	59.2     	102     	331    	1.212827
57                      	987.0 	10.5                   	72                      	4.8     	265                	-73.158459	-39.236614   	292    	292         	319.184   	273.355	5.8  	11.5          	4.4  	58.9     	102     	338    	1.212347
58                      	986.5 	10.5                   	72                      	4.8     	264                	-73.158398	-39.236604   	296    	296         	319.748   	273.245	5.7  	11.5          	4.4  	58.6     	101     	344    	1.211866
59                      	986.0 	10.4                   	72                      	4.9     	264                	-73.158336	-39.236595   	301    	300         	320.328   	273.134	5.6  	11.4          	4.4  	58.2     	100     	350    	1.211385
60                      	985.4 	10.4                   	72                      	4.9     	263                	-73.158275	-39.236585   	305    	305         	320.910   	273.025	5.6  	11.4          	4.4  	57.9     	100     	357    	1.210904
61                      	984.9 	10.4                   	72                      	5.0     	263                	-73.158214	-39.236576   	309    	309         	321.492   	272.916	5.6  	11.4          	4.4  	57.6     	099     	363    	1.210420
62                      	984.4 	10.3                   	72                      	5.0     	262                	-73.158152	-39.236567   	314    	314         	322.074   	272.807	5.5  	11.3          	4.4  	57.3     	099     	370    	1.209935
63                      	983.9 	10.3                   	72                      	5.1     	262                	-73.158091	-39.236557   	318    	318         	322.655   	272.698	5.5  	11.3          	4.4  	57.0     	098     	376    	1.209449
64                      	983.4 	10.3                   	72                      	5.2     	261                	-73.158030	-39.236548   	323    	322         	323.237   	272.589	5.4  	11.2          	4.4  	56.7     	098     	383    	1.208964
65                      	982.9 	10.2                   	72                      	5.2     	261                	-73.157969	-39.236538   	327    	327         	323.819   	272.480	5.4  	11.2          	4.4  	56.5     	097     	389    	1.208479
66                      	982.3 	10.2                   	72                      	5.2     	261                	-73.157907	-39.236529   	331    	331         	324.400   	272.371	5.3  	11.2          	4.4  	56.2     	097     	396    	1.207993
67                      	981.8 	10.2                   	72                      	5.3     	260                	-73.157846	-39.236519   	336    	336         	324.967   	272.262	5.3  	11.1          	4.4  	55.9     	096     	402    	1.207509
68                      	981.3 	10.1                   	72                      	5.3     	260                	-73.157785	-39.236510   	340    	340         	325.549   	272.153	5.3  	11.1          	4.4  	55.7     	096     	408    	1.207024
69                      	980.8 	10.1                   	72                      	5.3     	260                	-73.157724	-39.236500   	345    	344         	326.130   	272.044	5.2  	11.1          	4.4  	55.4     	096     	415    	1.206540
70                      	980.3 	10.1                   	72                      	5.3     	259                	-73.157662	-39.236491   	349    	349         	326.712   	271.935	5.2  	11.0          	4.4  	55.2     	095     	422    	1.206055
71                      	979.7 	10.0                   	72                      	5.3     	259                	-73.157601	-39.236481   	353    	353         	327.294   	271.826	5.1  	11.0          	4.4  	55.0     	095     	428    	1.205571
