Flight Information:
Launch Date:            	      	                       	Monday, 14 December 2020	     	                   	          	Launch Time: 	     	            	03:00:10 	       	     	End of Ascent:	     	         	01:40:49
Station name:           	      	                       	OKSTATE USRI            	     	                   	          	Serialnumber:	     	            	20028086
Ground values:
Pressure:               	      	                       	1021.1 hPa              	     	                   	          	Temperature: 	     	            	7.9 °C   	       	     	Humidity:     	     	         	96 %
Wind Direction:         	      	                       	0 °                     	     	                   	          	Wind Speed:  	     	            	0 m/s    	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                       	-73.160 °               	     	                   	          	Latitude:    	     	            	-39.236 °	       	     	Altitude:     	     	         	3 m
Staff:
Company:                	      	                       	
Operator:               	      	                       	                        	     	                   	          	
Events:
Highest Point:          	      	                       	7.2 hPa                 	     	                   	          	33388 m
Tropopauses:            	      	                       	1.: 197.2 hPa           	     	                   	          	             	     	            	
Max Winds:              	      	                       	1.: 210.1 hPa           	     	                   	          	2.: 11.0 hPa 	     	            	
Remarks:

Profile Data:
Time                    	P     	T                      	Hu                      	Ws   	Wd                 	Long.     	Lat.         	Alt  	Geopot      	MRI      	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range	D
[sec]                   	[hPa] 	[°C]                   	[%]                     	[m/s]	[°]                	[°]       	[°]          	[m]  	[m]         	         	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]  	[kg/m3]
0                       	1021.1	7.9                    	96                      	0.0  	000                	-73.160400	-39.236380   	3    	3           	286.938  	286.467	7.3  	9.0           	0.0  	39.2     	180     	0    	1.265910
1                       	1020.4	8.3                    	95                      	0.1  	303                	-73.160406	-39.236391   	8    	8           	287.182  	285.879	7.6  	9.4           	5.3  	73.7     	200     	6    	1.263440
2                       	1019.8	8.6                    	95                      	0.1  	303                	-73.160413	-39.236401   	14   	14          	287.445  	285.294	7.9  	9.7           	5.3  	75.1     	202     	11   	1.260977
3                       	1019.1	9.0                    	94                      	0.2  	303                	-73.160419	-39.236412   	19   	19          	287.693  	284.710	8.2  	10.1          	5.3  	75.5     	203     	17   	1.258522
4                       	1018.5	9.4                    	94                      	0.2  	303                	-73.160426	-39.236422   	24   	24          	287.943  	284.128	8.4  	10.5          	5.3  	75.7     	204     	22   	1.256073
5                       	1017.8	9.7                    	93                      	0.3  	303                	-73.160432	-39.236433   	30   	30          	288.211  	283.548	8.7  	10.9          	5.3  	75.8     	204     	28   	1.253631
6                       	1017.2	10.1                   	93                      	0.3  	303                	-73.160438	-39.236443   	35   	35          	288.464  	282.969	9.0  	11.3          	5.3  	75.9     	204     	33   	1.251196
7                       	1016.5	10.4                   	92                      	0.4  	303                	-73.160445	-39.236454   	40   	40          	288.853  	282.510	9.2  	11.6          	5.3  	76.0     	204     	39   	1.249282
8                       	1015.9	10.4                   	92                      	0.5  	303                	-73.160451	-39.236465   	46   	46          	289.402  	282.227	9.1  	11.7          	5.3  	76.0     	204     	44   	1.248141
9                       	1015.2	10.5                   	91                      	0.5  	303                	-73.160458	-39.236475   	51   	51          	289.950  	281.943	9.1  	11.7          	5.3  	76.0     	204     	50   	1.247001
10                      	1014.6	10.6                   	90                      	0.6  	303                	-73.160464	-39.236486   	56   	56          	290.514  	281.659	9.1  	11.8          	5.3  	76.1     	205     	55   	1.245863
11                      	1013.9	10.7                   	90                      	0.6  	303                	-73.160470	-39.236496   	62   	62          	291.062  	281.376	9.1  	11.9          	5.3  	76.1     	205     	61   	1.244725
12                      	1013.3	10.7                   	89                      	0.7  	303                	-73.160477	-39.236507   	67   	67          	291.611  	281.092	9.1  	12.0          	5.3  	76.1     	205     	66   	1.243589
13                      	1012.6	10.8                   	89                      	0.7  	303                	-73.160483	-39.236517   	72   	72          	292.176  	280.809	9.0  	12.0          	5.3  	76.1     	205     	72   	1.242452
14                      	1012.0	10.9                   	88                      	0.8  	303                	-73.160490	-39.236528   	78   	78          	292.725  	280.526	9.0  	12.1          	5.3  	76.1     	205     	77   	1.241316
15                      	1011.3	11.0                   	87                      	0.9  	303                	-73.160494	-39.236538   	83   	83          	293.274  	280.243	9.0  	12.2          	5.3  	76.2     	204     	83   	1.240181
16                      	1010.7	11.1                   	87                      	0.9  	303                	-73.160450	-39.236537   	88   	88          	293.840  	279.961	9.0  	12.3          	5.3  	77.9     	194     	88   	1.239047
17                      	1010.0	11.1                   	86                      	1.0  	303                	-73.160407	-39.236536   	94   	94          	294.390  	279.679	8.9  	12.4          	5.3  	79.0     	182     	93   	1.237914
