Flight Information:
Launch Date:            	      	                       	Monday, 14 December 2020	        	                       	          	Launch Time: 	       	            	05:00:00  	          	        	End of Ascent:	     	         	02:27:48
Station name:           	      	                       	OKSTATE USRI            	        	                       	          	Serialnumber:	       	            	20028067
Ground values:
Pressure:               	      	                       	1020.3 hPa              	        	                       	          	Temperature: 	       	            	9.5 °C    	          	        	Humidity:     	     	         	95 %
Wind Direction:         	      	                       	0 °                     	        	                       	          	Wind Speed:  	       	            	0 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                       	-73.160 °               	        	                       	          	Latitude:    	       	            	-39.236 ° 	          	        	Altitude:     	     	         	3 m
Staff:
Company:                	      	                       	
Operator:               	      	                       	                        	        	                       	          	
Events:
Highest Point:          	      	                       	4.6 hPa                 	        	                       	          	36696 m
Tropopauses:            	      	                       	1.: 205.5 hPa           	        	                       	          	2.: 75.9 hPa 	       	            	
Max Winds:              	      	                       	1.: 238.0 hPa           	        	                       	          	             	       	            	
Remarks:

Profile Data:
Time                    	P     	T                      	Hu                      	Ws      	Wd                     	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa] 	[°C]                   	[%]                     	[m/s]   	[°]                    	[°]       	[°]          	[m]    	[m]         	          	          	[°C]    	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	1020.3	9.5                    	95                      	0.0     	000                    	-73.160440	-39.236340   	3      	3           	285.024   	284.553   	8.7     	10.7          	0.0  	39.2     	180     	0      	1.257758
1                       	1019.8	9.7                    	94                      	0.1     	346                    	-73.160443	-39.236370   	7      	7           	285.259   	284.144   	8.7     	10.9          	4.1  	50.3     	184     	6      	1.256245
2                       	1019.3	9.9                    	92                      	0.2     	346                    	-73.160447	-39.236399   	11     	11          	285.494   	283.736   	8.7     	11.1          	4.1  	50.8     	185     	11     	1.254734
3                       	1018.8	10.1                   	91                      	0.3     	346                    	-73.160450	-39.236429   	15     	15          	285.730   	283.328   	8.7     	11.3          	4.1  	50.9     	185     	16     	1.253226
4                       	1018.3	10.3                   	89                      	0.4     	346                    	-73.160453	-39.236458   	19     	19          	285.967   	282.921   	8.6     	11.5          	4.1  	51.0     	185     	21     	1.251720
5                       	1017.8	10.5                   	88                      	0.5     	346                    	-73.160456	-39.236488   	24     	24          	286.205   	282.515   	8.6     	11.7          	4.1  	51.1     	185     	27     	1.250217
6                       	1017.3	10.7                   	87                      	0.6     	346                    	-73.160460	-39.236517   	28     	28          	286.443   	282.110   	8.6     	11.9          	4.1  	51.1     	185     	32     	1.248716
7                       	1016.8	10.8                   	85                      	0.8     	346                    	-73.160463	-39.236547   	32     	32          	286.789   	281.812   	8.4     	12.0          	4.1  	51.1     	185     	37     	1.247682
8                       	1016.3	10.8                   	85                      	0.9     	346                    	-73.160466	-39.236576   	36     	36          	287.240   	281.635   	8.4     	12.0          	4.1  	51.0     	185     	42     	1.246926
