Flight Information:
Launch Date:            	      	                       	Monday, 14 December 2020	     	                        	          	Launch Time: 	     	            	06:00:11 	       	     	End of Ascent:	     	         	02:01:18
Station name:           	      	                       	OKSTATE USRI            	     	                        	          	Serialnumber:	     	            	20027522
Ground values:
Pressure:               	      	                       	1010.5 hPa              	     	                        	          	Temperature: 	     	            	10.6 °C  	       	     	Humidity:     	     	         	92 %
Wind Direction:         	      	                       	0 °                     	     	                        	          	Wind Speed:  	     	            	0 m/s    	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                       	-73.160 °               	     	                        	          	Latitude:    	     	            	-39.236 °	       	     	Altitude:     	     	         	3 m
Staff:
Company:                	      	                       	
Operator:               	      	                       	                        	     	                        	          	
Events:
Highest Point:          	      	                       	4.9 hPa                 	     	                        	          	36062 m
Tropopauses:            	      	                       	1.: 197.1 hPa           	     	                        	          	2.: 136.8 hPa	     	            	
Max Winds:              	      	                       	1.: 223.7 hPa           	     	                        	          	2.: 13.6 hPa 	     	            	
Remarks:

Profile Data:
Time                    	P     	T                      	Hu                      	Ws   	Wd                      	Long.     	Lat.         	Alt  	Geopot      	MRI      	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range 	D
[sec]                   	[hPa] 	[°C]                   	[%]                     	[m/s]	[°]                     	[°]       	[°]          	[m]  	[m]         	         	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]   	[kg/m3]
0                       	1010.5	10.6                   	92                      	0.0  	000                     	-73.160410	-39.236280   	3    	3           	281.085  	280.614	9.4  	11.8          	0.0  	39.2     	180     	0     	1.240848
2                       	1009.4	10.7                   	91                      	0.1  	311                     	-73.160399	-39.236314   	12   	12          	282.040  	280.140	9.3  	12.0          	4.5  	65.5     	168     	10    	1.238989
4                       	1008.3	10.8                   	90                      	0.3  	311                     	-73.160389	-39.236349   	21   	21          	282.995  	279.667	9.2  	12.1          	4.5  	66.1     	167     	20    	1.237133
6                       	1007.2	10.9                   	88                      	0.4  	311                     	-73.160378	-39.236383   	30   	30          	283.952  	279.194	9.1  	12.2          	4.5  	66.3     	167     	30    	1.235280
8                       	1006.1	11.0                   	88                      	0.5  	311                     	-73.160367	-39.236417   	39   	39          	285.052  	278.866	9.0  	12.2          	4.5  	66.4     	167     	40    	1.233902
10                      	1005.0	10.9                   	88                      	0.7  	311                     	-73.160356	-39.236452   	49   	48          	286.200  	278.586	9.1  	12.2          	4.5  	66.4     	167     	50    	1.232601
12                      	1003.9	10.9                   	88                      	0.8  	311                     	-73.160346	-39.236486   	58   	58          	287.349  	278.306	9.1  	12.2          	4.5  	66.5     	167     	60    	1.231301
14                      	1002.8	10.9                   	88                      	0.9  	311                     	-73.160335	-39.236520   	67   	67          	288.491  	278.019	9.1  	12.2          	4.5  	66.5     	167     	70    	1.229970
16                      	1001.7	10.9                   	89                      	1.0  	311                     	-73.160289	-39.236554   	76   	76          	289.649  	277.732	9.1  	12.2          	4.6  	66.0     	161     	80    	1.228641
