Flight Information:
Launch Date:            	      	                       	Monday, 14 December 2020	     	                        	          	Launch Time: 	     	            	09:00:03  	          	        	End of Ascent:	     	         	01:52:44
Station name:           	      	                       	OKSTATE USRI            	     	                        	          	Serialnumber:	     	            	20027511
Ground values:
Pressure:               	      	                       	1017.3 hPa              	     	                        	          	Temperature: 	     	            	10.9 °C   	          	        	Humidity:     	     	         	99 %
Wind Direction:         	      	                       	314 °                   	     	                        	          	Wind Speed:  	     	            	1 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                       	-73.161 °               	     	                        	          	Latitude:    	     	            	-39.236 ° 	          	        	Altitude:     	     	         	3 m
Staff:
Company:                	      	                       	
Operator:               	      	                       	                        	     	                        	          	
Events:
Highest Point:          	      	                       	5.9 hPa                 	     	                        	          	34862 m
Tropopauses:            	      	                       	1.: 207.7 hPa           	     	                        	          	2.: 113.7 hPa	     	            	
Max Winds:              	      	                       	1.: 199.2 hPa           	     	                        	          	2.: 12.6 hPa 	     	            	
Remarks:

Profile Data:
Time                    	P     	T                      	Hu                      	Ws   	Wd                      	Long.     	Lat.         	Alt  	Geopot      	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range   	D
[sec]                   	[hPa] 	[°C]                   	[%]                     	[m/s]	[°]                     	[°]       	[°]          	[m]  	[m]         	          	          	[°C]    	[°C]          	[m/s]	[°]      	[°]     	[m]     	[kg/m3]
0                       	1017.3	10.9                   	99                      	1.1  	314                     	-73.160530	90.000000    	3    	3           	282.965   	282.494   	10.7    	12.3          	0.0  	-64.7    	000     	11488939	1.247879
1                       	1016.8	10.9                   	99                      	1.3  	320                     	-73.160523	81.088223    	7    	7           	283.472   	282.357   	10.7    	12.2          	4.1  	-60.3    	000     	11026103	1.247320
2                       	1016.3	10.9                   	98                      	1.5  	325                     	-73.160516	72.176447    	11   	11          	283.978   	282.220   	10.6    	12.2          	4.1  	-55.8    	000     	10496857	1.246762
3                       	1015.8	10.9                   	98                      	1.7  	328                     	-73.160509	63.264670    	15   	15          	284.500   	282.082   	10.6    	12.2          	4.1  	-51.3    	000     	9904671 	1.246205
4                       	1015.3	10.8                   	98                      	1.9  	331                     	-73.160501	54.352894    	20   	20          	285.007   	281.945   	10.5    	12.2          	4.1  	-46.8    	000     	9253392 	1.245647
5                       	1014.8	10.8                   	98                      	2.1  	333                     	-73.160494	45.441117    	24   	24          	285.513   	281.808   	10.5    	12.2          	4.1  	-42.3    	000     	8547178 	1.245090
6                       	1014.3	10.8                   	97                      	2.3  	335                     	-73.160487	36.529341    	28   	28          	286.020   	281.671   	10.4    	12.2          	4.1  	-37.9    	000     	7790432 	1.244533
7                       	1013.8	10.8                   	97                      	2.5  	337                     	-73.160480	27.617564    	32   	32          	286.536   	281.543   	10.4    	12.1          	4.1  	-33.4    	000     	6987750 	1.243996
8                       	1013.3	10.8                   	97                      	2.7  	338                     	-73.160473	18.705788    	36   	36          	287.075   	281.423   	10.3    	12.1          	4.1  	-29.0    	000     	6143873 	1.243464
