Flight Information:
Launch Date:            	      	                       	Monday, 14 December 2020	     	                       	          	Launch Time: 	     	            	00:03:09 	       	     	End of Ascent:	     	         	01:31:28
Station name:           	      	                       	OKSTATE USRI            	     	                       	          	Serialnumber:	     	            	20027392
Ground values:
Pressure:               	      	                       	1020.5 hPa              	     	                       	          	Temperature: 	     	            	12.6 °C  	       	     	Humidity:     	     	         	75 %
Wind Direction:         	      	                       	345 °                   	     	                       	          	Wind Speed:  	     	            	0 m/s    	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                       	-73.160 °               	     	                       	          	Latitude:    	     	            	-39.236 °	       	     	Altitude:     	     	         	3 m
Staff:
Company:                	      	                       	
Operator:               	      	                       	                        	     	                       	          	
Events:
Highest Point:          	      	                       	7.5 hPa                 	     	                       	          	33130 m
Tropopauses:            	      	                       	1.: 190.4 hPa           	     	                       	          	2.: 71.1 hPa 	     	            	
Max Winds:              	      	                       	1.: 185.3 hPa           	     	                       	          	2.: 9.6 hPa  	     	            	
Remarks:

Profile Data:
Time                    	P     	T                      	Hu                      	Ws   	Wd                     	Long.     	Lat.         	Alt  	Geopot      	MRI      	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range   	D
[sec]                   	[hPa] 	[°C]                   	[%]                     	[m/s]	[°]                    	[°]       	[°]          	[m]  	[m]         	         	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]     	[kg/m3]
0                       	1020.5	12.6                   	75                      	0.4  	345                    	-73.160450	90.000000    	3    	3           	281.030  	280.559	8.3  	13.8          	0.0  	-64.7    	000     	11488936	1.244357
1                       	1019.8	12.6                   	74                      	0.6  	316                    	-73.160407	81.684378    	8    	8           	281.690  	280.371	8.2  	13.7          	5.4  	-60.6    	000     	11059171	1.243639
2                       	1019.2	12.6                   	74                      	0.8  	288                    	-73.160365	73.368755    	14   	14          	282.350  	280.184	8.0  	13.7          	5.4  	-56.4    	000     	10571390	1.242921
3                       	1018.5	12.5                   	73                      	0.9  	271                    	-73.160322	65.053133    	19   	19          	283.010  	279.996	7.9  	13.7          	5.4  	-52.2    	000     	10028381	1.242204
4                       	1017.9	12.5                   	73                      	1.1  	261                    	-73.160280	56.737510    	25   	25          	283.686  	279.808	7.7  	13.6          	5.4  	-48.0    	000     	9433221 	1.241488
5                       	1017.2	12.5                   	72                      	1.3  	254                    	-73.160237	48.421888    	30   	30          	284.346  	279.621	7.6  	13.6          	5.4  	-43.8    	000     	8789236 	1.240771
6                       	1016.6	12.5                   	71                      	1.5  	250                    	-73.160195	40.106265    	36   	36          	285.007  	279.433	7.4  	13.6          	5.4  	-39.7    	000     	8099948 	1.240055
7                       	1015.9	12.5                   	71                      	1.6  	247                    	-73.160152	31.790643    	41   	41          	285.666  	279.245	7.3  	13.6          	5.4  	-35.5    	000     	7369039 	1.239336
8                       	1015.3	12.4                   	70                      	1.8  	245                    	-73.160110	23.475020    	46   	46          	286.338  	279.068	7.2  	13.5          	5.4  	-31.3    	000     	6600314 	1.238610
9                       	1014.6	12.4                   	70                      	2.0  	243                    	-73.160067	15.159398    	52   	52          	287.017  	278.900	7.2  	13.5          	5.4  	-27.2    	000     	5797675 	1.237884
10                      	1013.9	12.4                   	70                      	2.2  	242                    	-73.160024	6.843776     	57   	57          	287.696  	278.731	7.1  	13.5          	5.4  	-23.0    	000     	4965115 	1.237159
11                      	1013.3	12.4                   	70                      	2.3  	240                    	-73.159982	-1.471847    	63   	63          	288.391  	278.563	7.1  	13.5          	5.4  	-18.9    	000     	4106706 	1.236434
12                      	1012.6	12.4                   	70                      	2.5  	240                    	-73.159939	-9.787469    	68   	68          	289.070  	278.394	7.0  	13.5          	5.4  	-14.7    	000     	3226614 	1.235709
13                      	1012.0	12.4                   	69                      	2.7  	239                    	-73.159897	-18.103092   	73   	73          	289.752  	278.228	7.0  	13.4          	5.4  	-10.6    	000     	2329105 	1.234995
