Flight Information:
Launch Date:            	     	                       	Monday, 14 December 2020	        	                   	          	Launch Time: 	       	            	02:02:04  	       	     	End of Ascent:	     	         	02:13:47
Station name:           	     	                       	                        	        	                   	          	Serialnumber:	       	            	20028124
Ground values:
Pressure:               	     	                       	989.0 hPa               	        	                   	          	Temperature: 	       	            	10.3 °C   	       	     	Humidity:     	     	         	78 %
Wind Direction:         	     	                       	48 °                    	        	                   	          	Wind Speed:  	       	            	0 m/s     	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-72.105 °               	        	                   	          	Latitude:    	       	            	-39.308 ° 	       	     	Altitude:     	     	         	274 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                        	        	                   	          	
Events:
Highest Point:          	     	                       	236.7 hPa               	        	                   	          	35601 m
Tropopauses:            	     	                       	                        	        	                   	          	             	       	            	
Max Winds:              	     	                       	1.: 308.6 hPa           	        	                   	          	             	       	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                      	Ws      	Wd                 	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                   	[%]                     	[m/s]   	[°]                	[°]       	[°]          	[m]    	[m]         	          	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	989.0	10.3                   	78                      	0.3     	048                	-72.105178	-39.307566   	274    	274         	317.444   	274.379	6.6  	11.4          	0.0  	39.3     	180     	0      	1.215732
1                       	988.5	10.2                   	78                      	0.4     	030                	-72.105126	-39.307562   	279    	279         	318.026   	274.302	6.5  	11.3          	4.2  	45.3     	090     	6      	1.215452
2                       	988.0	10.1                   	77                      	0.5     	349                	-72.105075	-39.307558   	283    	283         	318.608   	274.224	6.4  	11.2          	4.2  	44.3     	087     	12     	1.215173
3                       	987.5	10.1                   	77                      	0.6     	306                	-72.105023	-39.307555   	287    	287         	319.189   	274.146	6.2  	11.1          	4.2  	43.9     	086     	19     	1.214893
4                       	987.0	10.0                   	76                      	0.7     	286                	-72.104971	-39.307551   	291    	291         	319.787   	274.068	6.1  	11.0          	4.2  	43.9     	086     	25     	1.214614
5                       	986.5	9.9                    	76                      	0.8     	277                	-72.104920	-39.307548   	295    	295         	320.368   	273.991	5.9  	10.9          	4.2  	43.7     	086     	31     	1.214335
6                       	986.0	9.8                    	76                      	1.0     	272                	-72.104868	-39.307544   	300    	300         	320.950   	273.913	5.8  	10.8          	4.2  	43.6     	086     	37     	1.214056
7                       	985.5	9.8                    	75                      	1.1     	269                	-72.104816	-39.307540   	304    	304         	321.463   	273.766	5.7  	10.8          	4.2  	43.6     	085     	43     	1.213475
8                       	985.0	9.8                    	75                      	1.2     	267                	-72.104764	-39.307537   	308    	308         	321.972   	273.616	5.6  	10.8          	4.2  	43.5     	085     	49     	1.212861
