Flight Information:
Launch Date:            	     	                       	Monday, 14 December 2020	        	                       	          	Launch Time: 	       	            	06:03:14  	       	     	End of Ascent:	     	         	02:36:36
Station name:           	     	                       	                        	        	                       	          	Serialnumber:	       	            	20026236
Ground values:
Pressure:               	     	                       	987.9 hPa               	        	                       	          	Temperature: 	       	            	9.0 °C    	       	     	Humidity:     	     	         	9 %
Wind Direction:         	     	                       	0 °                     	        	                       	          	Wind Speed:  	       	            	0 m/s     	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-72.105 °               	        	                       	          	Latitude:    	       	            	-39.308 ° 	       	     	Altitude:     	     	         	276 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                        	        	                       	          	
Events:
Highest Point:          	     	                       	9.0 hPa                 	        	                       	          	32747 m
Tropopauses:            	     	                       	1.: 136.2 hPa           	        	                       	          	2.: 85.5 hPa 	       	            	
Max Winds:              	     	                       	1.: 498.4 hPa           	        	                       	          	2.: 16.5 hPa 	       	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                      	Ws      	Wd                     	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                   	[%]                     	[m/s]   	[°]                    	[°]       	[°]          	[m]    	[m]         	          	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	987.9	9.0                    	9                       	0.0     	000                    	-72.105030	-39.307547   	276    	276         	315.457   	272.125	-22.1	9.1           	0.0  	39.3     	180     	0      	1.219975
1                       	987.5	8.9                    	11                      	0.1     	252                    	-72.105013	-39.307533   	280    	280         	316.092   	272.210	-19.4	9.1           	3.5  	63.7     	050     	4      	1.219838
2                       	987.1	8.8                    	14                      	0.1     	252                    	-72.104996	-39.307518   	283    	283         	316.727   	272.296	-17.2	9.0           	3.5  	61.2     	046     	8      	1.219701
3                       	986.6	8.7                    	16                      	0.2     	252                    	-72.104980	-39.307504   	287    	287         	317.362   	272.381	-15.3	8.9           	3.5  	60.4     	045     	12     	1.219563
4                       	986.2	8.6                    	19                      	0.3     	252                    	-72.104963	-39.307490   	290    	290         	317.997   	272.467	-13.7	8.9           	3.5  	60.0     	044     	17     	1.219426
5                       	985.8	8.6                    	21                      	0.4     	252                    	-72.104946	-39.307476   	294    	294         	318.648   	272.553	-12.2	8.8           	3.5  	59.8     	044     	21     	1.219290
6                       	985.4	8.5                    	24                      	0.4     	252                    	-72.104929	-39.307462   	297    	297         	319.284   	272.639	-11.0	8.8           	3.5  	59.6     	044     	25     	1.219153
7                       	985.0	8.4                    	26                      	0.5     	252                    	-72.104913	-39.307448   	301    	301         	319.889   	272.695	-9.8 	8.7           	3.5  	59.5     	044     	29     	1.218878
8                       	984.6	8.4                    	29                      	0.6     	252                    	-72.104896	-39.307434   	304    	304         	320.449   	272.705	-8.6 	8.8           	3.5  	59.4     	043     	33     	1.218403
9                       	984.1	8.4                    	31                      	0.6     	252                    	-72.104879	-39.307419   	308    	308         	321.009   	272.715	-7.6 	8.8           	3.5  	59.3     	043     	37     	1.217928
10                      	983.7	8.4                    	34                      	0.7     	252                    	-72.104862	-39.307405   	311    	311         	321.569   	272.726	-6.6 	8.8           	3.5  	59.2     	043     	41     	1.217453
11                      	983.3	8.4                    	36                      	0.8     	252                    	-72.104846	-39.307391   	315    	315         	322.129   	272.736	-5.7 	8.8           	3.5  	59.2     	043     	45     	1.216979
12                      	982.9	8.4                    	39                      	0.8     	252                    	-72.104829	-39.307377   	318    	318         	322.689   	272.747	-4.9 	8.8           	3.5  	59.1     	043     	49     	1.216504
13                      	982.5	8.4                    	41                      	0.9     	252                    	-72.104812	-39.307363   	322    	322         	323.261   	272.754	-4.1 	8.8           	3.5  	59.1     	043     	54     	1.216015
14                      	982.0	8.4                    	44                      	1.0     	252                    	-72.104796	-39.307349   	325    	325         	323.818   	272.762	-3.3 	8.9           	3.5  	59.1     	043     	58     	1.215526
15                      	981.6	8.3                    	46                      	1.1     	252                    	-72.104779	-39.307334   	329    	329         	324.375   	272.769	-2.6 	8.9           	3.5  	59.1     	043     	62     	1.215038
16                      	981.2	8.3                    	48                      	1.1     	252                    	-72.104742	-39.307342   	332    	332         	324.948   	272.777	-1.9 	8.9           	3.6  	59.5     	048     	66     	1.214549
17                      	980.7	8.3                    	51                      	1.2     	252                    	-72.104704	-39.307352   	336    	336         	325.552   	272.784	-1.2 	8.9           	3.8  	59.7     	053     	70     	1.214061
18                      	980.3	8.3                    	53                      	1.3     	252                    	-72.104666	-39.307362   	340    	340         	326.140   	272.792	-0.6 	8.9           	3.8  	59.8     	057     	74     	1.213572
19                      	979.9	8.3                    	56                      	1.3     	252                    	-72.104627	-39.307371   	344    	343         	326.739   	272.794	0.0  	9.0           	3.8  	59.7     	061     	79     	1.213061
20                      	979.4	8.3                    	58                      	1.4     	252                    	-72.104589	-39.307381   	347    	347         	327.338   	272.797	0.6  	9.0           	3.8  	59.6     	065     	83     	1.212549
21                      	979.0	8.3                    	61                      	1.5     	252                    	-72.104551	-39.307391   	351    	351         	327.942   	272.819	1.2  	9.0           	3.8  	59.4     	068     	88     	1.212128
22                      	978.5	8.2                    	63                      	1.5     	252                    	-72.104512	-39.307400   	355    	355         	328.562   	272.843	1.7  	9.0           	3.8  	59.1     	070     	92     	1.211707
23                      	978.1	8.2                    	66                      	1.6     	252                    	-72.104474	-39.307410   	359    	358         	329.182   	272.866	2.2  	9.0           	3.8  	58.9     	073     	97     	1.211287
24                      	977.6	8.2                    	68                      	1.7     	252                    	-72.104436	-39.307420   	362    	362         	329.786   	272.889	2.7  	9.0           	3.8  	58.5     	075     	102    	1.210867
25                      	977.2	8.1                    	71                      	1.8     	252                    	-72.104398	-39.307430   	366    	366         	330.406   	272.913	3.1  	9.0           	3.8  	58.3     	077     	106    	1.210447
26                      	976.7	8.1                    	73                      	1.8     	252                    	-72.104359	-39.307439   	370    	370         	331.026   	272.936	3.6  	9.0           	3.8  	58.0     	079     	111    	1.210027
27                      	976.3	8.1                    	76                      	1.9     	252                    	-72.104321	-39.307449   	374    	374         	331.631   	272.960	4.0  	9.0           	3.8  	57.7     	080     	116    	1.209607
28                      	975.9	8.0                    	78                      	2.0     	252                    	-72.104283	-39.307459   	378    	377         	332.251   	272.984	4.5  	9.0           	3.8  	57.4     	082     	121    	1.209187
29                      	975.4	8.0                    	81                      	2.0     	252                    	-72.104244	-39.307468   	381    	381         	332.872   	273.007	4.9  	9.0           	3.8  	57.1     	083     	126    	1.208768
30                      	975.0	8.0                    	83                      	2.1     	252                    	-72.104206	-39.307478   	385    	385         	333.476   	273.031	5.3  	9.0           	3.8  	56.8     	084     	131    	1.208349
31                      	974.5	8.0                    	85                      	2.2     	255                    	-72.104168	-39.307488   	389    	389         	334.097   	273.055	5.7  	9.0           	3.8  	56.6     	085     	135    	1.207930
