Flight Information:
Launch Date:            	     	                       	Monday, 14 December 2020	        	                   	          	Launch Time: 	       	            	11:02:05  	          	        	End of Ascent:	     	         	01:42:22
Station name:           	     	                       	                        	        	                   	          	Serialnumber:	       	            	20028172
Ground values:
Pressure:               	     	                       	985.1 hPa               	        	                   	          	Temperature: 	       	            	8.7 °C    	          	        	Humidity:     	     	         	98 %
Wind Direction:         	     	                       	8 °                     	        	                   	          	Wind Speed:  	       	            	1 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-72.105 °               	        	                   	          	Latitude:    	       	            	-39.308 ° 	          	        	Altitude:     	     	         	278 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                        	        	                   	          	
Events:
Highest Point:          	     	                       	19.8 hPa                	        	                   	          	33464 m
Tropopauses:            	     	                       	                        	        	                   	          	             	       	            	
Max Winds:              	     	                       	1.: 358.7 hPa           	        	                   	          	             	       	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                      	Ws      	Wd                 	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                   	[%]                     	[m/s]   	[°]                	[°]       	[°]          	[m]    	[m]         	          	          	[°C]    	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	985.1	8.7                    	98                      	0.5     	008                	-72.105211	-39.307585   	278    	278         	319.406   	275.823   	8.4     	9.9           	0.0  	39.3     	180     	0      	1.217812
1                       	984.6	8.6                    	97                      	0.5     	005                	-72.105188	-39.307567   	282    	282         	320.002   	275.744   	8.2     	9.8           	4.3  	60.8     	052     	5      	1.217606
2                       	984.1	8.5                    	96                      	0.6     	360                	-72.105164	-39.307549   	286    	286         	320.598   	275.665   	8.0     	9.7           	4.3  	58.9     	049     	10     	1.217400
3                       	983.6	8.4                    	96                      	0.6     	354                	-72.105141	-39.307532   	291    	291         	321.194   	275.586   	7.8     	9.5           	4.3  	58.2     	048     	16     	1.217194
4                       	983.1	8.3                    	95                      	0.7     	345                	-72.105117	-39.307514   	295    	295         	321.790   	275.507   	7.5     	9.4           	4.3  	57.9     	047     	21     	1.216988
5                       	982.5	8.2                    	94                      	0.7     	331                	-72.105094	-39.307497   	299    	299         	322.386   	275.428   	7.3     	9.3           	4.3  	57.6     	047     	26     	1.216783
6                       	982.0	8.1                    	93                      	0.7     	310                	-72.105070	-39.307479   	303    	303         	322.983   	275.349   	7.1     	9.2           	4.3  	57.5     	047     	31     	1.216578
7                       	981.5	8.1                    	93                      	0.8     	286                	-72.105047	-39.307461   	308    	308         	323.548   	275.224   	6.9     	9.1           	4.3  	57.5     	047     	36     	1.216173
8                       	981.0	8.0                    	93                      	0.8     	266                	-72.105023	-39.307444   	312    	312         	324.111   	275.111   	6.9     	9.1           	4.3  	57.4     	047     	41     	1.215664
9                       	980.5	8.0                    	93                      	0.9     	251                	-72.105000	-39.307426   	316    	316         	324.674   	274.999   	6.9     	9.1           	4.3  	57.3     	047     	46     	1.215156
10                      	980.0	8.0                    	93                      	0.9     	242                	-72.104976	-39.307409   	321    	321         	325.236   	274.886   	6.8     	9.0           	4.3  	57.3     	047     	52     	1.214648
11                      	979.5	7.9                    	93                      	0.9     	235                	-72.104953	-39.307391   	325    	325         	325.799   	274.774   	6.8     	9.0           	4.3  	57.2     	046     	57     	1.214141
12                      	979.0	7.9                    	93                      	1.0     	231                	-72.104930	-39.307373   	329    	329         	326.362   	274.662   	6.8     	9.0           	4.3  	57.2     	046     	62     	1.213633
13                      	978.5	7.9                    	93                      	1.0     	228                	-72.104906	-39.307356   	334    	333         	326.920   	274.544   	6.8     	9.0           	4.3  	57.2     	046     	67     	1.213102
14                      	977.9	7.9                    	93                      	1.1     	225                	-72.104883	-39.307338   	338    	338         	327.477   	274.427   	6.7     	8.9           	4.3  	57.2     	046     	72     	1.212570
15                      	977.4	7.8                    	93                      	1.1     	223                	-72.104859	-39.307321   	342    	342         	328.066   	274.309   	6.7     	8.9           	4.5  	57.2     	046     	77     	1.212039
16                      	976.9	7.8                    	93                      	1.1     	222                	-72.104835	-39.307319   	347    	347         	328.671   	274.192   	6.7     	8.9           	4.5  	58.0     	048     	82     	1.211508
17                      	976.3	7.8                    	93                      	1.2     	220                	-72.104811	-39.307319   	352    	351         	329.260   	274.075   	6.6     	8.8           	4.5  	58.7     	050     	87     	1.210978
18                      	975.8	7.7                    	93                      	1.2     	219                	-72.104786	-39.307320   	356    	356         	329.865   	273.957   	6.6     	8.8           	4.5  	59.3     	052     	92     	1.210447
19                      	975.3	7.7                    	93                      	1.3     	218                	-72.104762	-39.307320   	361    	360         	330.451   	273.837   	6.6     	8.8           	4.5  	59.9     	053     	96     	1.209904
20                      	974.7	7.7                    	93                      	1.3     	218                	-72.104738	-39.307321   	365    	365         	331.061   	273.724   	6.6     	8.7           	4.5  	60.3     	055     	101    	1.209385
21                      	974.2	7.6                    	93                      	1.3     	217                	-72.104713	-39.307321   	370    	370         	331.660   	273.617   	6.5     	8.7           	4.5  	60.7     	056     	106    	1.208879
22                      	973.7	7.6                    	93                      	1.4     	216                	-72.104689	-39.307321   	374    	374         	332.275   	273.510   	6.5     	8.7           	4.5  	61.1     	057     	111    	1.208374
23                      	973.1	7.6                    	93                      	1.4     	216                	-72.104664	-39.307322   	379    	379         	332.874   	273.402   	6.5     	8.6           	4.5  	61.4     	059     	116    	1.207868
24                      	972.6	7.5                    	93                      	1.5     	215                	-72.104640	-39.307322   	383    	383         	333.489   	273.295   	6.5     	8.6           	4.5  	61.7     	060     	120    	1.207363
25                      	972.1	7.5                    	93                      	1.5     	215                	-72.104616	-39.307323   	388    	388         	334.088   	273.187   	6.4     	8.5           	4.5  	62.0     	061     	125    	1.206857
26                      	971.5	7.5                    	93                      	1.5     	215                	-72.104591	-39.307323   	393    	392         	334.703   	273.080   	6.4     	8.5           	4.5  	62.2     	062     	130    	1.206351
27                      	971.0	7.4                    	93                      	1.6     	214                	-72.104567	-39.307323   	397    	397         	335.302   	272.973   	6.4     	8.5           	4.5  	62.4     	063     	135    	1.205846
28                      	970.5	7.4                    	93                      	1.6     	214                	-72.104543	-39.307324   	402    	401         	335.917   	272.865   	6.4     	8.4           	4.5  	62.6     	064     	140    	1.205341
29                      	969.9	7.3                    	93                      	1.7     	214                	-72.104518	-39.307324   	406    	406         	336.516   	272.758   	6.4     	8.4           	4.5  	62.8     	064     	145    	1.204836
30                      	969.4	7.3                    	93                      	1.7     	213                	-72.104494	-39.307325   	411    	410         	337.131   	272.651   	6.3     	8.4           	4.5  	63.0     	065     	150    	1.204332
31                      	968.9	7.3                    	94                      	1.8     	217                	-72.104470	-39.307325   	415    	415         	337.730   	272.544   	6.3     	8.3           	4.5  	63.1     	066     	155    	1.203827
32                      	968.3	7.2                    	94                      	1.8     	222                	-72.104445	-39.307325   	420    	420         	338.330   	272.437   	6.3     	8.3           	4.5  	63.2     	067     	160    	1.203323
33                      	967.8	7.2                    	94                      	1.9     	226                	-72.104421	-39.307326   	424    	424         	338.942   	272.327   	6.3     	8.2           	4.5  	63.3     	067     	164    	1.202805
34                      	967.2	7.2                    	94                      	1.9     	231                	-72.104397	-39.307326   	429    	429         	339.526   	272.204   	6.2     	8.2           	4.5  	63.4     	068     	169    	1.202244
35                      	966.7	7.2                    	94                      	2.0     	236                	-72.104372	-39.307326   	433    	433         	340.126   	272.082   	6.2     	8.2           	4.5  	63.5     	069     	174    	1.201684
36                      	966.2	7.1                    	94                      	2.1     	241                	-72.104348	-39.307327   	438    	438         	340.710   	271.960   	6.2     	8.2           	4.5  	63.6     	069     	179    	1.201124
37                      	965.7	7.1                    	94                      	2.1     	246                	-72.104323	-39.307327   	443    	442         	341.311   	271.838   	6.2     	8.1           	4.5  	63.7     	070     	184    	1.200564
38                      	965.1	7.1                    	94                      	2.2     	251                	-72.104299	-39.307328   	447    	447         	341.895   	271.716   	6.2     	8.1           	4.5  	63.8     	070     	189    	1.200004
39                      	964.6	7.1                    	94                      	2.2     	256                	-72.104275	-39.307328   	452    	451         	342.495   	271.594   	6.2     	8.1           	4.5  	63.9     	071     	194    	1.199445
40                      	964.1	7.0                    	94                      	2.3     	260                	-72.104250	-39.307328   	456    	456         	343.080   	271.472   	6.1     	8.1           	4.5  	63.9     	071     	199    	1.198885
41                      	963.5	7.0                    	94                      	2.4     	264                	-72.104226	-39.307329   	461    	460         	343.680   	271.350   	6.1     	8.0           	4.5  	64.0     	072     	204    	1.198326
42                      	963.0	7.0                    	94                      	2.4     	268                	-72.104202	-39.307329   	465    	465         	344.265   	271.228   	6.1     	8.0           	4.5  	64.0     	072     	209    	1.197768
43                      	962.5	7.0                    	94                      	2.5     	272                	-72.104177	-39.307330   	470    	470         	344.871   	271.112   	6.1     	8.0           	4.5  	64.1     	073     	214    	1.197233
44                      	962.0	6.9                    	94                      	2.5     	276                	-72.104153	-39.307330   	474    	474         	345.461   	270.996   	6.1     	8.0           	4.5  	64.2     	073     	219    	1.196699
45                      	961.5	6.9                    	94                      	2.6     	279                	-72.104129	-39.307330   	479    	479         	346.067   	270.879   	6.0     	7.9           	4.5  	64.2     	073     	224    	1.196166
46                      	960.9	6.9                    	94                      	2.7     	282                	-72.104091	-39.307361   	483    	483         	346.610   	270.763   	6.0     	7.9           	4.2  	64.2     	076     	229    	1.195632
47                      	960.4	6.9                    	94                      	2.7     	284                	-72.104052	-39.307395   	487    	487         	347.152   	270.646   	6.0     	7.9           	4.2  	64.1     	078     	234    	1.195097
48                      	959.9	6.8                    	94                      	2.8     	287                	-72.104013	-39.307428   	492    	491         	347.694   	270.528   	6.0     	7.9           	4.2  	63.9     	081     	238    	1.194563
