Flight Information:
Launch Date:            	     	                       	Monday, 14 December 2020	        	                        	          	Launch Time: 	       	            	14:32:09  	       	     	End of Ascent:	     	         	00:50:50
Station name:           	     	                       	                        	        	                        	          	Serialnumber:	       	            	20027748
Ground values:
Pressure:               	     	                       	984.5 hPa               	        	                        	          	Temperature: 	       	            	9.9 °C    	       	     	Humidity:     	     	         	98 %
Wind Direction:         	     	                       	45 °                    	        	                        	          	Wind Speed:  	       	            	1 m/s     	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-72.105 °               	        	                        	          	Latitude:    	       	            	-39.308 ° 	       	     	Altitude:     	     	         	276 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                        	        	                        	          	
Events:
Highest Point:          	     	                       	79.6 hPa                	        	                        	          	17750 m
Tropopauses:            	     	                       	1.: 217.8 hPa           	        	                        	          	2.: 123.6 hPa	       	            	
Max Winds:              	     	                       	1.: 247.9 hPa           	        	                        	          	             	       	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                      	Ws      	Wd                      	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                   	[%]                     	[m/s]   	[°]                     	[°]       	[°]          	[m]    	[m]         	          	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	984.5	9.9                    	98                      	0.6     	045                     	-72.105062	-39.307581   	276    	276         	317.802   	274.470	9.6  	11.2          	0.0  	39.3     	180     	0      	1.211911
1                       	984.0	9.8                    	97                      	0.6     	045                     	-72.105067	-39.307574   	280    	280         	318.326   	274.351	9.4  	11.1          	4.1  	82.5     	315     	4      	1.211549
2                       	983.5	9.8                    	96                      	0.6     	046                     	-72.105072	-39.307567   	284    	284         	318.851   	274.232	9.2  	11.1          	4.1  	80.3     	325     	9      	1.211188
3                       	983.1	9.7                    	95                      	0.6     	046                     	-72.105077	-39.307560   	288    	288         	319.360   	274.113	9.0  	11.0          	4.1  	79.5     	328     	13     	1.210827
4                       	982.6	9.7                    	95                      	0.5     	047                     	-72.105081	-39.307553   	292    	292         	319.885   	273.994	8.9  	10.9          	4.1  	79.1     	329     	17     	1.210466
5                       	982.1	9.6                    	94                      	0.5     	047                     	-72.105086	-39.307546   	296    	296         	320.409   	273.875	8.7  	10.9          	4.1  	78.8     	330     	21     	1.210105
6                       	981.6	9.6                    	93                      	0.5     	048                     	-72.105091	-39.307539   	301    	300         	320.934   	273.756	8.5  	10.8          	4.1  	78.7     	330     	25     	1.209744
7                       	981.1	9.5                    	92                      	0.5     	048                     	-72.105096	-39.307532   	305    	305         	321.451   	273.628	8.3  	10.7          	4.1  	78.6     	330     	29     	1.209348
8                       	980.7	9.5                    	92                      	0.5     	049                     	-72.105101	-39.307525   	309    	309         	321.990   	273.524	8.2  	10.7          	4.1  	78.5     	331     	34     	1.208912
