Flight Information:
Launch Date:            	     	                       	Monday, 14 December 2020	     	                   	          	Launch Time: 	    	            	14:02:11  	          	        	End of Ascent:	     	         	00:33:17
Station name:           	     	                       	                        	     	                   	          	Serialnumber:	    	            	20027741
Ground values:
Pressure:               	     	                       	984.4 hPa               	     	                   	          	Temperature: 	    	            	9.7 °C    	          	        	Humidity:     	     	         	99 %
Wind Direction:         	     	                       	0 °                     	     	                   	          	Wind Speed:  	    	            	0 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-72.105 °               	     	                   	          	Latitude:    	    	            	-39.307 ° 	          	        	Altitude:     	     	         	268 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                        	     	                   	          	
Events:
Highest Point:          	     	                       	328.7 hPa               	     	                   	          	8642 m
Tropopauses:            	     	                       	                        	     	                   	          	             	    	            	
Max Winds:              	     	                       	1.: 364.4 hPa           	     	                   	          	             	    	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                      	Ws   	Wd                 	Long.     	Lat.         	Alt 	Geopot      	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range	D
[sec]                   	[hPa]	[°C]                   	[%]                     	[m/s]	[°]                	[°]       	[°]          	[m] 	[m]         	          	          	[°C]    	[°C]          	[m/s]	[°]      	[°]     	[m]  	[kg/m3]
0                       	984.4	9.7                    	99                      	0.0  	000                	-72.105103	-39.307489   	268 	268         	316.699   	274.686   	9.6     	11.0          	0.0  	39.3     	180     	0    	1.212645
1                       	984.0	9.6                    	99                      	0.1  	204                	-72.105099	-39.307471   	271 	271         	317.223   	274.629   	9.5     	10.9          	3.7  	66.2     	013     	4    	1.212395
2                       	983.5	9.6                    	99                      	0.1  	204                	-72.105094	-39.307452   	275 	275         	317.746   	274.571   	9.4     	10.8          	3.7  	63.2     	012     	9    	1.212145
3                       	983.1	9.5                    	99                      	0.2  	204                	-72.105089	-39.307433   	279 	279         	318.270   	274.514   	9.3     	10.8          	3.7  	62.2     	011     	13   	1.211896
4                       	982.7	9.4                    	99                      	0.3  	204                	-72.105085	-39.307414   	282 	282         	318.793   	274.456   	9.2     	10.7          	3.7  	61.7     	011     	17   	1.211646
5                       	982.2	9.4                    	99                      	0.4  	204                	-72.105080	-39.307395   	286 	286         	319.301   	274.399   	9.2     	10.6          	3.7  	61.2     	011     	21   	1.211397
6                       	981.8	9.3                    	98                      	0.4  	204                	-72.105076	-39.307377   	290 	290         	319.825   	274.342   	9.1     	10.6          	3.7  	61.1     	011     	26   	1.211148
7                       	981.4	9.3                    	98                      	0.5  	204                	-72.105071	-39.307358   	293 	293         	320.324   	274.260   	9.0     	10.5          	3.7  	60.9     	011     	30   	1.210793
8                       	980.9	9.2                    	98                      	0.6  	204                	-72.105066	-39.307339   	297 	297         	320.813   	274.168   	9.0     	10.5          	3.7  	60.8     	011     	34   	1.210365
9                       	980.5	9.2                    	98                      	0.6  	204                	-72.105062	-39.307320   	301 	301         	321.302   	274.076   	9.0     	10.5          	3.7  	60.7     	011     	38   	1.209938
10                      	980.1	9.2                    	99                      	0.7  	204                	-72.105057	-39.307301   	305 	304         	321.790   	273.984   	9.0     	10.4          	3.7  	60.7     	011     	43   	1.209510
11                      	979.6	9.2                    	99                      	0.8  	204                	-72.105053	-39.307283   	308 	308         	322.279   	273.892   	8.9     	10.4          	3.7  	60.6     	011     	47   	1.209083
12                      	979.2	9.1                    	99                      	0.9  	204                	-72.105048	-39.307264   	312 	312         	322.768   	273.799   	8.9     	10.4          	3.7  	60.6     	011     	51   	1.208656
13                      	978.8	9.1                    	99                      	0.9  	204                	-72.105043	-39.307245   	316 	315         	323.259   	273.709   	8.9     	10.3          	3.7  	60.6     	011     	55   	1.208238
14                      	978.3	9.1                    	99                      	1.0  	204                	-72.105039	-39.307226   	319 	319         	323.750   	273.619   	8.9     	10.3          	3.7  	60.5     	011     	60   	1.207821
15                      	977.9	9.1                    	99                      	1.1  	204                	-72.105034	-39.307207   	323 	323         	324.225   	273.529   	8.9     	10.3          	3.7  	60.5     	011     	64   	1.207403
16                      	977.5	9.0                    	99                      	1.2  	204                	-72.105024	-39.307198   	327 	326         	324.716   	273.440   	8.9     	10.3          	3.7  	61.1     	012     	68   	1.206986
17                      	977.1	9.0                    	99                      	1.2  	204                	-72.105014	-39.307190   	330 	330         	325.191   	273.350   	8.8     	10.2          	3.6  	61.8     	013     	71   	1.206569
18                      	976.6	9.0                    	99                      	1.3  	204                	-72.105003	-39.307182   	334 	333         	325.635   	273.260   	8.8     	10.2          	3.4  	62.3     	014     	75   	1.206152
19                      	976.2	9.0                    	99                      	1.4  	204                	-72.104992	-39.307174   	337 	337         	326.087   	273.178   	8.8     	10.2          	3.4  	62.7     	015     	78   	1.205771
20                      	975.8	8.9                    	99                      	1.4  	204                	-72.104982	-39.307167   	340 	340         	326.518   	273.091   	8.8     	10.2          	3.4  	63.1     	016     	82   	1.205368
21                      	975.4	8.9                    	99                      	1.5  	204                	-72.104971	-39.307159   	344 	344         	326.961   	273.000   	8.8     	10.2          	3.4  	63.5     	017     	85   	1.204951
22                      	975.0	8.9                    	99                      	1.6  	204                	-72.104960	-39.307151   	347 	347         	327.404   	272.909   	8.8     	10.1          	3.4  	63.9     	018     	89   	1.204534
23                      	974.7	8.9                    	99                      	1.7  	204                	-72.104950	-39.307143   	351 	350         	327.847   	272.819   	8.7     	10.1          	3.4  	64.2     	019     	92   	1.204118
24                      	974.3	8.9                    	99                      	1.7  	204                	-72.104939	-39.307135   	354 	354         	328.275   	272.728   	8.7     	10.1          	3.4  	64.4     	020     	96   	1.203701
25                      	973.9	8.8                    	99                      	1.8  	204                	-72.104928	-39.307128   	357 	357         	328.718   	272.638   	8.7     	10.1          	3.4  	64.7     	021     	99   	1.203285
26                      	973.5	8.8                    	99                      	1.9  	204                	-72.104918	-39.307120   	361 	360         	329.161   	272.547   	8.7     	10.1          	3.4  	64.9     	021     	103  	1.202868
27                      	973.1	8.8                    	99                      	1.9  	204                	-72.104907	-39.307112   	364 	364         	329.589   	272.456   	8.7     	10.0          	3.4  	65.1     	022     	106  	1.202452
28                      	972.7	8.8                    	99                      	2.0  	204                	-72.104897	-39.307104   	367 	367         	330.032   	272.366   	8.7     	10.0          	3.4  	65.3     	023     	110  	1.202036
29                      	972.3	8.8                    	99                      	2.1  	204                	-72.104886	-39.307097   	371 	370         	330.475   	272.275   	8.7     	10.0          	3.4  	65.5     	023     	114  	1.201620
30                      	971.9	8.8                    	99                      	2.2  	204                	-72.104875	-39.307089   	374 	374         	330.903   	272.185   	8.7     	10.0          	3.4  	65.7     	024     	117  	1.201204
31                      	971.5	8.7                    	99                      	2.1  	205                	-72.104865	-39.307081   	377 	377         	331.346   	272.094   	8.7     	10.0          	3.4  	65.8     	025     	121  	1.200789
32                      	971.1	8.7                    	99                      	2.1  	205                	-72.104854	-39.307073   	381 	381         	331.790   	272.004   	8.6     	10.0          	3.4  	66.0     	025     	124  	1.200373
33                      	970.7	8.7                    	99                      	2.0  	206                	-72.104843	-39.307066   	384 	384         	332.217   	271.913   	8.6     	9.9           	3.4  	66.1     	026     	128  	1.199954
34                      	970.3	8.7                    	99                      	2.0  	206                	-72.104833	-39.307058   	388 	387         	332.657   	271.819   	8.6     	9.9           	3.4  	66.2     	026     	131  	1.199523
35                      	969.9	8.7                    	100                     	1.9  	206                	-72.104822	-39.307050   	391 	391         	333.097   	271.725   	8.6     	9.9           	3.4  	66.3     	027     	135  	1.199091
36                      	969.5	8.7                    	100                     	1.9  	207                	-72.104811	-39.307042   	394 	394         	333.521   	271.632   	8.6     	9.9           	3.4  	66.4     	027     	138  	1.198660
37                      	969.1	8.7                    	100                     	1.8  	207                	-72.104801	-39.307035   	398 	397         	333.961   	271.538   	8.6     	9.9           	3.4  	66.6     	028     	142  	1.198228
38                      	968.7	8.6                    	100                     	1.8  	208                	-72.104790	-39.307027   	401 	401         	334.401   	271.444   	8.6     	9.9           	3.4  	66.7     	028     	146  	1.197797
39                      	968.3	8.6                    	100                     	1.8  	208                	-72.104779	-39.307019   	404 	404         	334.842   	271.351   	8.6     	9.9           	3.4  	66.8     	028     	149  	1.197366
40                      	967.9	8.6                    	100                     	1.7  	209                	-72.104769	-39.307011   	408 	408         	335.266   	271.257   	8.6     	9.9           	3.4  	66.8     	029     	153  	1.196935
41                      	967.6	8.6                    	100                     	1.7  	209                	-72.104758	-39.307004   	411 	411         	335.706   	271.164   	8.6     	9.8           	3.4  	66.9     	029     	156  	1.196504
42                      	967.2	8.6                    	100                     	1.7  	210                	-72.104747	-39.306996   	415 	414         	336.147   	271.070   	8.6     	9.8           	3.4  	67.0     	029     	160  	1.196074
43                      	966.8	8.6                    	100                     	1.6  	210                	-72.104737	-39.306988   	418 	418         	336.575   	270.981   	8.6     	9.8           	3.4  	67.1     	030     	163  	1.195662
44                      	966.4	8.6                    	100                     	1.6  	211                	-72.104725	-39.306980   	421 	421         	337.020   	270.891   	8.6     	9.8           	3.3  	67.1     	030     	167  	1.195250
45                      	966.0	8.6                    	100                     	1.5  	212                	-72.104708	-39.306974   	424 	424         	337.417   	270.802   	8.5     	9.8           	3.2  	67.1     	031     	170  	1.194839
46                      	965.6	8.5                    	100                     	1.5  	212                	-72.104691	-39.306967   	428 	427         	337.830   	270.713   	8.5     	9.8           	3.2  	67.1     	032     	174  	1.194427
