Flight Information:
Launch Date:            	     	                       	Monday, 14 December 2020	        	                   	          	Launch Time: 	       	            	15:02:03  	          	        	End of Ascent:	     	         	01:29:30
Station name:           	     	                       	                        	        	                   	          	Serialnumber:	       	            	20027671
Ground values:
Pressure:               	     	                       	984.4 hPa               	        	                   	          	Temperature: 	       	            	10.3 °C   	          	        	Humidity:     	     	         	98 %
Wind Direction:         	     	                       	0 °                     	        	                   	          	Wind Speed:  	       	            	0 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-72.105 °               	        	                   	          	Latitude:    	       	            	-39.307 ° 	          	        	Altitude:     	     	         	259 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                        	        	                   	          	
Events:
Highest Point:          	     	                       	62.1 hPa                	        	                   	          	-
Tropopauses:            	     	                       	                        	        	                   	          	             	       	            	
Max Winds:              	     	                       	1.: 315.4 hPa           	        	                   	          	             	       	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                      	Ws      	Wd                 	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                   	[%]                     	[m/s]   	[°]                	[°]       	[°]          	[m]    	[m]         	          	          	[°C]    	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	984.4	10.3                   	98                      	0.0     	000                	-72.105174	-39.307338   	259    	259         	314.649   	274.049   	10.0    	11.6          	0.0  	39.3     	180     	0      	1.210078
1                       	983.9	10.3                   	97                      	0.0     	196                	-72.105166	-39.307348   	263    	263         	315.231   	273.908   	9.9     	11.6          	4.6  	71.8     	156     	5      	1.209583
2                       	983.3	10.2                   	97                      	0.1     	196                	-72.105159	-39.307358   	268    	268         	315.813   	273.768   	9.7     	11.5          	4.6  	73.1     	153     	10     	1.209089
3                       	982.8	10.2                   	96                      	0.1     	196                	-72.105151	-39.307368   	272    	272         	316.395   	273.628   	9.6     	11.5          	4.6  	73.5     	152     	15     	1.208596
4                       	982.2	10.1                   	95                      	0.1     	196                	-72.105144	-39.307378   	277    	277         	316.977   	273.488   	9.4     	11.4          	4.6  	73.7     	152     	19     	1.208102
5                       	981.7	10.1                   	95                      	0.1     	196                	-72.105136	-39.307388   	282    	282         	317.560   	273.348   	9.3     	11.4          	4.6  	73.9     	151     	24     	1.207609
6                       	981.2	10.1                   	94                      	0.2     	196                	-72.105129	-39.307397   	286    	286         	318.142   	273.208   	9.1     	11.3          	4.6  	74.0     	151     	29     	1.207116
7                       	980.6	10.0                   	93                      	0.2     	196                	-72.105121	-39.307407   	291    	291         	318.718   	273.062   	9.0     	11.3          	4.6  	74.0     	151     	34     	1.206595
8                       	980.1	10.0                   	93                      	0.2     	196                	-72.105114	-39.307417   	295    	295         	319.319   	272.942   	9.0     	11.2          	4.6  	74.1     	151     	39     	1.206058
9                       	979.5	10.0                   	93                      	0.2     	196                	-72.105106	-39.307427   	300    	300         	319.927   	272.827   	8.9     	11.2          	4.6  	74.1     	151     	43     	1.205521
10                      	979.0	9.9                    	93                      	0.3     	196                	-72.105099	-39.307437   	305    	304         	320.519   	272.712   	8.9     	11.2          	4.6  	74.1     	150     	48     	1.204984
