Flight Information:
Launch Date:            	      	                        	Monday, 14 December 2020	        	                   	          	Launch Time: 	       	            	18:32:03  	        	     	End of Ascent:	      	         	01:43:11
Station name:           	      	                        	                        	        	                   	          	Serialnumber:	       	            	20027747
Ground values:
Pressure:               	      	                        	984.8 hPa               	        	                   	          	Temperature: 	       	            	15.0 °C   	        	     	Humidity:     	      	         	89 %
Wind Direction:         	      	                        	313 °                   	        	                   	          	Wind Speed:  	       	            	1 m/s     	        	     	Cloud group:  	      	         	9////
Position:
Longitude:              	      	                        	-72.105 °               	        	                   	          	Latitude:    	       	            	-39.308 ° 	        	     	Altitude:     	      	         	265 m
Staff:
Company:                	      	                        	
Operator:               	      	                        	                        	        	                   	          	
Events:
Highest Point:          	      	                        	143.3 hPa               	        	                   	          	32564 m
Tropopauses:            	      	                        	                        	        	                   	          	             	       	            	
Max Winds:              	      	                        	1.: 501.6 hPa           	        	                   	          	             	       	            	
Remarks:

Profile Data:
Time                    	P     	T                       	Hu                      	Ws      	Wd                 	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI      	Dewp.	Virt. Temp    	Rs    	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa] 	[°C]                    	[%]                     	[m/s]   	[°]                	[°]       	[°]          	[m]    	[m]         	          	        	[°C] 	[°C]          	[m/s] 	[°]      	[°]     	[m]    	[kg/m3]
0                       	984.8 	15.0                    	89                      	0.7     	313                	-72.105063	-39.307631   	265    	265         	310.798   	269.209 	13.2 	16.7          	0.0   	39.3     	180     	0      	1.190824
1                       	984.3 	15.0                    	86                      	0.9     	300                	-72.104987	-39.307622   	270    	270         	311.285   	268.973 	12.7 	16.6          	4.6   	36.6     	085     	8      	1.190303
2                       	983.7 	14.9                    	84                      	1.1     	291                	-72.104910	-39.307613   	274    	274         	311.755   	268.737 	12.2 	16.5          	4.6   	35.4     	083     	16     	1.189783
3                       	983.2 	14.9                    	81                      	1.3     	285                	-72.104834	-39.307604   	279    	279         	312.241   	268.501 	11.7 	16.4          	4.6   	35.1     	083     	24     	1.189263
4                       	982.7 	14.9                    	78                      	1.5     	280                	-72.104758	-39.307596   	283    	283         	312.728   	268.265 	11.1 	16.4          	4.6   	35.0     	082     	32     	1.188743
5                       	982.2 	14.9                    	76                      	1.7     	277                	-72.104682	-39.307587   	288    	288         	313.198   	268.029 	10.6 	16.3          	4.6   	34.8     	082     	40     	1.188224
6                       	981.6 	14.8                    	73                      	2.0     	274                	-72.104605	-39.307578   	292    	292         	313.685   	267.793 	10.0 	16.2          	4.6   	34.8     	082     	49     	1.187704
7                       	981.1 	14.8                    	70                      	2.2     	272                	-72.104529	-39.307569   	297    	297         	314.158   	267.560 	9.4  	16.1          	4.6   	34.7     	082     	57     	1.187198
8                       	980.6 	14.8                    	67                      	2.4     	270                	-72.104453	-39.307561   	301    	301         	314.660   	267.340 	8.8  	16.0          	4.6   	34.7     	082     	65     	1.186746
9                       	980.1 	14.7                    	66                      	2.6     	269                	-72.104377	-39.307552   	306    	306         	315.219   	267.177 	8.5  	15.9          	4.6   	34.7     	082     	73     	1.186294
10                      	979.5 	14.7                    	66                      	2.8     	267                	-72.104300	-39.307543   	311    	310         	315.827   	267.078 	8.4  	15.9          	4.6   	34.6     	082     	81     	1.185843
11                      	979.0 	14.6                    	66                      	3.0     	266                	-72.104224	-39.307534   	315    	315         	316.450   	266.979 	8.4  	15.8          	4.6   	34.6     	082     	89     	1.185392
12                      	978.5 	14.6                    	66                      	3.2     	266                	-72.104148	-39.307526   	320    	320         	317.073   	266.880 	8.3  	15.8          	4.6   	34.6     	082     	97     	1.184941
13                      	978.0 	14.5                    	66                      	3.4     	265                	-72.104071	-39.307517   	324    	324         	317.686   	266.787 	8.3  	15.7          	4.6   	34.6     	082     	105    	1.184515
14                      	977.5 	14.5                    	66                      	3.6     	264                	-72.103995	-39.307508   	329    	329         	318.315   	266.694 	8.3  	15.7          	4.6   	34.6     	082     	113    	1.184089
15                      	977.0 	14.4                    	66                      	3.8     	264                	-72.103919	-39.307499   	333    	333         	318.944   	266.600 	8.2  	15.6          	4.6   	34.6     	082     	121    	1.183663
