Flight Information:
Launch Date:            	     	                       	Monday, 14 December 2020	        	                        	          	Launch Time: 	       	            	23:32:04  	       	     	End of Ascent:	     	         	01:27:15
Station name:           	     	                       	                        	        	                        	          	Serialnumber:	       	            	20027323
Ground values:
Pressure:               	     	                       	985.4 hPa               	        	                        	          	Temperature: 	       	            	14.4 °C   	       	     	Humidity:     	     	         	65 %
Wind Direction:         	     	                       	304 °                   	        	                        	          	Wind Speed:  	       	            	1 m/s     	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-72.105 °               	        	                        	          	Latitude:    	       	            	-39.307 ° 	       	     	Altitude:     	     	         	270 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                        	        	                        	          	
Events:
Highest Point:          	     	                       	13.2 hPa                	        	                        	          	29358 m
Tropopauses:            	     	                       	1.: 219.3 hPa           	        	                        	          	2.: 118.4 hPa	       	            	
Max Winds:              	     	                       	1.: 284.2 hPa           	        	                        	          	             	       	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                      	Ws      	Wd                      	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                   	[%]                     	[m/s]   	[°]                     	[°]       	[°]          	[m]    	[m]         	          	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	985.4	14.4                   	65                      	0.8     	304                     	-72.105126	-39.307483   	270    	270         	311.170   	268.858	7.9  	15.6          	0.0  	39.3     	180     	0      	1.194036
1                       	984.7	14.3                   	64                      	0.9     	298                     	-72.105067	-39.307490   	275    	275         	311.944   	268.707	7.7  	15.5          	5.9  	50.1     	102     	8      	1.193510
2                       	984.0	14.2                   	63                      	1.1     	292                     	-72.105008	-39.307496   	281    	281         	312.735   	268.555	7.4  	15.4          	5.9  	49.8     	100     	16     	1.192985
3                       	983.3	14.2                   	63                      	1.2     	288                     	-72.104949	-39.307502   	287    	287         	313.509   	268.403	7.2  	15.3          	5.9  	49.6     	099     	24     	1.192461
4                       	982.6	14.1                   	62                      	1.3     	285                     	-72.104890	-39.307509   	293    	293         	314.300   	268.252	6.9  	15.2          	5.9  	49.5     	099     	32     	1.191937
5                       	981.9	14.0                   	61                      	1.5     	282                     	-72.104831	-39.307515   	299    	299         	315.074   	268.100	6.6  	15.1          	5.9  	49.4     	099     	39     	1.191413
6                       	981.3	13.9                   	60                      	1.6     	280                     	-72.104772	-39.307522   	305    	305         	315.865   	267.948	6.4  	15.0          	5.9  	49.4     	099     	47     	1.190889
7                       	980.6	13.9                   	59                      	1.7     	278                     	-72.104713	-39.307528   	311    	311         	316.601   	267.758	6.2  	15.0          	5.9  	49.4     	099     	55     	1.190183
8                       	979.9	13.9                   	59                      	1.9     	277                     	-72.104655	-39.307534   	317    	317         	317.362   	267.578	6.1  	14.9          	5.9  	49.4     	098     	63     	1.189421
9                       	979.2	13.9                   	59                      	2.0     	275                     	-72.104596	-39.307541   	323    	323         	318.109   	267.398	6.0  	14.9          	5.9  	49.4     	098     	71     	1.188659
10                      	978.5	13.9                   	59                      	2.2     	274                     	-72.104537	-39.307547   	329    	329         	318.870   	267.217	5.9  	14.9          	5.9  	49.4     	098     	79     	1.187898
11                      	977.8	13.8                   	58                      	2.3     	273                     	-72.104478	-39.307553   	335    	335         	319.617   	267.038	5.9  	14.9          	5.9  	49.3     	098     	87     	1.187137
12                      	977.1	13.8                   	58                      	2.4     	272                     	-72.104419	-39.307560   	341    	341         	320.363   	266.858	5.8  	14.8          	5.9  	49.3     	098     	94     	1.186377
13                      	976.5	13.8                   	58                      	2.6     	271                     	-72.104360	-39.307566   	347    	347         	321.129   	266.681	5.7  	14.8          	5.9  	49.3     	098     	102    	1.185632
14                      	975.8	13.8                   	58                      	2.7     	271                     	-72.104301	-39.307572   	353    	353         	321.879   	266.505	5.6  	14.8          	5.9  	49.3     	098     	110    	1.184887
15                      	975.1	13.8                   	58                      	2.8     	270                     	-72.104243	-39.307579   	359    	358         	322.613   	266.328	5.6  	14.8          	5.8  	49.2     	098     	118    	1.184143
16                      	974.4	13.8                   	57                      	3.0     	270                     	-72.104177	-39.307575   	364    	364         	323.347   	266.152	5.5  	14.8          	5.8  	49.0     	097     	126    	1.183399
17                      	973.8	13.7                   	57                      	3.1     	269                     	-72.104111	-39.307572   	370    	370         	324.066   	265.976	5.4  	14.7          	5.8  	48.8     	097     	134    	1.182655
18                      	973.1	13.7                   	57                      	3.2     	268                     	-72.104045	-39.307568   	376    	376         	324.801   	265.800	5.3  	14.7          	5.8  	48.7     	096     	142    	1.181912
19                      	972.4	13.7                   	57                      	3.4     	268                     	-72.103979	-39.307565   	382    	381         	325.536   	265.625	5.2  	14.7          	5.8  	48.5     	095     	150    	1.181175
20                      	971.7	13.7                   	56                      	3.5     	268                     	-72.103913	-39.307561   	387    	387         	326.303   	265.482	5.2  	14.6          	5.8  	48.4     	095     	158    	1.180543
21                      	971.1	13.6                   	57                      	3.6     	267                     	-72.103847	-39.307558   	393    	393         	327.083   	265.351	5.1  	14.6          	5.8  	48.3     	094     	166    	1.179942
22                      	970.4	13.6                   	57                      	3.8     	267                     	-72.103781	-39.307555   	399    	399         	327.864   	265.221	5.1  	14.5          	5.8  	48.1     	094     	174    	1.179341
23                      	969.7	13.5                   	57                      	3.9     	267                     	-72.103715	-39.307551   	405    	405         	328.644   	265.090	5.1  	14.5          	5.8  	48.0     	094     	182    	1.178741
24                      	969.1	13.5                   	57                      	4.0     	266                     	-72.103649	-39.307548   	411    	410         	329.424   	264.960	5.0  	14.4          	5.8  	47.9     	093     	190    	1.178142
25                      	968.4	13.4                   	57                      	4.2     	266                     	-72.103583	-39.307544   	416    	416         	330.204   	264.829	5.0  	14.4          	5.8  	47.9     	093     	199    	1.177541
26                      	967.7	13.4                   	57                      	4.3     	266                     	-72.103517	-39.307541   	422    	422         	330.984   	264.699	5.0  	14.3          	5.8  	47.8     	093     	207    	1.176941
27                      	967.1	13.3                   	57                      	4.4     	265                     	-72.103451	-39.307537   	428    	428         	331.765   	264.569	4.9  	14.3          	5.8  	47.7     	093     	215    	1.176342
28                      	966.4	13.2                   	57                      	4.6     	265                     	-72.103385	-39.307534   	434    	434         	332.529   	264.438	4.9  	14.2          	5.8  	47.6     	092     	223    	1.175742
29                      	965.8	13.2                   	57                      	4.7     	265                     	-72.103319	-39.307530   	440    	439         	333.310   	264.308	4.9  	14.2          	5.8  	47.5     	092     	231    	1.175144
30                      	965.1	13.1                   	57                      	4.9     	265                     	-72.103253	-39.307527   	445    	445         	334.090   	264.178	4.8  	14.1          	5.8  	47.5     	092     	239    	1.174545
31                      	964.4	13.1                   	57                      	4.9     	265                     	-72.103187	-39.307524   	451    	451         	334.871   	264.048	4.8  	14.1          	5.8  	47.4     	092     	247    	1.173946
32                      	963.8	13.0                   	57                      	4.9     	265                     	-72.103122	-39.307520   	457    	457         	335.651   	263.918	4.8  	14.0          	5.8  	47.3     	091     	255    	1.173347
33                      	963.1	13.0                   	57                      	4.9     	266                     	-72.103056	-39.307517   	463    	462         	336.434   	263.790	4.7  	14.0          	5.8  	47.3     	091     	263    	1.172756
34                      	962.4	12.9                   	57                      	4.9     	266                     	-72.102990	-39.307513   	469    	468         	337.223   	263.669	4.7  	13.9          	5.8  	47.2     	091     	271    	1.172181
