Flight Information:
Launch Date:            	     	                       	Tuesday, 15 December 2020	        	                   	          	Launch Time: 	       	            	00:32:05  	       	     	End of Ascent:	     	         	01:52:41
Station name:           	     	                       	                         	        	                   	          	Serialnumber:	       	            	20027729
Ground values:
Pressure:               	     	                       	986.2 hPa                	        	                   	          	Temperature: 	       	            	11.0 °C   	       	     	Humidity:     	     	         	89 %
Wind Direction:         	     	                       	228 °                    	        	                   	          	Wind Speed:  	       	            	0 m/s     	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-72.105 °                	        	                   	          	Latitude:    	       	            	-39.307 ° 	       	     	Altitude:     	     	         	289 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                         	        	                   	          	
Events:
Highest Point:          	     	                       	11.0 hPa                 	        	                   	          	30740 m
Tropopauses:            	     	                       	1.: 125.3 hPa            	        	                   	          	             	       	            	
Max Winds:              	     	                       	1.: 277.8 hPa            	        	                   	          	             	       	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                       	Ws      	Wd                 	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                   	[%]                      	[m/s]   	[°]                	[°]       	[°]          	[m]    	[m]         	          	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	986.2	11.0                   	89                       	0.3     	228                	-72.104946	-39.307450   	289    	289         	318.733   	273.438	9.3  	12.3          	0.0  	39.3     	180     	0      	1.209304
1                       	985.7	11.2                   	87                       	0.5     	253                	-72.104896	-39.307480   	293    	293         	318.980   	273.026	9.2  	12.5          	4.2  	38.4     	132     	7      	1.207827
2                       	985.2	11.4                   	86                       	0.6     	268                	-72.104847	-39.307511   	297    	297         	319.229   	272.616	9.1  	12.7          	4.2  	38.0     	130     	14     	1.206353
3                       	984.7	11.6                   	84                       	0.8     	276                	-72.104798	-39.307541   	301    	301         	319.478   	272.206	9.0  	12.9          	4.2  	37.9     	130     	21     	1.204881
4                       	984.2	11.8                   	82                       	0.9     	282                	-72.104748	-39.307572   	305    	305         	319.728   	271.796	8.9  	13.1          	4.2  	37.8     	129     	28     	1.203412
5                       	983.7	12.0                   	81                       	1.1     	285                	-72.104699	-39.307603   	310    	310         	319.979   	271.388	8.8  	13.3          	4.2  	37.8     	129     	35     	1.201945
6                       	983.2	12.2                   	79                       	1.2     	288                	-72.104650	-39.307633   	314    	314         	320.231   	270.980	8.7  	13.5          	4.2  	37.8     	129     	42     	1.200481
7                       	982.8	12.3                   	77                       	1.4     	290                	-72.104600	-39.307664   	318    	318         	320.590   	270.679	8.5  	13.5          	4.2  	37.7     	129     	49     	1.199483
8                       	982.3	12.3                   	76                       	1.5     	292                	-72.104551	-39.307695   	322    	322         	321.068   	270.498	8.1  	13.5          	4.2  	37.7     	129     	55     	1.199009
9                       	981.8	12.3                   	74                       	1.7     	293                	-72.104502	-39.307725   	326    	326         	321.561   	270.332	7.8  	13.4          	4.2  	37.7     	129     	62     	1.198536
10                      	981.3	12.2                   	74                       	1.8     	294                	-72.104453	-39.307756   	331    	330         	322.103   	270.214	7.8  	13.4          	4.2  	37.7     	129     	69     	1.198062
11                      	980.8	12.2                   	74                       	2.0     	295                	-72.104403	-39.307787   	335    	335         	322.660   	270.096	7.7  	13.4          	4.2  	37.8     	129     	76     	1.197589
12                      	980.3	12.2                   	73                       	2.2     	295                	-72.104354	-39.307817   	339    	339         	323.202   	269.979	7.6  	13.3          	4.2  	37.8     	129     	83     	1.197116
13                      	979.7	12.1                   	73                       	2.3     	296                	-72.104305	-39.307848   	343    	343         	323.723   	269.840	7.5  	13.3          	4.2  	37.7     	129     	90     	1.196551
14                      	979.2	12.1                   	73                       	2.5     	297                	-72.104255	-39.307879   	347    	347         	324.244   	269.702	7.4  	13.3          	4.2  	37.7     	129     	97     	1.195985
15                      	978.6	12.1                   	73                       	2.6     	297                	-72.104206	-39.307909   	352    	352         	324.812   	269.564	7.3  	13.2          	4.5  	37.9     	129     	104    	1.195421
16                      	978.0	12.1                   	72                       	2.8     	297                	-72.104155	-39.307940   	357    	357         	325.522   	269.426	7.2  	13.2          	5.4  	38.3     	129     	111    	1.194856
17                      	977.5	12.0                   	72                       	2.9     	298                	-72.104092	-39.307969   	363    	362         	326.216   	269.288	7.2  	13.1          	5.4  	38.4     	128     	120    	1.194292
18                      	976.9	12.0                   	72                       	3.1     	298                	-72.104029	-39.307998   	368    	368         	326.926   	269.150	7.1  	13.1          	5.4  	38.6     	128     	128    	1.193728
19                      	976.3	12.0                   	71                       	3.2     	298                	-72.103965	-39.308027   	373    	373         	327.618   	268.994	7.0  	13.1          	5.4  	38.7     	127     	136    	1.193085
20                      	975.7	11.9                   	71                       	3.4     	299                	-72.103902	-39.308055   	379    	379         	328.318   	268.846	6.9  	13.0          	5.4  	38.8     	127     	145    	1.192448
21                      	975.0	11.9                   	71                       	3.5     	299                	-72.103839	-39.308084   	384    	384         	329.041   	268.722	6.9  	13.0          	5.4  	38.9     	127     	153    	1.191901
22                      	974.4	11.8                   	71                       	3.7     	299                	-72.103776	-39.308113   	390    	389         	329.764   	268.597	6.8  	12.9          	5.4  	39.0     	126     	161    	1.191354
23                      	973.8	11.8                   	71                       	3.9     	299                	-72.103712	-39.308142   	395    	395         	330.487   	268.472	6.7  	12.9          	5.4  	39.1     	126     	169    	1.190808
24                      	973.1	11.7                   	71                       	4.0     	299                	-72.103649	-39.308171   	400    	400         	331.210   	268.347	6.6  	12.8          	5.4  	39.2     	126     	178    	1.190262
25                      	972.5	11.7                   	71                       	4.1     	300                	-72.103586	-39.308200   	406    	406         	331.933   	268.223	6.6  	12.8          	5.4  	39.2     	125     	186    	1.189716
26                      	971.9	11.6                   	71                       	4.3     	300                	-72.103522	-39.308229   	411    	411         	332.656   	268.098	6.5  	12.7          	5.4  	39.3     	125     	194    	1.189170
27                      	971.3	11.6                   	71                       	4.5     	300                	-72.103459	-39.308258   	417    	416         	333.380   	267.973	6.4  	12.6          	5.4  	39.3     	125     	203    	1.188624
28                      	970.6	11.5                   	71                       	4.6     	300                	-72.103396	-39.308286   	422    	422         	334.103   	267.849	6.4  	12.6          	5.4  	39.4     	125     	211    	1.188078
29                      	970.0	11.5                   	71                       	4.8     	300                	-72.103332	-39.308315   	427    	427         	334.810   	267.724	6.3  	12.5          	5.4  	39.4     	125     	219    	1.187533
30                      	969.4	11.4                   	70                       	4.9     	300                	-72.103269	-39.308344   	433    	433         	335.534   	267.600	6.2  	12.5          	5.4  	39.4     	125     	227    	1.186988
31                      	968.8	11.4                   	70                       	5.0     	300                	-72.103206	-39.308373   	438    	438         	336.257   	267.475	6.2  	12.4          	5.4  	39.5     	124     	236    	1.186442
32                      	968.1	11.3                   	70                       	5.1     	300                	-72.103142	-39.308402   	444    	443         	336.980   	267.351	6.1  	12.4          	5.4  	39.5     	124     	244    	1.185897
33                      	967.5	11.3                   	70                       	5.1     	301                	-72.103079	-39.308431   	449    	449         	337.705   	267.227	6.0  	12.3          	5.4  	39.5     	124     	252    	1.185352
34                      	966.9	11.2                   	70                       	5.2     	301                	-72.103016	-39.308460   	454    	454         	338.426   	267.101	6.0  	12.2          	5.4  	39.6     	124     	261    	1.184782
35                      	966.3	11.2                   	70                       	5.3     	301                	-72.102952	-39.308489   	460    	459         	339.145   	266.972	5.9  	12.2          	5.4  	39.6     	124     	269    	1.184197
36                      	965.7	11.1                   	70                       	5.3     	301                	-72.102889	-39.308517   	465    	465         	339.863   	266.842	5.9  	12.2          	5.4  	39.6     	124     	277    	1.183612
37                      	965.0	11.1                   	70                       	5.4     	301                	-72.102826	-39.308546   	471    	470         	340.581   	266.713	5.9  	12.1          	5.4  	39.7     	124     	286    	1.183027
38                      	964.4	11.0                   	70                       	5.5     	301                	-72.102762	-39.308575   	476    	476         	341.300   	266.583	5.8  	12.1          	5.4  	39.7     	124     	294    	1.182442
39                      	963.8	11.0                   	70                       	5.5     	301                	-72.102699	-39.308604   	481    	481         	342.018   	266.454	5.8  	12.0          	5.4  	39.7     	124     	302    	1.181857
40                      	963.2	10.9                   	70                       	5.6     	301                	-72.102636	-39.308633   	487    	486         	342.721   	266.325	5.7  	12.0          	5.4  	39.7     	123     	311    	1.181272
41                      	962.5	10.9                   	70                       	5.7     	301                	-72.102573	-39.308662   	492    	492         	343.439   	266.195	5.7  	11.9          	5.4  	39.7     	123     	319    	1.180688
