Flight Information:
Launch Date:            	     	                       	Tuesday, 15 December 2020	        	                   	          	Launch Time: 	       	            	03:32:05  	          	        	End of Ascent:	     	         	01:36:54
Station name:           	     	                       	                         	        	                   	          	Serialnumber:	       	            	20028088
Ground values:
Pressure:               	     	                       	988.7 hPa                	        	                   	          	Temperature: 	       	            	10.4 °C   	          	        	Humidity:     	     	         	84 %
Wind Direction:         	     	                       	0 °                      	        	                   	          	Wind Speed:  	       	            	0 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-72.105 °                	        	                   	          	Latitude:    	       	            	-39.307 ° 	          	        	Altitude:     	     	         	266 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                         	        	                   	          	
Events:
Highest Point:          	     	                       	13.9 hPa                 	        	                   	          	28977 m
Tropopauses:            	     	                       	1.: 204.4 hPa            	        	                   	          	             	       	            	
Max Winds:              	     	                       	1.: 264.3 hPa            	        	                   	          	             	       	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                       	Ws      	Wd                 	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                   	[%]                      	[m/s]   	[°]                	[°]       	[°]          	[m]    	[m]         	          	          	[°C]    	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	988.7	10.4                   	84                       	0.0     	000                	-72.105063	-39.307359   	266    	266         	316.302   	274.478   	7.8     	11.5          	0.0  	39.3     	180     	0      	1.214935
1                       	988.0	10.3                   	83                       	0.1     	278                	-72.105036	-39.307378   	272    	272         	317.067   	274.363   	7.6     	11.4          	5.6  	60.0     	137     	7      	1.214522
2                       	987.4	10.2                   	83                       	0.2     	278                	-72.105009	-39.307397   	278    	278         	317.847   	274.249   	7.4     	11.3          	5.6  	60.6     	134     	13     	1.214110
3                       	986.7	10.1                   	82                       	0.2     	278                	-72.104982	-39.307416   	283    	283         	318.612   	274.134   	7.3     	11.2          	5.6  	60.6     	134     	20     	1.213698
4                       	986.0	10.0                   	82                       	0.3     	278                	-72.104954	-39.307435   	289    	289         	319.393   	274.020   	7.1     	11.1          	5.6  	60.8     	133     	26     	1.213287
5                       	985.4	9.9                    	81                       	0.4     	278                	-72.104927	-39.307454   	295    	295         	320.158   	273.905   	6.9     	11.0          	5.6  	60.7     	133     	33     	1.212875
6                       	984.7	9.8                    	81                       	0.5     	278                	-72.104900	-39.307473   	300    	300         	320.922   	273.791   	6.7     	10.9          	5.6  	60.7     	133     	39     	1.212464
7                       	984.0	9.8                    	80                       	0.6     	278                	-72.104873	-39.307492   	306    	306         	321.677   	273.651   	6.5     	10.8          	5.6  	60.8     	133     	46     	1.211940
8                       	983.4	9.7                    	80                       	0.6     	278                	-72.104846	-39.307511   	312    	311         	322.381   	273.476   	6.4     	10.8          	5.6  	60.8     	133     	52     	1.211208
9                       	982.7	9.7                    	80                       	0.7     	278                	-72.104819	-39.307530   	317    	317         	323.107   	273.307   	6.4     	10.8          	5.6  	60.8     	133     	59     	1.210477
10                      	982.0	9.7                    	80                       	0.8     	278                	-72.104792	-39.307549   	323    	323         	323.818   	273.138   	6.4     	10.7          	5.6  	60.8     	132     	65     	1.209746
11                      	981.4	9.7                    	79                       	0.9     	278                	-72.104765	-39.307568   	328    	328         	324.528   	272.969   	6.3     	10.7          	5.6  	60.8     	132     	71     	1.209016
12                      	980.7	9.7                    	79                       	1.0     	278                	-72.104738	-39.307587   	334    	334         	325.254   	272.800   	6.3     	10.7          	5.6  	60.8     	132     	78     	1.208286
13                      	980.1	9.6                    	79                       	1.0     	278                	-72.104711	-39.307606   	340    	340         	325.967   	272.635   	6.2     	10.7          	5.6  	60.8     	132     	84     	1.207569
14                      	979.4	9.6                    	79                       	1.1     	278                	-72.104684	-39.307625   	345    	345         	326.697   	272.469   	6.2     	10.6          	5.6  	60.8     	132     	91     	1.206853
15                      	978.7	9.6                    	79                       	1.2     	278                	-72.104657	-39.307644   	351    	351         	327.410   	272.303   	6.1     	10.6          	5.6  	60.8     	132     	97     	1.206137
16                      	978.1	9.6                    	79                       	1.3     	278                	-72.104622	-39.307649   	357    	356         	328.124   	272.138   	6.1     	10.6          	5.6  	61.1     	131     	103    	1.205421
17                      	977.4	9.6                    	79                       	1.4     	278                	-72.104587	-39.307653   	362    	362         	328.806   	271.972   	6.0     	10.6          	5.4  	61.2     	129     	109    	1.204706
18                      	976.8	9.5                    	78                       	1.4     	278                	-72.104551	-39.307657   	367    	367         	329.489   	271.807   	6.0     	10.6          	5.4  	61.3     	127     	115    	1.203992
19                      	976.2	9.5                    	78                       	1.5     	278                	-72.104516	-39.307661   	373    	373         	330.176   	271.646   	5.9     	10.5          	5.4  	61.4     	126     	121    	1.203298
20                      	975.5	9.5                    	78                       	1.6     	278                	-72.104480	-39.307665   	378    	378         	330.871   	271.493   	5.9     	10.5          	5.4  	61.5     	124     	128    	1.202633
21                      	974.9	9.4                    	78                       	1.7     	278                	-72.104444	-39.307669   	384    	383         	331.585   	271.360   	5.9     	10.5          	5.4  	61.6     	123     	134    	1.202018
22                      	974.3	9.4                    	78                       	1.7     	278                	-72.104409	-39.307673   	389    	389         	332.299   	271.226   	5.8     	10.4          	5.4  	61.6     	122     	140    	1.201404
23                      	973.6	9.4                    	78                       	1.8     	278                	-72.104373	-39.307677   	394    	394         	332.998   	271.093   	5.8     	10.4          	5.4  	61.6     	121     	146    	1.200790
24                      	973.0	9.3                    	78                       	1.9     	278                	-72.104338	-39.307680   	400    	400         	333.713   	270.960   	5.8     	10.3          	5.4  	61.6     	120     	152    	1.200176
25                      	972.4	9.3                    	78                       	2.0     	278                	-72.104302	-39.307684   	405    	405         	334.427   	270.826   	5.7     	10.3          	5.4  	61.6     	119     	158    	1.199562
26                      	971.7	9.2                    	79                       	2.1     	278                	-72.104267	-39.307688   	411    	410         	335.142   	270.693   	5.7     	10.3          	5.4  	61.6     	118     	164    	1.198949
27                      	971.1	9.2                    	79                       	2.1     	278                	-72.104231	-39.307692   	416    	416         	335.856   	270.560   	5.7     	10.2          	5.4  	61.6     	117     	170    	1.198335
28                      	970.5	9.2                    	79                       	2.2     	278                	-72.104196	-39.307696   	421    	421         	336.571   	270.427   	5.7     	10.2          	5.4  	61.6     	117     	176    	1.197722
29                      	969.8	9.1                    	79                       	2.3     	278                	-72.104160	-39.307700   	427    	427         	337.286   	270.294   	5.6     	10.1          	5.4  	61.6     	116     	183    	1.197110
30                      	969.2	9.1                    	79                       	2.4     	278                	-72.104125	-39.307704   	432    	432         	338.001   	270.161   	5.6     	10.1          	5.4  	61.6     	115     	189    	1.196498
31                      	968.6	9.1                    	79                       	2.4     	279                	-72.104089	-39.307708   	438    	437         	338.715   	270.028   	5.6     	10.1          	5.4  	61.6     	115     	195    	1.195885
32                      	967.9	9.0                    	79                       	2.4     	279                	-72.104053	-39.307711   	443    	443         	339.430   	269.895   	5.5     	10.0          	5.4  	61.6     	114     	201    	1.195273
33                      	967.3	9.0                    	79                       	2.5     	280                	-72.104018	-39.307715   	448    	448         	340.145   	269.762   	5.5     	10.0          	5.4  	61.6     	114     	207    	1.194661
34                      	966.7	8.9                    	79                       	2.5     	281                	-72.103982	-39.307719   	454    	453         	340.875   	269.644   	5.5     	9.9           	5.4  	61.6     	113     	213    	1.194110
35                      	966.1	8.9                    	79                       	2.5     	281                	-72.103947	-39.307723   	459    	459         	341.606   	269.527   	5.4     	9.9           	5.4  	61.6     	113     	219    	1.193566
36                      	965.4	8.8                    	79                       	2.6     	282                	-72.103911	-39.307727   	465    	464         	342.337   	269.411   	5.4     	9.8           	5.4  	61.5     	113     	226    	1.193022
37                      	964.8	8.8                    	79                       	2.6     	282                	-72.103876	-39.307731   	470    	470         	343.068   	269.294   	5.4     	9.7           	5.4  	61.5     	112     	232    	1.192477
38                      	964.2	8.7                    	79                       	2.6     	283                	-72.103840	-39.307735   	475    	475         	343.799   	269.177   	5.3     	9.7           	5.4  	61.5     	112     	238    	1.191933
39                      	963.5	8.6                    	79                       	2.6     	284                	-72.103805	-39.307738   	481    	480         	344.531   	269.061   	5.3     	9.6           	5.4  	61.5     	111     	244    	1.191389
40                      	962.9	8.6                    	79                       	2.7     	284                	-72.103769	-39.307742   	486    	486         	345.262   	268.944   	5.2     	9.6           	5.4  	61.5     	111     	250    	1.190845
41                      	962.3	8.5                    	79                       	2.7     	285                	-72.103734	-39.307746   	492    	491         	345.993   	268.828   	5.2     	9.5           	5.4  	61.5     	111     	257    	1.190302
42                      	961.7	8.5                    	79                       	2.7     	285                	-72.103698	-39.307750   	497    	497         	346.725   	268.712   	5.1     	9.5           	5.4  	61.4     	110     	263    	1.189758
43                      	961.0	8.4                    	80                       	2.8     	286                	-72.103662	-39.307754   	502    	502         	347.458   	268.597   	5.1     	9.4           	5.4  	61.4     	110     	269    	1.189223
44                      	960.4	8.4                    	80                       	2.8     	286                	-72.103627	-39.307758   	508    	507         	348.191   	268.482   	5.1     	9.3           	5.4  	61.4     	110     	275    	1.188687
45                      	959.8	8.3                    	80                       	2.8     	287                	-72.103591	-39.307762   	513    	513         	348.925   	268.368   	5.0     	9.3           	5.4  	61.4     	110     	281    	1.188152
46                      	959.2	8.3                    	80                       	2.9     	287                	-72.103558	-39.307783   	518    	518         	349.642   	268.253   	5.0     	9.2           	5.3  	61.3     	110     	288    	1.187617
47                      	958.6	8.2                    	80                       	2.9     	287                	-72.103525	-39.307807   	524    	523         	350.354   	268.133   	4.9     	9.2           	5.3  	61.2     	111     	294    	1.187059
48                      	957.9	8.2                    	80                       	2.9     	288                	-72.103493	-39.307832   	529    	529         	351.042   	268.004   	4.9     	9.1           	5.3  	61.1     	111     	300    	1.186473
49                      	957.3	8.1                    	80                       	2.9     	288                	-72.103460	-39.307856   	534    	534         	351.748   	267.879   	4.9     	9.1           	5.3  	60.9     	112     	307    	1.185900
50                      	956.7	8.1                    	80                       	3.0     	289                	-72.103427	-39.307880   	540    	539         	352.454   	267.753   	4.8     	9.0           	5.3  	60.8     	112     	313    	1.185326
