Flight Information:
Launch Date:            	     	                       	Tuesday, 15 December 2020	     	                       	          	Launch Time: 	       	            	08:32:04  	       	     	End of Ascent:	     	         	01:47:20
Station name:           	     	                       	                         	     	                       	          	Serialnumber:	       	            	20027476
Ground values:
Pressure:               	     	                       	988.1 hPa                	     	                       	          	Temperature: 	       	            	6.2 °C    	       	     	Humidity:     	     	         	99 %
Wind Direction:         	     	                       	0 °                      	     	                       	          	Wind Speed:  	       	            	0 m/s     	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-72.105 °                	     	                       	          	Latitude:    	       	            	-39.307 ° 	       	     	Altitude:     	     	         	289 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                         	     	                       	          	
Events:
Highest Point:          	     	                       	6.8 hPa                  	     	                       	          	33858 m
Tropopauses:            	     	                       	1.: 218.3 hPa            	     	                       	          	2.: 82.7 hPa 	       	            	
Max Winds:              	     	                       	1.: 190.5 hPa            	     	                       	          	             	       	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                       	Ws   	Wd                     	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                   	[%]                      	[m/s]	[°]                    	[°]       	[°]          	[m]    	[m]         	          	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	988.1	6.2                    	99                       	0.0  	000                    	-72.105035	-39.307385   	289    	289         	324.587   	279.214	6.1  	7.2           	0.0  	39.3     	180     	0      	1.232453
1                       	987.7	6.3                    	98                       	0.0  	149                    	-72.105028	-39.307388   	293    	293         	324.849   	278.927	6.0  	7.3           	3.5  	76.1     	140     	4      	1.231413
2                       	987.3	6.4                    	97                       	0.0  	149                    	-72.105021	-39.307392   	296    	296         	325.112   	278.640	6.0  	7.4           	3.5  	77.6     	132     	7      	1.230374
3                       	986.8	6.6                    	96                       	0.1  	149                    	-72.105014	-39.307395   	300    	300         	325.375   	278.353	5.9  	7.5           	3.5  	78.0     	129     	11     	1.229336
4                       	986.4	6.7                    	95                       	0.1  	149                    	-72.105007	-39.307398   	303    	303         	325.638   	278.067	5.9  	7.7           	3.5  	78.2     	127     	15     	1.228300
5                       	986.0	6.8                    	94                       	0.1  	149                    	-72.105000	-39.307401   	307    	307         	325.901   	277.781	5.8  	7.8           	3.5  	78.3     	126     	18     	1.227264
6                       	985.6	6.9                    	93                       	0.1  	149                    	-72.104993	-39.307404   	310    	310         	326.181   	277.495	5.8  	7.9           	3.5  	78.5     	125     	22     	1.226230
7                       	985.2	7.0                    	91                       	0.2  	149                    	-72.104986	-39.307408   	314    	314         	326.484   	277.249	5.7  	8.0           	3.5  	78.5     	124     	25     	1.225365
8                       	984.7	7.0                    	91                       	0.2  	149                    	-72.104979	-39.307411   	317    	317         	326.847   	277.062	5.7  	8.0           	3.5  	78.6     	124     	29     	1.224595
9                       	984.3	7.1                    	91                       	0.2  	149                    	-72.104972	-39.307414   	321    	321         	327.211   	276.877	5.7  	8.1           	3.5  	78.6     	124     	33     	1.223827
10                      	983.9	7.2                    	91                       	0.2  	149                    	-72.104965	-39.307417   	324    	324         	327.575   	276.691	5.7  	8.1           	3.5  	78.6     	123     	36     	1.223058
11                      	983.5	7.2                    	90                       	0.3  	149                    	-72.104959	-39.307420   	328    	328         	327.939   	276.506	5.7  	8.2           	3.5  	78.6     	123     	40     	1.222291
12                      	983.1	7.3                    	90                       	0.3  	149                    	-72.104952	-39.307424   	331    	331         	328.303   	276.320	5.8  	8.3           	3.5  	78.6     	123     	43     	1.221523
13                      	982.6	7.3                    	90                       	0.3  	149                    	-72.104945	-39.307427   	335    	334         	328.661   	276.129	5.8  	8.3           	3.5  	78.6     	123     	47     	1.220726
14                      	982.2	7.4                    	90                       	0.3  	149                    	-72.104938	-39.307430   	338    	338         	329.018   	275.937	5.8  	8.4           	3.5  	78.7     	123     	50     	1.219930
15                      	981.7	7.4                    	89                       	0.3  	149                    	-72.104931	-39.307433   	342    	341         	329.376   	275.745	5.8  	8.4           	3.5  	78.7     	123     	54     	1.219134
16                      	981.3	7.5                    	89                       	0.4  	149                    	-72.104932	-39.307429   	345    	345         	329.734   	275.554	5.8  	8.5           	3.5  	79.7     	121     	57     	1.218338
17                      	980.9	7.5                    	89                       	0.4  	149                    	-72.104936	-39.307422   	349    	348         	330.092   	275.362	5.8  	8.5           	3.5  	80.9     	118     	61     	1.217544
18                      	980.4	7.6                    	88                       	0.4  	149                    	-72.104939	-39.307415   	353    	353         	330.655   	275.171	5.8  	8.6           	4.8  	82.1     	114     	65     	1.216749
19                      	979.8	7.7                    	88                       	0.4  	149                    	-72.104943	-39.307409   	359    	358         	331.218   	274.934	5.8  	8.7           	5.1  	83.1     	111     	70     	1.215748
20                      	979.2	7.7                    	88                       	0.5  	149                    	-72.104946	-39.307402   	364    	363         	331.822   	274.722	5.8  	8.7           	5.1  	84.0     	107     	75     	1.214863
21                      	978.6	7.7                    	88                       	0.5  	149                    	-72.104950	-39.307396   	369    	369         	332.423   	274.521	5.8  	8.7           	5.1  	84.7     	102     	80     	1.214036
22                      	978.0	7.7                    	87                       	0.5  	149                    	-72.104954	-39.307389   	374    	374         	333.023   	274.321	5.7  	8.7           	5.1  	85.3     	097     	85     	1.213209
23                      	977.4	7.7                    	87                       	0.5  	149                    	-72.104957	-39.307382   	379    	379         	333.623   	274.120	5.7  	8.7           	5.1  	85.8     	091     	91     	1.212384
24                      	976.8	7.8                    	87                       	0.6  	149                    	-72.104961	-39.307376   	384    	384         	334.224   	273.920	5.7  	8.8           	5.1  	86.2     	084     	96     	1.211559
25                      	976.2	7.8                    	86                       	0.6  	149                    	-72.104964	-39.307369   	389    	389         	334.840   	273.720	5.6  	8.8           	5.1  	86.5     	077     	101    	1.210734
26                      	975.6	7.8                    	86                       	0.6  	149                    	-72.104968	-39.307363   	394    	394         	335.441   	273.521	5.6  	8.8           	5.1  	86.7     	070     	106    	1.209911
27                      	975.0	7.8                    	86                       	0.6  	149                    	-72.104971	-39.307356   	400    	399         	336.042   	273.321	5.5  	8.8           	5.1  	86.8     	062     	111    	1.209088
28                      	974.4	7.8                    	85                       	0.7  	149                    	-72.104975	-39.307349   	405    	404         	336.644   	273.121	5.5  	8.8           	5.1  	86.9     	055     	116    	1.208265
29                      	973.8	7.8                    	85                       	0.7  	149                    	-72.104978	-39.307343   	410    	410         	337.245   	272.922	5.5  	8.8           	5.1  	86.9     	048     	121    	1.207443
30                      	973.1	7.9                    	85                       	0.7  	149                    	-72.104982	-39.307336   	415    	415         	337.862   	272.723	5.4  	8.8           	5.1  	86.9     	042     	126    	1.206622
31                      	972.5	7.9                    	84                       	0.7  	150                    	-72.104986	-39.307329   	420    	420         	338.464   	272.524	5.4  	8.9           	5.1  	86.9     	036     	131    	1.205801
32                      	971.9	7.9                    	84                       	0.7  	151                    	-72.104989	-39.307323   	425    	425         	339.065   	272.325	5.3  	8.9           	5.1  	86.8     	031     	137    	1.204981
33                      	971.3	7.9                    	84                       	0.8  	152                    	-72.104993	-39.307316   	430    	430         	339.673   	272.132	5.3  	8.9           	5.1  	86.7     	026     	142    	1.204189
34                      	970.7	7.9                    	83                       	0.8  	154                    	-72.104996	-39.307310   	435    	435         	340.323   	271.966	5.2  	8.9           	5.1  	86.6     	022     	147    	1.203491
35                      	970.1	7.9                    	83                       	0.8  	155                    	-72.105000	-39.307303   	441    	440         	340.958   	271.799	5.2  	8.9           	5.1  	86.5     	019     	152    	1.202793
36                      	969.5	7.9                    	83                       	0.8  	156                    	-72.105003	-39.307296   	446    	445         	341.592   	271.633	5.1  	8.8           	5.1  	86.4     	016     	157    	1.202096
37                      	968.9	7.9                    	83                       	0.8  	157                    	-72.105007	-39.307290   	451    	450         	342.226   	271.466	5.1  	8.8           	5.1  	86.3     	013     	162    	1.201399
38                      	968.3	7.9                    	82                       	0.9  	158                    	-72.105010	-39.307283   	456    	456         	342.861   	271.300	5.0  	8.8           	5.1  	86.2     	011     	167    	1.200703
39                      	967.7	7.8                    	82                       	0.9  	159                    	-72.105014	-39.307277   	461    	461         	343.511   	271.134	5.0  	8.8           	5.1  	86.1     	009     	173    	1.200007
40                      	967.1	7.8                    	82                       	0.9  	159                    	-72.105018	-39.307270   	466    	466         	344.146   	270.968	4.9  	8.8           	5.1  	86.0     	007     	178    	1.199312
41                      	966.5	7.8                    	82                       	0.9  	160                    	-72.105021	-39.307263   	471    	471         	344.780   	270.802	4.9  	8.8           	5.1  	85.9     	005     	183    	1.198616
42                      	965.9	7.8                    	81                       	0.9  	161                    	-72.105025	-39.307257   	476    	476         	345.415   	270.636	4.8  	8.8           	5.1  	85.8     	004     	188    	1.197922
43                      	965.3	7.8                    	81                       	1.0  	162                    	-72.105028	-39.307250   	481    	481         	346.049   	270.469	4.8  	8.7           	5.1  	85.7     	002     	193    	1.197220
44                      	964.7	7.8                    	81                       	1.0  	163                    	-72.105032	-39.307243   	487    	486         	346.698   	270.301	4.7  	8.7           	5.1  	85.6     	001     	198    	1.196518
45                      	964.1	7.8                    	81                       	1.0  	163                    	-72.105035	-39.307237   	492    	491         	347.331   	270.134	4.7  	8.7           	5.1  	85.5     	360     	204    	1.195817
46                      	963.5	7.8                    	80                       	1.0  	164                    	-72.105039	-39.307226   	497    	497         	347.964   	269.967	4.6  	8.7           	5.2  	85.3     	359     	209    	1.195116
47                      	962.9	7.7                    	80                       	1.0  	165                    	-72.105042	-39.307206   	502    	502         	348.648   	269.818	4.6  	8.7           	5.3  	84.8     	358     	214    	1.194482
48                      	962.3	7.7                    	80                       	1.1  	165                    	-72.105046	-39.307185   	507    	507         	349.338   	269.676	4.5  	8.6           	5.3  	84.3     	358     	220    	1.193866
49                      	961.7	7.7                    	80                       	1.1  	166                    	-72.105049	-39.307165   	513    	512         	350.009   	269.531	4.4  	8.6           	5.3  	83.9     	357     	225    	1.193237
50                      	961.1	7.6                    	80                       	1.1  	166                    	-72.105052	-39.307144   	518    	518         	350.696   	269.386	4.4  	8.6           	5.3  	83.4     	357     	231    	1.192609
51                      	960.5	7.6                    	80                       	1.1  	167                    	-72.105056	-39.307124   	523    	523         	351.368   	269.241	4.3  	8.5           	5.3  	83.0     	356     	236    	1.191981
52                      	959.9	7.6                    	80                       	1.1  	167                    	-72.105059	-39.307103   	528    	528         	352.055   	269.097	4.3  	8.5           	5.3  	82.6     	356     	242    	1.191354
53                      	959.3	7.5                    	79                       	1.2  	168                    	-72.105062	-39.307083   	534    	533         	352.743   	268.952	4.2  	8.5           	5.3  	82.3     	356     	247    	1.190727
54                      	958.6	7.5                    	79                       	1.2  	168                    	-72.105066	-39.307062   	539    	539         	353.415   	268.807	4.2  	8.4           	5.3  	81.9     	356     	253    	1.190100
55                      	958.0	7.5                    	79                       	1.2  	169                    	-72.105069	-39.307042   	544    	544         	354.102   	268.663	4.1  	8.4           	5.3  	81.6     	355     	258    	1.189473
56                      	957.4	7.5                    	79                       	1.2  	169                    	-72.105072	-39.307021   	549    	549         	354.774   	268.518	4.1  	8.4           	5.3  	81.2     	355     	264    	1.188847
57                      	956.8	7.4                    	79                       	1.2  	170                    	-72.105076	-39.307000   	555    	554         	355.462   	268.374	4.0  	8.3           	5.3  	80.9     	355     	269    	1.188220
58                      	956.2	7.4                    	79                       	1.3  	170                    	-72.105079	-39.306980   	560    	560         	356.134   	268.230	4.0  	8.3           	5.3  	80.6     	355     	275    	1.187594
59                      	955.6	7.4                    	79                       	1.3  	171                    	-72.105083	-39.306959   	565    	565         	356.822   	268.085	3.9  	8.3           	5.3  	80.3     	355     	280    	1.186969
60                      	955.0	7.3                    	79                       	1.3  	171                    	-72.105086	-39.306939   	571    	570         	357.509   	267.940	3.9  	8.2           	5.3  	80.1     	355     	286    	1.186337
61                      	954.4	7.3                    	79                       	1.4  	171                    	-72.105089	-39.306918   	576    	575         	358.181   	267.796	3.8  	8.2           	5.3  	79.8     	355     	292    	1.185693
62                      	953.8	7.3                    	79                       	1.4  	171                    	-72.105093	-39.306898   	581    	581         	358.869   	267.652	3.8  	8.2           	5.3  	79.5     	355     	297    	1.185050
63                      	953.2	7.3                    	79                       	1.4  	171                    	-72.105096	-39.306877   	586    	586         	359.541   	267.507	3.8  	8.1           	5.3  	79.3     	355     	303    	1.184407
64                      	952.5	7.2                    	79                       	1.5  	172                    	-72.105099	-39.306857   	592    	591         	360.229   	267.363	3.7  	8.1           	5.3  	79.1     	355     	308    	1.183764
65                      	951.9	7.2                    	78                       	1.5  	172                    	-72.105103	-39.306836   	597    	596         	360.917   	267.219	3.7  	8.1           	5.3  	78.8     	354     	314    	1.183122
66                      	951.3	7.2                    	78                       	1.6  	172                    	-72.105106	-39.306816   	602    	602         	361.589   	267.075	3.7  	8.1           	5.3  	78.6     	354     	320    	1.182480
67                      	950.7	7.1                    	78                       	1.6  	172                    	-72.105109	-39.306795   	607    	607         	362.277   	266.931	3.7  	8.0           	5.3  	78.4     	354     	325    	1.181837
68                      	950.1	7.1                    	78                       	1.7  	172                    	-72.105113	-39.306775   	613    	612         	362.950   	266.788	3.6  	8.0           	5.3  	78.2     	354     	331    	1.181196
69                      	949.5	7.1                    	78                       	1.7  	172                    	-72.105116	-39.306754   	618    	617         	363.638   	266.644	3.6  	8.0           	5.3  	78.0     	354     	336    	1.180554
70                      	948.9	7.1                    	78                       	1.8  	172                    	-72.105119	-39.306733   	623    	623         	364.311   	266.500	3.6  	7.9           	5.3  	77.8     	354     	342    	1.179913
71                      	948.3	7.0                    	78                       	1.8  	172                    	-72.105123	-39.306713   	628    	628         	364.999   	266.356	3.5  	7.9           	5.3  	77.6     	354     	348    	1.179272
72                      	947.7	7.0                    	78                       	1.8  	172                    	-72.105126	-39.306692   	634    	633         	365.688   	266.213	3.5  	7.9           	5.3  	77.4     	354     	353    	1.178632
73                      	947.1	7.0                    	78                       	1.9  	173                    	-72.105130	-39.306672   	639    	638         	366.364   	266.072	3.5  	7.9           	5.3  	77.2     	354     	359    	1.178004
74                      	946.5	7.0                    	78                       	1.9  	173                    	-72.105133	-39.306651   	644    	644         	367.050   	265.926	3.4  	7.8           	5.3  	77.1     	354     	365    	1.177366
75                      	945.9	6.9                    	78                       	2.0  	173                    	-72.105136	-39.306631   	649    	649         	367.718   	265.778	3.4  	7.8           	5.3  	76.9     	354     	370    	1.176728
76                      	945.3	6.9                    	78                       	2.0  	173                    	-72.105140	-39.306610   	655    	654         	368.403   	265.631	3.3  	7.8           	5.3  	76.8     	354     	376    	1.176090
77                      	944.7	6.9                    	78                       	2.1  	173                    	-72.105136	-39.306585   	660    	659         	369.041   	265.484	3.3  	7.8           	5.0  	76.5     	354     	381    	1.175452
78                      	944.1	6.9                    	78                       	2.1  	173                    	-72.105131	-39.306558   	665    	664         	369.678   	265.336	3.2  	7.7           	5.0  	76.3     	355     	387    	1.174815
79                      	943.6	6.8                    	77                       	2.1  	173                    	-72.105126	-39.306532   	670    	669         	370.307   	265.196	3.2  	7.7           	5.0  	76.0     	355     	392    	1.174208
80                      	943.0	6.8                    	77                       	2.2  	173                    	-72.105121	-39.306505   	675    	674         	370.952   	265.055	3.1  	7.7           	5.0  	75.8     	356     	398    	1.173601
81                      	942.4	6.8                    	77                       	2.2  	173                    	-72.105116	-39.306478   	680    	679         	371.596   	264.915	3.1  	7.6           	5.0  	75.6     	356     	404    	1.172994
82                      	941.9	6.8                    	77                       	2.3  	173                    	-72.105111	-39.306451   	684    	684         	372.225   	264.774	3.0  	7.6           	5.0  	75.3     	356     	409    	1.172388
83                      	941.3	6.7                    	77                       	2.3  	173                    	-72.105106	-39.306425   	689    	689         	372.870   	264.634	3.0  	7.6           	5.0  	75.1     	357     	415    	1.171782
84                      	940.7	6.7                    	77                       	2.4  	173                    	-72.105101	-39.306398   	694    	694         	373.499   	264.494	3.0  	7.6           	5.0  	74.9     	357     	420    	1.171176
85                      	940.2	6.7                    	77                       	2.4  	173                    	-72.105096	-39.306371   	699    	699         	374.143   	264.353	2.9  	7.5           	5.0  	74.7     	357     	426    	1.170570
86                      	939.6	6.7                    	77                       	2.4  	173                    	-72.105091	-39.306345   	704    	704         	374.788   	264.213	2.9  	7.5           	5.0  	74.5     	358     	431    	1.169965
87                      	939.0	6.6                    	76                       	2.5  	173                    	-72.105086	-39.306318   	709    	709         	375.423   	264.079	2.8  	7.5           	5.0  	74.3     	358     	437    	1.169387
88                      	938.5	6.6                    	76                       	2.5  	173                    	-72.105081	-39.306291   	714    	714         	376.081   	263.951	2.7  	7.4           	5.0  	74.1     	358     	442    	1.168840
