Flight Information:
Launch Date:            	     	                       	Tuesday, 15 December 2020	     	                       	          	Launch Time: 	       	            	11:32:05  	          	        	End of Ascent:	     	         	01:22:18
Station name:           	     	                       	                         	     	                       	          	Serialnumber:	       	            	20027514
Ground values:
Pressure:               	     	                       	988.9 hPa                	     	                       	          	Temperature: 	       	            	9.7 °C    	          	        	Humidity:     	     	         	80 %
Wind Direction:         	     	                       	113 °                    	     	                       	          	Wind Speed:  	       	            	1 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-72.105 °                	     	                       	          	Latitude:    	       	            	-39.307 ° 	          	        	Altitude:     	     	         	286 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                         	     	                       	          	
Events:
Highest Point:          	     	                       	10.3 hPa                 	     	                       	          	30999 m
Tropopauses:            	     	                       	1.: 198.2 hPa            	     	                       	          	2.: 94.9 hPa 	       	            	
Max Winds:              	     	                       	1.: 187.8 hPa            	     	                       	          	             	       	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                       	Ws   	Wd                     	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                   	[%]                      	[m/s]	[°]                    	[°]       	[°]          	[m]    	[m]         	          	          	[°C]    	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	988.9	9.7                    	80                       	1.0  	113                    	-72.105164	-39.307376   	286    	286         	319.858   	275.035   	6.4     	10.7          	0.0  	39.3     	180     	0      	1.218188
1                       	988.3	9.5                    	78                       	1.1  	115                    	-72.105184	-39.307376   	290    	290         	320.557   	274.964   	5.9     	10.5          	4.9  	71.0     	257     	5      	1.218221
2                       	987.7	9.4                    	76                       	1.1  	117                    	-72.105204	-39.307376   	295    	295         	321.240   	274.893   	5.4     	10.3          	4.9  	70.7     	263     	11     	1.218255
3                       	987.2	9.2                    	75                       	1.2  	118                    	-72.105224	-39.307376   	300    	300         	321.938   	274.822   	4.9     	10.1          	4.9  	70.6     	265     	16     	1.218290
4                       	986.6	9.0                    	73                       	1.3  	119                    	-72.105244	-39.307376   	305    	305         	322.620   	274.751   	4.4     	9.9           	4.9  	70.5     	266     	21     	1.218325
5                       	986.0	8.8                    	71                       	1.3  	121                    	-72.105265	-39.307377   	310    	310         	323.319   	274.680   	3.9     	9.7           	4.9  	70.5     	267     	26     	1.218360
6                       	985.4	8.7                    	69                       	1.4  	122                    	-72.105285	-39.307377   	315    	315         	324.017   	274.609   	3.4     	9.5           	4.9  	70.5     	267     	31     	1.218396
7                       	984.9	8.5                    	68                       	1.5  	123                    	-72.105305	-39.307377   	320    	319         	324.641   	274.479   	2.9     	9.4           	4.9  	70.4     	267     	36     	1.218176
8                       	984.3	8.5                    	68                       	1.5  	124                    	-72.105325	-39.307377   	324    	324         	325.307   	274.376   	2.8     	9.3           	4.9  	70.4     	268     	42     	1.217719
