Flight Information:
Launch Date:            	     	                       	Tuesday, 15 December 2020	        	                        	          	Launch Time: 	       	            	12:32:59    	          	        	End of Ascent:	     	         	01:41:56
Station name:           	     	                       	                         	        	                        	          	Serialnumber:	       	            	20027443
Ground values:
Pressure:               	     	                       	988.8 hPa                	        	                        	          	Temperature: 	       	            	10.9 °C     	          	        	Humidity:     	     	         	81 %
Wind Direction:         	     	                       	161 °                    	        	                        	          	Wind Speed:  	       	            	1 m/s       	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-72.105 °                	        	                        	          	Latitude:    	       	            	-39.307 °   	          	        	Altitude:     	     	         	261 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                         	        	                        	          	
Events:
Highest Point:          	     	                       	9.5 hPa                  	        	                        	          	31590 m
Tropopauses:            	     	                       	1.: 275.5 hPa            	        	                        	          	2.: 154.1 hPa	       	            	3.: 83.7 hPa
Max Winds:              	     	                       	1.: 250.0 hPa            	        	                        	          	             	       	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                       	Ws      	Wd                      	Long.     	Lat.         	Alt    	Geopot      	MRI         	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                   	[%]                      	[m/s]   	[°]                     	[°]       	[°]          	[m]    	[m]         	            	          	[°C]    	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	988.8	10.9                   	81                       	0.9     	161                     	-72.105115	-39.307461   	261    	261         	314.775     	273.876   	7.8     	12.0          	0.0  	39.3     	180     	0      	1.212919
1                       	988.1	10.6                   	79                       	0.9     	158                     	-72.105120	-39.307467   	266    	266         	315.725     	273.900   	7.1     	11.7          	5.9  	79.7     	201     	6      	1.213368
2                       	987.4	10.3                   	77                       	0.9     	155                     	-72.105124	-39.307474   	272    	272         	316.659     	273.923   	6.5     	11.3          	5.9  	80.9     	204     	12     	1.213819
3                       	986.7	10.0                   	76                       	1.0     	152                     	-72.105129	-39.307480   	278    	278         	317.609     	273.947   	5.9     	11.0          	5.9  	81.4     	206     	18     	1.214271
4                       	986.0	9.7                    	74                       	1.0     	148                     	-72.105133	-39.307486   	284    	284         	318.543     	273.970   	5.2     	10.6          	5.9  	81.6     	207     	24     	1.214725
5                       	985.3	9.4                    	72                       	1.0     	145                     	-72.105138	-39.307492   	290    	290         	319.493     	273.994   	4.6     	10.3          	5.9  	81.7     	207     	30     	1.215181
6                       	984.6	9.1                    	70                       	1.0     	141                     	-72.105143	-39.307498   	296    	296         	320.427     	274.018   	3.9     	10.0          	5.9  	81.8     	208     	36     	1.215638
7                       	984.0	8.9                    	68                       	1.0     	138                     	-72.105147	-39.307505   	302    	301         	321.241     	273.906   	3.4     	9.8           	5.9  	81.9     	208     	42     	1.215503
8                       	983.3	8.9                    	68                       	1.0     	134                     	-72.105152	-39.307511   	307    	307         	322.001     	273.755   	3.3     	9.7           	5.9  	81.9     	208     	48     	1.214822
9                       	982.6	8.8                    	69                       	1.1     	131                     	-72.105156	-39.307517   	313    	313         	322.790     	273.618   	3.4     	9.7           	5.9  	82.0     	208     	54     	1.214142
10                      	981.9	8.8                    	69                       	1.1     	128                     	-72.105161	-39.307523   	319    	319         	323.563     	273.480   	3.4     	9.6           	5.9  	82.0     	209     	59     	1.213462
11                      	981.2	8.7                    	69                       	1.1     	124                     	-72.105166	-39.307530   	325    	325         	324.352     	273.343   	3.4     	9.6           	5.9  	82.0     	209     	65     	1.212782
12                      	980.5	8.7                    	69                       	1.1     	121                     	-72.105170	-39.307536   	331    	331         	325.125     	273.205   	3.4     	9.6           	5.9  	82.0     	209     	71     	1.212103
13                      	979.8	8.7                    	70                       	1.1     	118                     	-72.105175	-39.307542   	337    	336         	325.914     	273.068   	3.4     	9.5           	5.9  	82.0     	209     	77     	1.211423
14                      	979.1	8.6                    	70                       	1.1     	115                     	-72.105179	-39.307548   	342    	342         	326.687     	272.931   	3.5     	9.5           	5.9  	82.1     	209     	83     	1.210744
15                      	978.4	8.6                    	70                       	1.2     	112                     	-72.105189	-39.307554   	348    	348         	327.476     	272.793   	3.5     	9.4           	5.9  	81.9     	211     	89     	1.210065
16                      	977.7	8.5                    	70                       	1.2     	109                     	-72.105207	-39.307560   	354    	354         	328.250     	272.656   	3.5     	9.4           	5.9  	81.6     	215     	95     	1.209387
17                      	977.0	8.5                    	71                       	1.2     	107                     	-72.105224	-39.307566   	360    	360         	329.039     	272.519   	3.5     	9.4           	5.9  	81.3     	218     	101    	1.208708
18                      	976.4	8.5                    	71                       	1.2     	104                     	-72.105242	-39.307572   	366    	366         	329.813     	272.382   	3.5     	9.3           	5.9  	81.0     	221     	107    	1.208031
19                      	975.8	8.4                    	71                       	1.2     	102                     	-72.105260	-39.307578   	370    	370         	330.439     	272.286   	3.5     	9.3           	4.6  	80.6     	223     	112    	1.207535
20                      	975.3	8.4                    	72                       	1.3     	100                     	-72.105277	-39.307584   	375    	375         	331.065     	272.190   	3.6     	9.2           	4.6  	80.2     	225     	116    	1.207042
21                      	974.7	8.3                    	72                       	1.3     	098                     	-72.105295	-39.307590   	380    	379         	331.698     	272.100   	3.6     	9.2           	4.6  	79.9     	227     	121    	1.206576
22                      	974.2	8.3                    	72                       	1.3     	096                     	-72.105313	-39.307595   	384    	384         	332.330     	272.011   	3.6     	9.1           	4.6  	79.5     	228     	126    	1.206110
23                      	973.6	8.2                    	72                       	1.3     	094                     	-72.105331	-39.307601   	389    	389         	332.947     	271.921   	3.6     	9.1           	4.6  	79.2     	229     	131    	1.205644
24                      	973.1	8.2                    	73                       	1.3     	092                     	-72.105348	-39.307607   	393    	393         	333.580     	271.832   	3.6     	9.1           	4.6  	78.9     	231     	136    	1.205179
25                      	972.6	8.1                    	73                       	1.3     	091                     	-72.105366	-39.307613   	398    	398         	334.213     	271.742   	3.6     	9.0           	4.6  	78.6     	231     	140    	1.204713
26                      	972.0	8.1                    	73                       	1.4     	089                     	-72.105384	-39.307619   	403    	402         	334.845     	271.653   	3.6     	9.0           	4.6  	78.4     	232     	145    	1.204248
27                      	971.5	8.0                    	73                       	1.4     	088                     	-72.105401	-39.307625   	407    	407         	335.478     	271.564   	3.6     	8.9           	4.6  	78.1     	233     	150    	1.203782
28                      	971.0	8.0                    	74                       	1.4     	086                     	-72.105419	-39.307631   	412    	411         	336.111     	271.474   	3.6     	8.9           	4.6  	77.9     	234     	155    	1.203317
29                      	970.4	8.0                    	74                       	1.4     	085                     	-72.105437	-39.307636   	416    	416         	336.744     	271.385   	3.6     	8.8           	4.6  	77.7     	234     	160    	1.202852
30                      	969.9	7.9                    	74                       	1.4     	084                     	-72.105455	-39.307642   	421    	421         	337.377     	271.296   	3.6     	8.8           	4.6  	77.5     	235     	165    	1.202388
31                      	969.3	7.9                    	75                       	1.4     	083                     	-72.105472	-39.307648   	425    	425         	337.994     	271.206   	3.6     	8.7           	4.6  	77.3     	236     	169    	1.201923
32                      	968.8	7.8                    	75                       	1.4     	083                     	-72.105490	-39.307654   	430    	430         	338.627     	271.117   	3.6     	8.7           	4.6  	77.1     	236     	174    	1.201458
33                      	968.3	7.8                    	75                       	1.4     	083                     	-72.105508	-39.307660   	435    	434         	339.260     	271.027   	3.6     	8.6           	4.6  	76.9     	236     	179    	1.200993
34                      	967.7	7.7                    	75                       	1.4     	082                     	-72.105525	-39.307666   	439    	439         	339.881     	270.927   	3.7     	8.6           	4.6  	76.7     	237     	184    	1.200489
35                      	967.2	7.7                    	76                       	1.4     	082                     	-72.105543	-39.307672   	444    	444         	340.498     	270.822   	3.7     	8.6           	4.6  	76.6     	237     	189    	1.199964
36                      	966.6	7.7                    	76                       	1.3     	082                     	-72.105561	-39.307677   	448    	448         	341.115     	270.717   	3.7     	8.5           	4.6  	76.4     	238     	194    	1.199439
37                      	966.1	7.6                    	76                       	1.3     	081                     	-72.105579	-39.307683   	453    	453         	341.732     	270.611   	3.7     	8.5           	4.6  	76.2     	238     	198    	1.198914
38                      	965.6	7.6                    	76                       	1.3     	081                     	-72.105596	-39.307689   	458    	457         	342.334     	270.506   	3.7     	8.5           	4.6  	76.1     	238     	203    	1.198389
39                      	965.0	7.6                    	77                       	1.3     	080                     	-72.105614	-39.307695   	462    	462         	342.951     	270.401   	3.7     	8.4           	4.6  	76.0     	239     	208    	1.197865
40                      	964.5	7.5                    	77                       	1.3     	080                     	-72.105632	-39.307701   	467    	466         	343.568     	270.296   	3.7     	8.4           	4.6  	75.8     	239     	213    	1.197341
41                      	964.0	7.5                    	77                       	1.3     	079                     	-72.105650	-39.307707   	471    	471         	344.185     	270.191   	3.7     	8.4           	4.6  	75.7     	239     	218    	1.196817
42                      	963.4	7.5                    	77                       	1.3     	079                     	-72.105667	-39.307713   	476    	476         	344.802     	270.086   	3.7     	8.3           	4.6  	75.6     	239     	223    	1.196293
43                      	962.9	7.4                    	77                       	1.2     	079                     	-72.105685	-39.307718   	481    	480         	345.422     	269.984   	3.7     	8.3           	4.6  	75.5     	240     	228    	1.195781
44                      	962.4	7.4                    	78                       	1.2     	078                     	-72.105703	-39.307724   	485    	485         	346.042     	269.881   	3.8     	8.3           	4.6  	75.4     	240     	232    	1.195269
45                      	961.8	7.4                    	78                       	1.2     	078                     	-72.105720	-39.307730   	490    	489         	346.646     	269.779   	3.8     	8.2           	4.6  	75.3     	240     	237    	1.194757
46                      	961.3	7.3                    	78                       	1.2     	077                     	-72.105725	-39.307726   	494    	494         	347.251     	269.677   	3.8     	8.2           	4.4  	75.5     	240     	242    	1.194245
47                      	960.8	7.3                    	78                       	1.2     	077                     	-72.105729	-39.307722   	499    	498         	347.839     	269.575   	3.8     	8.2           	4.4  	75.7     	241     	246    	1.193740
48                      	960.3	7.3                    	79                       	1.2     	076                     	-72.105734	-39.307718   	503    	503         	348.433     	269.477   	3.8     	8.1           	4.4  	76.0     	242     	250    	1.193259
49                      	959.8	7.2                    	79                       	1.2     	076                     	-72.105738	-39.307714   	507    	507         	349.028     	269.382   	3.8     	8.1           	4.4  	76.2     	242     	254    	1.192787
50                      	959.2	7.2                    	79                       	1.1     	075                     	-72.105742	-39.307709   	512    	511         	349.640     	269.287   	3.8     	8.1           	4.4  	76.4     	243     	259    	1.192316
51                      	958.7	7.1                    	79                       	1.1     	075                     	-72.105747	-39.307705   	516    	516         	350.235     	269.192   	3.8     	8.0           	4.4  	76.6     	243     	263    	1.191845
52                      	958.2	7.1                    	79                       	1.1     	074                     	-72.105751	-39.307701   	521    	520         	350.831     	269.097   	3.8     	8.0           	4.4  	76.8     	244     	267    	1.191375
53                      	957.7	7.0                    	79                       	1.1     	073                     	-72.105755	-39.307697   	525    	525         	351.443     	269.002   	3.7     	7.9           	4.4  	77.0     	244     	272    	1.190904
54                      	957.2	7.0                    	80                       	1.1     	073                     	-72.105760	-39.307693   	530    	529         	352.039     	268.907   	3.7     	7.9           	4.4  	77.1     	245     	276    	1.190434
55                      	956.7	7.0                    	80                       	1.1     	072                     	-72.105764	-39.307689   	534    	534         	352.635     	268.812   	3.7     	7.9           	4.4  	77.3     	245     	281    	1.189963
56                      	956.1	6.9                    	80                       	1.1     	072                     	-72.105769	-39.307684   	538    	538         	353.246     	268.717   	3.7     	7.8           	4.4  	77.5     	246     	285    	1.189493
57                      	955.6	6.9                    	80                       	1.0     	071                     	-72.105773	-39.307680   	543    	542         	353.842     	268.623   	3.7     	7.8           	4.4  	77.6     	246     	289    	1.189023
58                      	955.1	6.8                    	80                       	1.0     	070                     	-72.105777	-39.307676   	547    	547         	354.438     	268.528   	3.7     	7.7           	4.4  	77.8     	247     	294    	1.188553
59                      	954.6	6.8                    	81                       	1.0     	070                     	-72.105782	-39.307672   	552    	551         	355.050     	268.433   	3.7     	7.7           	4.4  	77.9     	248     	298    	1.188083
60                      	954.1	6.8                    	81                       	1.0     	069                     	-72.105786	-39.307668   	556    	556         	355.646     	268.338   	3.7     	7.7           	4.4  	78.1     	248     	302    	1.187614
61                      	953.6	6.7                    	81                       	1.0     	071                     	-72.105790	-39.307664   	561    	560         	356.233     	268.235   	3.7     	7.6           	4.4  	78.2     	249     	307    	1.187116
62                      	953.1	6.7                    	81                       	1.0     	073                     	-72.105795	-39.307660   	565    	565         	356.835     	268.130   	3.7     	7.6           	4.4  	78.4     	249     	311    	1.186611
63                      	952.6	6.7                    	81                       	1.0     	075                     	-72.105799	-39.307655   	569    	569         	357.421     	268.025   	3.7     	7.6           	4.4  	78.5     	250     	316    	1.186106
64                      	952.0	6.6                    	81                       	1.0     	078                     	-72.105803	-39.307651   	574    	573         	358.006     	267.920   	3.7     	7.5           	4.4  	78.6     	250     	320    	1.185601
65                      	951.5	6.6                    	81                       	1.0     	081                     	-72.105808	-39.307647   	578    	578         	358.592     	267.815   	3.7     	7.5           	4.4  	78.7     	251     	324    	1.185096
66                      	951.0	6.6                    	82                       	1.0     	084                     	-72.105812	-39.307643   	583    	582         	359.194     	267.710   	3.7     	7.5           	4.4  	78.9     	251     	329    	1.184592
67                      	950.5	6.5                    	82                       	1.0     	087                     	-72.105817	-39.307639   	587    	587         	359.780     	267.605   	3.7     	7.4           	4.4  	79.0     	252     	333    	1.184087
68                      	950.0	6.5                    	82                       	1.0     	091                     	-72.105821	-39.307635   	592    	591         	360.366     	267.500   	3.6     	7.4           	4.4  	79.1     	252     	337    	1.183582
69                      	949.5	6.5                    	82                       	1.0     	095                     	-72.105825	-39.307630   	596    	596         	360.967     	267.395   	3.6     	7.4           	4.4  	79.2     	253     	342    	1.183078
70                      	949.0	6.5                    	82                       	1.0     	099                     	-72.105830	-39.307626   	600    	600         	361.553     	267.291   	3.6     	7.3           	4.4  	79.3     	253     	346    	1.182574
71                      	948.5	6.4                    	82                       	1.0     	104                     	-72.105834	-39.307622   	605    	604         	362.140     	267.186   	3.6     	7.3           	4.4  	79.4     	254     	351    	1.182070
72                      	947.9	6.4                    	82                       	1.0     	109                     	-72.105838	-39.307618   	609    	609         	362.741     	267.081   	3.6     	7.3           	4.4  	79.5     	254     	355    	1.181567
73                      	947.4	6.4                    	83                       	1.0     	114                     	-72.105843	-39.307614   	614    	613         	363.320     	266.970   	3.6     	7.2           	4.4  	79.6     	255     	359    	1.181031
74                      	946.9	6.3                    	83                       	1.0     	119                     	-72.105847	-39.307610   	618    	618         	363.903     	266.861   	3.6     	7.2           	4.4  	79.7     	255     	364    	1.180513
75                      	946.3	6.3                    	83                       	1.0     	125                     	-72.105851	-39.307605   	623    	622         	364.509     	266.760   	3.6     	7.2           	4.4  	79.7     	256     	368    	1.180030
76                      	945.8	6.2                    	83                       	1.0     	130                     	-72.105850	-39.307596   	627    	627         	365.146     	266.660   	3.5     	7.1           	4.7  	79.9     	256     	373    	1.179547
77                      	945.3	6.2                    	83                       	1.0     	135                     	-72.105842	-39.307581   	632    	632         	365.815     	266.559   	3.5     	7.1           	5.0  	80.2     	258     	377    	1.179065
78                      	944.7	6.1                    	83                       	1.0     	140                     	-72.105834	-39.307567   	637    	637         	366.499     	266.459   	3.5     	7.0           	5.0  	80.5     	259     	382    	1.178583
79                      	944.2	6.1                    	83                       	1.0     	145                     	-72.105826	-39.307552   	642    	642         	367.158     	266.348   	3.5     	7.0           	5.0  	80.7     	260     	387    	1.178056
80                      	943.6	6.1                    	83                       	1.0     	150                     	-72.105818	-39.307537   	647    	647         	367.833     	266.238   	3.5     	6.9           	5.0  	81.0     	262     	392    	1.177529
81                      	943.0	6.0                    	83                       	1.0     	154                     	-72.105811	-39.307523   	652    	652         	368.507     	266.128   	3.4     	6.9           	5.0  	81.2     	263     	397    	1.177003
82                      	942.4	6.0                    	84                       	1.0     	158                     	-72.105803	-39.307508   	657    	657         	369.166     	266.017   	3.4     	6.8           	5.0  	81.5     	265     	401    	1.176477
83                      	941.9	5.9                    	84                       	1.0     	161                     	-72.105795	-39.307494   	662    	662         	369.841     	265.907   	3.4     	6.8           	5.0  	81.7     	266     	406    	1.175951
84                      	941.3	5.9                    	84                       	1.0     	165                     	-72.105787	-39.307479   	667    	667         	370.500     	265.797   	3.4     	6.8           	5.0  	81.9     	268     	411    	1.175426
85                      	940.7	5.8                    	84                       	1.0     	167                     	-72.105779	-39.307464   	672    	671         	371.175     	265.687   	3.3     	6.7           	5.0  	82.1     	269     	416    	1.174900
86                      	940.2	5.8                    	84                       	1.0     	170                     	-72.105771	-39.307450   	677    	676         	371.850     	265.577   	3.3     	6.7           	5.0  	82.3     	271     	421    	1.174374
87                      	939.6	5.7                    	84                       	1.0     	173                     	-72.105764	-39.307435   	682    	681         	372.508     	265.465   	3.3     	6.6           	5.0  	82.4     	273     	425    	1.173849
88                      	939.0	5.7                    	84                       	1.0     	175                     	-72.105756	-39.307420   	687    	686         	373.175     	265.348   	3.3     	6.6           	5.0  	82.6     	274     	430    	1.173305
89                      	938.5	5.7                    	84                       	1.0     	177                     	-72.105748	-39.307406   	692    	691         	373.827     	265.230   	3.2     	6.5           	5.0  	82.7     	276     	435    	1.172758
90                      	937.9	5.6                    	84                       	1.0     	179                     	-72.105740	-39.307391   	697    	696         	374.494     	265.112   	3.2     	6.5           	5.0  	82.9     	278     	440    	1.172212
91                      	937.3	5.6                    	84                       	1.1     	182                     	-72.105732	-39.307377   	702    	701         	375.161     	264.994   	3.2     	6.5           	5.0  	83.0     	280     	445    	1.171665
92                      	936.8	5.6                    	84                       	1.2     	185                     	-72.105724	-39.307362   	707    	706         	375.812     	264.876   	3.1     	6.4           	5.0  	83.1     	281     	450    	1.171119
93                      	936.2	5.5                    	84                       	1.2     	188                     	-72.105717	-39.307347   	712    	711         	376.479     	264.758   	3.1     	6.4           	5.0  	83.3     	283     	455    	1.170573
94                      	935.6	5.5                    	85                       	1.3     	190                     	-72.105709	-39.307333   	717    	716         	377.131     	264.640   	3.1     	6.3           	5.0  	83.4     	285     	459    	1.170027
95                      	935.1	5.4                    	85                       	1.4     	192                     	-72.105701	-39.307318   	722    	721         	377.798     	264.523   	3.1     	6.3           	5.0  	83.5     	287     	464    	1.169481
96                      	934.5	5.4                    	85                       	1.4     	194                     	-72.105693	-39.307303   	727    	726         	378.466     	264.405   	3.0     	6.3           	5.0  	83.5     	289     	469    	1.168936
97                      	933.9	5.4                    	85                       	1.5     	196                     	-72.105685	-39.307289   	731    	731         	379.117     	264.287   	3.0     	6.2           	5.0  	83.6     	291     	474    	1.168391
98                      	933.4	5.3                    	85                       	1.6     	198                     	-72.105677	-39.307274   	736    	736         	379.785     	264.170   	3.0     	6.2           	5.0  	83.7     	293     	479    	1.167845
99                      	932.8	5.3                    	85                       	1.7     	199                     	-72.105670	-39.307259   	741    	741         	380.452     	264.052   	2.9     	6.1           	5.0  	83.8     	295     	484    	1.167300
100                     	932.2	5.2                    	85                       	1.7     	201                     	-72.105662	-39.307245   	746    	746         	381.104     	263.934   	2.9     	6.1           	5.0  	83.8     	297     	489    	1.166756
101                     	931.7	5.2                    	85                       	1.8     	202                     	-72.105654	-39.307230   	751    	751         	381.766     	263.812   	2.9     	6.1           	5.0  	83.9     	299     	494    	1.166198
102                     	931.1	5.2                    	85                       	1.9     	203                     	-72.105646	-39.307216   	756    	756         	382.409     	263.686   	2.9     	6.0           	5.0  	83.9     	300     	499    	1.165624
103                     	930.5	5.1                    	85                       	1.9     	204                     	-72.105638	-39.307201   	761    	761         	383.068     	263.559   	2.8     	6.0           	5.0  	83.9     	302     	504    	1.165047
104                     	930.0	5.1                    	85                       	2.0     	205                     	-72.105630	-39.307186   	766    	766         	383.726     	263.433   	2.8     	6.0           	5.0  	83.9     	304     	509    	1.164471
