Flight Information:
Launch Date:            	     	                       	Sunday, 13 December 2020	     	                        	          	Launch Time: 	       	            	19:02:45  	          	        	End of Ascent:	     	         	01:54:12
Station name:           	     	                       	                        	     	                        	          	Serialnumber:	       	            	20027707
Ground values:
Pressure:               	     	                       	990.7 hPa               	     	                        	          	Temperature: 	       	            	16.5 °C   	          	        	Humidity:     	     	         	56 %
Wind Direction:         	     	                       	316 °                   	     	                        	          	Wind Speed:  	       	            	0 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-72.105 °               	     	                        	          	Latitude:    	       	            	-39.308 ° 	          	        	Altitude:     	     	         	264 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                        	     	                        	          	
Events:
Highest Point:          	     	                       	7.1 hPa                 	     	                        	          	33554 m
Tropopauses:            	     	                       	1.: 204.2 hPa           	     	                        	          	2.: 111.6 hPa	       	            	
Max Winds:              	     	                       	1.: 186.8 hPa           	     	                        	          	             	       	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                      	Ws   	Wd                      	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                   	[%]                     	[m/s]	[°]                     	[°]       	[°]          	[m]    	[m]         	          	          	[°C]    	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	990.7	16.5                   	56                      	0.4  	316                     	-72.105087	-39.307956   	264    	264         	309.387   	267.908   	7.7     	17.7          	0.0  	39.3     	180     	0      	1.191754
1                       	990.0	16.4                   	55                      	0.5  	316                     	-72.105056	-39.307947   	270    	270         	310.182   	267.744   	7.4     	17.6          	6.1  	66.8     	077     	7      	1.191195
2                       	989.3	16.4                   	54                      	0.6  	316                     	-72.105025	-39.307938   	276    	276         	310.960   	267.581   	7.1     	17.5          	6.1  	65.8     	073     	14     	1.190636
3                       	988.6	16.3                   	53                      	0.7  	316                     	-72.104994	-39.307929   	282    	282         	311.755   	267.418   	6.8     	17.4          	6.1  	65.5     	072     	20     	1.190078
4                       	987.9	16.2                   	52                      	0.8  	316                     	-72.104963	-39.307920   	289    	288         	312.549   	267.255   	6.5     	17.3          	6.1  	65.4     	071     	27     	1.189519
5                       	987.2	16.1                   	52                      	0.9  	316                     	-72.104932	-39.307911   	295    	295         	313.328   	267.092   	6.2     	17.2          	6.1  	65.2     	071     	34     	1.188962
6                       	986.5	16.1                   	51                      	1.0  	316                     	-72.104901	-39.307902   	301    	301         	314.123   	266.929   	5.9     	17.1          	6.1  	65.2     	071     	40     	1.188404
7                       	985.8	15.9                   	50                      	1.1  	316                     	-72.104870	-39.307893   	307    	307         	314.987   	266.835   	5.5     	16.9          	6.1  	65.2     	071     	47     	1.188153
8                       	985.1	15.8                   	50                      	1.2  	316                     	-72.104839	-39.307884   	313    	313         	315.879   	266.785   	5.3     	16.8          	6.1  	65.1     	070     	54     	1.187939
