Flight Information:
Launch Date:            	     	                       	Tuesday, 15 December 2020	     	                       	          	Launch Time: 	       	            	11:32:07  	       	     	End of Ascent:	     	         	01:22:16
Station name:           	     	                       	OKSTATE USRI             	     	                       	          	Serialnumber:	       	            	20027514
Ground Values:
Pressure:               	     	                       	988.9 hPa                	     	                       	          	Temperature: 	       	            	9.7 °C    	       	     	Humidity:     	     	         	80 %
Wind direction:         	     	                       	113 °                    	     	                       	          	Wind speed:  	       	            	1 m/s     	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-72.105 °                	     	                       	          	Latitude:    	       	            	-39.307 ° 	       	     	Altitude:     	     	         	276 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                         	     	                       	          	
Events:
Highest Point:          	     	                       	10.3 hPa                 	     	                       	          	30999 m
Tropopauses:            	     	                       	1.: 197.9 hPa            	     	                       	          	2.: 94.8 hPa 	       	            	
Max Winds:              	     	                       	1.: 188.1 hPa            	     	                       	          	             	       	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                       	Ws   	Wd                     	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                   	[%]                      	[m/s]	[°]                    	[°]       	[°]          	[m]    	[m]         	          	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	988.9	9.7                    	80                       	1.0  	113                    	-72.105164	-39.307380   	276    	276         	318.367   	275.035	6.4  	10.7          	0.0  	39.3     	180     	0      	1.218188
1                       	988.2	9.5                    	78                       	1.9  	143                    	-72.105188	-39.307377   	282    	282         	319.229   	274.939	5.9  	10.5          	6.1  	71.9     	268     	7      	1.218111
2                       	987.4	9.3                    	76                       	1.9  	142                    	-72.105212	-39.307375   	288    	288         	320.090   	274.843	5.4  	10.3          	6.1  	71.5     	273     	13     	1.218034
3                       	986.7	9.1                    	75                       	1.9  	142                    	-72.105237	-39.307372   	294    	294         	320.967   	274.747	4.9  	10.1          	6.1  	71.4     	274     	20     	1.217957
4                       	986.0	8.9                    	73                       	2.0  	141                    	-72.105261	-39.307370   	301    	300         	321.829   	274.650	4.3  	9.8           	6.1  	71.3     	275     	26     	1.217880
5                       	985.3	8.7                    	71                       	2.0  	141                    	-72.105285	-39.307367   	307    	307         	322.689   	274.553	3.8  	9.6           	6.1  	71.3     	276     	33     	1.217802
6                       	984.5	8.6                    	69                       	2.0  	140                    	-72.105309	-39.307365   	313    	313         	323.550   	274.456	3.3  	9.4           	6.1  	71.2     	276     	39     	1.217725
7                       	983.8	8.5                    	68                       	2.2  	138                    	-72.105333	-39.307362   	319    	319         	324.339   	274.272	2.8  	9.3           	6.1  	71.2     	276     	46     	1.217240
8                       	983.1	8.4                    	68                       	2.3  	137                    	-72.105358	-39.307360   	325    	325         	325.169   	274.144	2.8  	9.2           	6.1  	71.2     	276     	52     	1.216604
9                       	982.4	8.3                    	68                       	2.5  	136                    	-72.105382	-39.307357   	331    	331         	325.999   	274.016	2.8  	9.2           	6.1  	71.2     	277     	59     	1.215967
10                      	981.6	8.3                    	68                       	2.6  	134                    	-72.105406	-39.307355   	337    	337         	326.828   	273.888	2.8  	9.1           	6.1  	71.1     	277     	65     	1.215330
11                      	980.9	8.2                    	69                       	2.8  	133                    	-72.105430	-39.307352   	343    	343         	327.674   	273.760	2.8  	9.0           	6.1  	71.1     	277     	72     	1.214693
12                      	980.2	8.2                    	69                       	2.9  	132                    	-72.105454	-39.307350   	350    	349         	328.503   	273.632	2.8  	9.0           	6.1  	71.1     	277     	78     	1.214055
13                      	979.5	8.1                    	69                       	3.1  	132                    	-72.105479	-39.307347   	356    	355         	329.341   	273.512	2.8  	8.9           	6.1  	71.1     	277     	84     	1.213454
14                      	978.8	8.0                    	69                       	3.3  	131                    	-72.105503	-39.307345   	362    	362         	330.179   	273.392	2.8  	8.9           	6.1  	71.1     	277     	91     	1.212852
15                      	978.1	8.0                    	70                       	3.4  	130                    	-72.105527	-39.307342   	368    	368         	331.032   	273.271	2.8  	8.8           	6.1  	71.1     	277     	97     	1.212249
16                      	977.4	7.9                    	70                       	3.4  	130                    	-72.105559	-39.307322   	374    	373         	331.791   	273.151	2.8  	8.7           	5.7  	70.5     	280     	104    	1.211647
17                      	976.7	7.9                    	70                       	3.4  	131                    	-72.105591	-39.307302   	379    	379         	332.565   	273.031	2.8  	8.7           	5.7  	70.0     	283     	110    	1.211044
18                      	976.0	7.8                    	70                       	3.5  	131                    	-72.105623	-39.307282   	385    	385         	333.324   	272.911	2.8  	8.6           	5.7  	69.4     	285     	117    	1.210441
19                      	975.3	7.7                    	71                       	3.5  	131                    	-72.105655	-39.307262   	391    	390         	334.107   	272.798	2.8  	8.5           	5.7  	68.9     	287     	123    	1.209874
20                      	974.7	7.7                    	71                       	3.5  	131                    	-72.105688	-39.307242   	396    	396         	334.861   	272.673	2.8  	8.5           	5.7  	68.4     	288     	129    	1.209252
21                      	974.0	7.6                    	71                       	3.5  	132                    	-72.105720	-39.307222   	402    	402         	335.625   	272.543	2.8  	8.5           	5.7  	68.0     	290     	136    	1.208611
