Flight Information:
Launch Date:            	     	                       	Sunday, 13 December 2020	     	                        	          	Launch Time: 	       	            	19:02:45  	          	        	End of Ascent:	     	         	01:54:12
Station name:           	     	                       	OKSTATE USRI            	     	                        	          	Serialnumber:	       	            	20027707
Ground values:
Pressure:               	     	                       	990.7 hPa               	     	                        	          	Temperature: 	       	            	16.5 °C   	          	        	Humidity:     	     	         	56 %
Wind Direction:         	     	                       	316 °                   	     	                        	          	Wind Speed:  	       	            	0 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-72.105 °               	     	                        	          	Latitude:    	       	            	-39.308 ° 	          	        	Altitude:     	     	         	276 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                        	     	                        	          	
Events:
Highest Point:          	     	                       	7.2 hPa                 	     	                        	          	33554 m
Tropopauses:            	     	                       	1.: 203.9 hPa           	     	                        	          	2.: 112.5 hPa	       	            	
Max Winds:              	     	                       	1.: 187.0 hPa           	     	                        	          	             	       	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                      	Ws   	Wd                      	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                   	[%]                     	[m/s]	[°]                     	[°]       	[°]          	[m]    	[m]         	          	          	[°C]    	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	990.7	16.5                   	56                      	0.4  	316                     	-72.105090	-39.307960   	276    	276         	311.240   	267.908   	7.7     	17.7          	0.0  	39.3     	180     	0      	1.191754
1                       	990.1	16.4                   	55                      	0.5  	316                     	-72.105059	-39.307951   	281    	281         	311.932   	267.768   	7.4     	17.6          	5.3  	63.7     	076     	6      	1.191302
2                       	989.5	16.4                   	54                      	0.6  	316                     	-72.105028	-39.307942   	287    	287         	312.625   	267.629   	7.1     	17.5          	5.3  	62.7     	073     	12     	1.190850
3                       	988.9	16.3                   	53                      	0.7  	316                     	-72.104996	-39.307932   	292    	292         	313.318   	267.489   	6.8     	17.4          	5.3  	62.3     	071     	18     	1.190398
4                       	988.2	16.2                   	52                      	0.8  	316                     	-72.104965	-39.307923   	297    	297         	314.010   	267.350   	6.5     	17.3          	5.3  	62.1     	071     	24     	1.189946
5                       	987.6	16.1                   	52                      	0.9  	316                     	-72.104934	-39.307914   	303    	303         	314.703   	267.210   	6.2     	17.2          	5.3  	62.0     	071     	30     	1.189495
6                       	987.0	16.1                   	51                      	1.0  	316                     	-72.104903	-39.307905   	308    	308         	315.395   	267.071   	5.9     	17.1          	5.3  	61.9     	070     	36     	1.189044
7                       	986.4	15.9                   	50                      	1.1  	316                     	-72.104872	-39.307895   	313    	313         	316.158   	267.001   	5.5     	16.9          	5.3  	61.8     	070     	42     	1.188900
8                       	985.8	15.8                   	50                      	1.2  	316                     	-72.104841	-39.307886   	319    	318         	316.980   	266.975   	5.3     	16.8          	5.3  	61.8     	070     	49     	1.188793
9                       	985.2	15.6                   	50                      	1.4  	316                     	-72.104809	-39.307877   	324    	324         	317.797   	266.960   	5.2     	16.6          	5.3  	61.8     	070     	55     	1.188686
10                      	984.6	15.5                   	50                      	1.5  	316                     	-72.104778	-39.307868   	329    	329         	318.614   	266.946   	5.1     	16.4          	5.3  	61.8     	070     	61     	1.188580
11                      	983.9	15.3                   	50                      	1.6  	316                     	-72.104747	-39.307858   	334    	334         	319.432   	266.931   	5.0     	16.3          	5.3  	61.8     	070     	67     	1.188474
12                      	983.3	15.2                   	50                      	1.7  	316                     	-72.104716	-39.307849   	340    	340         	320.250   	266.917   	4.9     	16.1          	5.3  	61.7     	070     	73     	1.188368
13                      	982.7	15.0                   	50                      	1.8  	316                     	-72.104685	-39.307840   	345    	345         	321.065   	266.900   	4.8     	16.0          	5.3  	61.7     	070     	79     	1.188254
14                      	982.1	14.9                   	50                      	1.9  	316                     	-72.104653	-39.307835   	350    	350         	321.881   	266.884   	4.7     	15.8          	5.3  	61.8     	070     	85     	1.188141
15                      	981.5	14.7                   	51                      	2.0  	316                     	-72.104614	-39.307864   	356    	355         	322.713   	266.868   	4.6     	15.6          	5.3  	62.1     	076     	91     	1.188028
