Flight Information:
Launch Date:            	     	                       	Sunday, 13 December 2020	     	                        	          	Launch Time: 	       	            	20:02:43    	       	     	End of Ascent:	     	         	01:30:25
Station name:           	     	                       	OKSTATE USRI            	     	                        	          	Serialnumber:	       	            	20027755
Ground values:
Pressure:               	     	                       	990.1 hPa               	     	                        	          	Temperature: 	       	            	17.0 °C     	       	     	Humidity:     	     	         	58 %
Wind Direction:         	     	                       	340 °                   	     	                        	          	Wind Speed:  	       	            	1 m/s       	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-72.105 °               	     	                        	          	Latitude:    	       	            	-39.307 °   	       	     	Altitude:     	     	         	276 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                        	     	                        	          	
Events:
Highest Point:          	     	                       	7.9 hPa                 	     	                        	          	32854 m
Tropopauses:            	     	                       	1.: 186.3 hPa           	     	                        	          	2.: 106.8 hPa	       	            	3.: 72.6 hPa
Max Winds:              	     	                       	1.: 183.3 hPa           	     	                        	          	2.: 9.0 hPa  	       	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                      	Ws   	Wd                      	Long.     	Lat.         	Alt    	Geopot      	MRI         	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                   	[%]                     	[m/s]	[°]                     	[°]       	[°]          	[m]    	[m]         	            	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	990.1	17.0                   	58                      	1.0  	340                     	-72.105160	-39.307450   	276    	276         	310.702     	267.370	8.7  	18.2          	0.0  	39.3     	180     	0      	1.188980
1                       	989.5	16.8                   	57                      	1.1  	342                     	-72.105155	-39.307478   	281    	281         	311.442     	267.341	8.3  	18.0          	4.9  	56.0     	173     	6      	1.189034
2                       	989.0	16.6                   	56                      	1.1  	344                     	-72.105149	-39.307506   	286    	286         	312.198     	267.311	7.8  	17.8          	4.9  	56.9     	172     	12     	1.189087
3                       	988.4	16.5                   	55                      	1.2  	346                     	-72.105144	-39.307534   	291    	291         	312.938     	267.282	7.4  	17.6          	4.9  	57.0     	172     	18     	1.189142
4                       	987.8	16.3                   	54                      	1.3  	348                     	-72.105139	-39.307562   	296    	296         	313.678     	267.253	7.0  	17.4          	4.9  	57.1     	172     	24     	1.189197
5                       	987.2	16.1                   	53                      	1.3  	349                     	-72.105134	-39.307590   	301    	301         	314.418     	267.224	6.5  	17.2          	4.9  	57.1     	172     	30     	1.189252
6                       	986.7	15.9                   	52                      	1.4  	350                     	-72.105128	-39.307618   	306    	306         	315.174     	267.194	6.1  	17.0          	4.9  	57.3     	172     	36     	1.189308
7                       	986.1	15.8                   	51                      	1.5  	351                     	-72.105123	-39.307646   	311    	310         	315.851     	267.103	5.7  	16.8          	4.9  	57.3     	172     	41     	1.189088
8                       	985.5	15.7                   	51                      	1.6  	353                     	-72.105118	-39.307674   	315    	315         	316.531     	267.013	5.5  	16.7          	4.9  	57.3     	172     	47     	1.188754
9                       	984.9	15.6                   	51                      	1.6  	354                     	-72.105113	-39.307702   	320    	320         	317.249     	266.946	5.5  	16.6          	4.9  	57.3     	172     	53     	1.188420
10                      	984.3	15.5                   	51                      	1.7  	354                     	-72.105107	-39.307730   	325    	325         	317.951     	266.879	5.4  	16.5          	4.9  	57.3     	172     	59     	1.188086
11                      	983.7	15.4                   	51                      	1.8  	355                     	-72.105102	-39.307758   	330    	330         	318.654     	266.812	5.4  	16.4          	4.9  	57.3     	172     	65     	1.187753
12                      	983.1	15.3                   	51                      	1.8  	356                     	-72.105097	-39.307786   	336    	336         	319.529     	266.745	5.3  	16.3          	6.0  	57.8     	172     	71     	1.187420
13                      	982.4	15.2                   	51                      	1.9  	357                     	-72.105091	-39.307814   	343    	342         	320.439     	266.635	5.3  	16.2          	6.5  	58.4     	172     	79     	1.186892
14                      	981.6	15.2                   	51                      	2.0  	357                     	-72.105086	-39.307842   	349    	349         	321.334     	266.526	5.2  	16.1          	6.5  	58.8     	172     	86     	1.186365
15                      	980.9	15.1                   	52                      	2.0  	358                     	-72.105082	-39.307872   	356    	355         	322.245     	266.416	5.2  	16.0          	6.5  	59.2     	172     	93     	1.185838
16                      	980.1	15.0                   	52                      	2.1  	359                     	-72.105078	-39.307902   	362    	362         	323.156     	266.306	5.1  	15.9          	6.5  	59.4     	172     	100    	1.185312
17                      	979.4	14.9                   	52                      	2.2  	359                     	-72.105074	-39.307933   	369    	368         	324.051     	266.196	5.1  	15.9          	6.5  	59.6     	172     	108    	1.184786
18                      	978.6	14.8                   	52                      	2.2  	360                     	-72.105070	-39.307963   	375    	375         	324.962     	266.087	5.0  	15.8          	6.5  	59.8     	172     	115    	1.184260
19                      	977.9	14.7                   	52                      	2.3  	360                     	-72.105067	-39.307994   	382    	381         	325.873     	265.977	5.0  	15.7          	6.5  	59.9     	172     	122    	1.183733
20                      	977.2	14.6                   	52                      	2.4  	360                     	-72.105063	-39.308024   	388    	388         	326.756     	265.856	5.0  	15.6          	6.5  	60.0     	173     	130    	1.183150
21                      	976.4	14.5                   	53                      	2.4  	001                     	-72.105059	-39.308055   	394    	394         	327.649     	265.728	5.0  	15.5          	6.5  	60.2     	173     	137    	1.182524
22                      	975.7	14.5                   	53                      	2.5  	001                     	-72.105055	-39.308085   	401    	401         	328.542     	265.601	5.0  	15.5          	6.5  	60.3     	173     	144    	1.181898
23                      	974.9	14.4                   	53                      	2.6  	002                     	-72.105051	-39.308116   	407    	407         	329.419     	265.473	5.0  	15.4          	6.5  	60.4     	173     	151    	1.181272
24                      	974.2	14.3                   	53                      	2.6  	002                     	-72.105048	-39.308146   	414    	414         	330.312     	265.346	5.0  	15.3          	6.5  	60.5     	173     	159    	1.180646
25                      	973.4	14.3                   	53                      	2.7  	002                     	-72.105044	-39.308177   	420    	420         	331.205     	265.218	5.0  	15.3          	6.5  	60.5     	173     	166    	1.180020
26                      	972.7	14.2                   	54                      	2.8  	003                     	-72.105040	-39.308207   	427    	426         	332.082     	265.091	5.0  	15.2          	6.5  	60.6     	173     	173    	1.179394
27                      	971.9	14.1                   	54                      	2.9  	003                     	-72.105036	-39.308238   	433    	433         	332.975     	264.963	5.0  	15.1          	6.5  	60.7     	173     	181    	1.178769
28                      	971.2	14.1                   	54                      	2.9  	003                     	-72.105033	-39.308268   	440    	439         	333.869     	264.836	5.0  	15.1          	6.5  	60.7     	173     	188    	1.178144
29                      	970.4	14.0                   	54                      	3.0  	004                     	-72.105029	-39.308299   	446    	446         	334.746     	264.709	5.0  	15.0          	6.5  	60.8     	173     	195    	1.177519
30                      	969.7	13.9                   	55                      	3.1  	004                     	-72.105025	-39.308330   	453    	452         	335.640     	264.581	5.0  	14.9          	6.5  	60.8     	173     	203    	1.176895
31                      	969.0	13.9                   	55                      	3.1  	003                     	-72.105021	-39.308360   	459    	459         	336.533     	264.454	5.0  	14.8          	6.5  	60.9     	173     	210    	1.176270
32                      	968.2	13.8                   	55                      	3.0  	002                     	-72.105018	-39.308391   	466    	465         	337.410     	264.327	5.0  	14.8          	6.5  	60.9     	173     	217    	1.175645
33                      	967.5	13.7                   	55                      	3.1  	001                     	-72.105014	-39.308421   	472    	472         	338.303     	264.199	5.0  	14.7          	6.5  	61.0     	173     	224    	1.175026
34                      	966.7	13.7                   	55                      	3.1  	360                     	-72.105010	-39.308452   	479    	478         	339.196     	264.071	4.9  	14.6          	6.5  	61.0     	173     	232    	1.174416
35                      	966.0	13.6                   	56                      	3.1  	358                     	-72.105006	-39.308482   	485    	485         	340.072     	263.943	4.9  	14.6          	6.5  	61.0     	173     	239    	1.173807
36                      	965.3	13.5                   	56                      	3.1  	357                     	-72.105002	-39.308513   	491    	491         	340.965     	263.815	4.9  	14.5          	6.5  	61.1     	173     	246    	1.173198
