Flight Information:
Launch Date:            	     	                       	Sunday, 13 December 2020	        	                        	          	Launch Time: 	       	            	17:02:04  	       	     	End of Ascent:	     	         	01:29:26
Station name:           	     	                       	OKSTATE USRI            	        	                        	          	Serialnumber:	       	            	20027773
Ground values:
Pressure:               	     	                       	991.8 hPa               	        	                        	          	Temperature: 	       	            	15.1 °C   	       	     	Humidity:     	     	         	62 %
Wind Direction:         	     	                       	300 °                   	        	                        	          	Wind Speed:  	       	            	1 m/s     	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-72.105 °               	        	                        	          	Latitude:    	       	            	-39.307 ° 	       	     	Altitude:     	     	         	276 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                        	        	                        	          	
Events:
Highest Point:          	     	                       	15.9 hPa                	        	                        	          	28236 m
Tropopauses:            	     	                       	1.: 176.1 hPa           	        	                        	          	2.: 114.0 hPa	       	            	
Max Winds:              	     	                       	1.: 265.9 hPa           	        	                        	          	             	       	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                      	Ws      	Wd                      	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                   	[%]                     	[m/s]   	[°]                     	[°]       	[°]          	[m]    	[m]         	          	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	991.8	15.1                   	62                      	0.5     	300                     	-72.105230	-39.307370   	276    	276         	313.119   	269.787	7.9  	16.3          	0.0  	39.3     	180     	0      	1.198872
1                       	991.2	14.8                   	61                      	0.6     	301                     	-72.105189	-39.307397   	281    	281         	314.021   	269.841	7.3  	15.9          	5.4  	49.4     	133     	8      	1.199362
2                       	990.5	14.5                   	59                      	0.6     	301                     	-72.105147	-39.307423   	287    	287         	314.940   	269.897	6.7  	15.6          	5.4  	49.7     	131     	15     	1.199853
3                       	989.9	14.2                   	58                      	0.7     	302                     	-72.105106	-39.307450   	292    	292         	315.843   	269.952	6.1  	15.2          	5.4  	49.6     	131     	22     	1.200346
4                       	989.3	13.9                   	57                      	0.8     	302                     	-72.105064	-39.307476   	298    	298         	316.762   	270.007	5.4  	14.9          	5.4  	49.6     	130     	29     	1.200840
5                       	988.6	13.6                   	55                      	0.8     	302                     	-72.105023	-39.307503   	303    	303         	317.665   	270.062	4.8  	14.5          	5.4  	49.6     	130     	36     	1.201336
6                       	988.0	13.3                   	54                      	0.9     	302                     	-72.104981	-39.307530   	309    	309         	318.584   	270.118	4.2  	14.2          	5.4  	49.6     	130     	43     	1.201834
7                       	987.3	13.2                   	53                      	1.0     	303                     	-72.104940	-39.307556   	314    	314         	319.264   	269.950	3.8  	14.1          	5.4  	49.6     	130     	50     	1.201348
8                       	986.7	13.2                   	52                      	1.0     	303                     	-72.104899	-39.307583   	320    	319         	319.983   	269.806	3.7  	14.0          	5.4  	49.6     	130     	58     	1.200749
9                       	986.0	13.1                   	53                      	1.1     	303                     	-72.104857	-39.307609   	325    	325         	320.710   	269.685	3.7  	14.0          	5.4  	49.6     	130     	65     	1.200149
10                      	985.3	13.1                   	53                      	1.2     	303                     	-72.104816	-39.307636   	330    	330         	321.436   	269.563	3.7  	13.9          	5.4  	49.6     	130     	72     	1.199550
11                      	984.7	13.0                   	53                      	1.2     	303                     	-72.104774	-39.307663   	336    	336         	322.241   	269.442	3.7  	13.9          	5.9  	49.8     	130     	79     	1.198952
12                      	984.0	13.0                   	53                      	1.3     	303                     	-72.104733	-39.307689   	343    	342         	323.094   	269.321	3.7  	13.8          	6.1  	50.1     	130     	87     	1.198353
