Flight Information:
Launch Date:            	      	                        	Sunday, 13 December 2020	     	                       	          	Launch Time: 	     	            	17:59:56  	          	        	End of Ascent:	     	         	01:37:57
Station name:           	      	                        	OKSTATE USRI            	     	                       	          	Serialnumber:	     	            	20028048
Ground values:
Pressure:               	      	                        	1024.5 hPa              	     	                       	          	Temperature: 	     	            	16.8 ?C   	          	        	Humidity:     	     	         	58 %
Wind Direction:         	      	                        	198 ?                   	     	                       	          	Wind Speed:  	     	            	5 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                        	-73.160 ?               	     	                       	          	Latitude:    	     	            	-39.236 ? 	          	        	Altitude:     	     	         	3 m
Staff:
Company:                	      	                        	
Operator:               	      	                        	                        	     	                       	          	
Events:
Highest Point:          	      	                        	10.8 hPa                	     	                       	          	30718 m
Tropopauses:            	      	                        	1.: 202.6 hPa           	     	                       	          	2.: 98.4 hPa 	     	            	
Max Winds:              	      	                        	1.: 292.4 hPa           	     	                       	          	             	     	            	
Remarks:

Profile Data:
Time                    	P     	T                       	Hu                      	Ws   	Wd                     	Long.     	Lat.         	Alt  	Geopot      	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range	D
[sec]                   	[hPa] 	[?C]                    	[%]                     	[m/s]	[?]                    	[?]       	[?]          	[m]  	[m]         	          	          	[?C]    	[?C]          	[m/s]	[?]      	[?]     	[m]  	[kg/m3]
0                       	1024.5	16.8                    	58                      	4.9  	198                    	-73.160399	-39.236415   	0    	0           	276.763   	276.763   	8.5     	18.0          	-    	-82.3    	180     	3    	1.231139
2                       	1022.5	16.5                    	59                      	5.0  	201                    	-73.160117	-39.236242   	17   	17          	279.202   	276.533   	8.5     	17.7          	8.5  	25.0     	052     	34   	1.229899
4                       	1020.4	16.2                    	60                      	5.1  	204                    	-73.159835	-39.236070   	34   	34          	281.626   	276.304   	8.4     	17.4          	8.5  	26.8     	052     	69   	1.228662
6                       	1018.4	15.9                    	61                      	5.3  	207                    	-73.159554	-39.235898   	51   	51          	284.067   	276.075   	8.4     	17.1          	8.5  	27.5     	052     	104  	1.227427
8                       	1016.4	15.7                    	61                      	5.4  	210                    	-73.159272	-39.235725   	68   	68          	286.492   	275.831   	8.3     	16.8          	8.5  	27.8     	052     	140  	1.226188
10                      	1014.3	15.4                    	61                      	5.5  	213                    	-73.158991	-39.235553   	85   	85          	288.894   	275.565   	8.0     	16.5          	8.5  	28.0     	052     	175  	1.224951
12                      	1012.3	15.1                    	62                      	5.6  	216                    	-73.158709	-39.235381   	102  	102         	291.282   	275.299   	7.8     	16.2          	8.5  	28.1     	052     	210  	1.223716
14                      	1010.3	14.8                    	62                      	5.8  	218                    	-73.158427	-39.235209   	119  	119         	293.684   	275.032   	7.5     	15.9          	8.5  	28.2     	052     	246  	1.222476
16                      	1008.2	14.5                    	62                      	5.9  	221                    	-73.158269	-39.235108   	136  	136         	296.086   	274.766   	7.3     	15.6          	8.5  	29.6     	052     	269  	1.221239
