"TOA5","CR300Series_2","CR300","21904","CR300.Std.09.02","CPU:LufftWS5022Sec.cr300","30643","sixty_min"
"TIMESTAMP","RECORD","AirTemp_C_Avg","RH_Avg","Barometer_hPa","Solar_W_m2_Avg","WindSpeed_ms_WVc(1)","WindSpeed_ms_WVc(2)","Wind_Quality_Avg"
"TS","RN","","","","","","",""
"","","Avg","Avg","Smp","Avg","WVc","WVc","Avg"
"2020-12-12 19:00:00",0,13.62,76.55,1017.7,234.5,2.962,203.3,100
"2020-12-12 20:00:00",1,13.18,77.99,1018.2,106,2.531,201.4,100
"2020-12-12 21:00:00",2,12.39,77.53,1019.2,38.46,1.513,194.9,100
"2020-12-12 22:00:00",3,11.42,82.8,1020.4,2.949,0.847,49.49,100
"2020-12-12 23:00:00",4,11.24,82.3,1021.6,0.022,0.732,150.9,100
"2020-12-13 00:00:00",5,10.95,81.6,1022.3,0.054,0.667,282.8,100
"2020-12-13 01:00:00",6,9.21,89.2,1022.9,0.099,0.491,78.19,100
"2020-12-13 03:00:00",7,7.214,97.6,1023.4,0.1,0.665,109.2,100
"2020-12-13 04:00:00",8,7.007,97.5,1023.5,0.1,0.913,118.5,100
"2020-12-13 06:00:00",9,5.492,98.2,1024,0.1,0.836,99.9,100
"2020-12-13 07:00:00",10,5.242,98,1024.2,11.59,1.058,108.6,100
"2020-12-13 08:00:00",11,6.785,96.8,1024.6,105,0.928,116.8,100
"2020-12-13 10:00:00",12,13.32,72.68,1025.4,517.1,0.367,331.8,100
"2020-12-13 15:00:00",13,16.1,54.94,1024.4,1031,2.002,212,100
"2020-12-13 18:00:00",14,15.01,53.68,1023.3,459.3,3.005,203.3,100
"2020-12-13 19:00:00",15,14.64,61.93,1022.8,217.6,1.858,217.2,100
"2020-12-13 21:00:00",16,12.81,73.77,1022.3,37.68,0.422,285.8,100
"2020-12-13 22:00:00",17,10.69,84.1,1021.8,1.894,0.188,5.848,100
"2020-12-14 00:00:00",18,8.09,95.6,1021.1,0.1,0.189,92.7,100
"2020-12-14 01:00:00",19,7.836,97,1020.9,0.1,0.322,104.7,100
"2020-12-14 04:00:00",20,10.66,94.9,1018.3,0,0.303,110.6,100
"2020-12-14 05:00:00",21,10.72,97.5,1017.5,0,0.518,320.4,100
"2020-12-14 06:00:00",22,10.84,98.6,1016.7,0,1.251,307.5,100
"2020-12-14 07:00:00",23,11.17,99.1,1016.3,0.627,1.537,305.5,100
"2020-12-14 08:00:00",24,12.85,99,1016.3,8.3,2.197,299.2,100
"2020-12-14 09:00:00",25,13.23,98.7,1016.3,31.97,1.953,301.1,100
"2020-12-14 10:00:00",26,13.52,98.7,1016.3,66.42,1.507,302.7,100
"2020-12-14 13:00:00",27,14.2,97.3,1016.7,189.7,0.817,264.7,100
"2020-12-14 14:00:00",28,13.37,96.2,1017.3,199.3,1.658,205.8,100
"2020-12-14 21:00:00",29,12.39,74.85,1019.2,39,2.43,201.6,100
"2020-12-14 23:00:00",30,10.03,80.8,1020.5,0.097,0.372,355.3,100
"2020-12-15 02:00:00",31,8.44,93.9,1021.4,0.097,1.099,129.9,100
"2020-12-15 03:00:00",32,7.557,93.7,1020.8,0.1,0.539,122.2,100
"2020-12-15 04:00:00",33,8.81,79.45,1020.8,0.1,1.172,157.6,100
"2020-12-15 05:00:00",34,8.6,76.34,1020.9,0.1,1.008,186.2,100
"2020-12-15 07:00:00",35,8.18,74.14,1021.6,12.64,1.246,171.4,100
"2020-12-15 08:00:00",36,9.18,71.97,1022,100.6,1.552,157.1,100
"2020-12-15 09:00:00",37,10.93,67.71,1021.9,326,2.057,138,100
"2020-12-15 10:00:00",38,12.59,61.65,1021.7,536.9,2.189,125.4,100
"2020-12-15 13:00:00",39,15.97,52.72,1020.8,992,1.867,169.4,100
