"TOA5","CR300Series_2","CR300","21904","CR300.Std.09.02","CPU:LufftWS5022Sec.cr300","30643","ten_sec"
"TIMESTAMP","RECORD","BatVolt_V_Min","AirTemp_C_Avg","RH_Avg","Barometer_hPa","Solar_W_m2_Avg","AirTemp_C_Min","AirTemp_C_Max","WindSpeed_ms_WVc(1)","WindSpeed_ms_WVc(2)","Wind_Quality_Avg"
"TS","RN","","","","","","","","","",""
"","","Min","Avg","Avg","Smp","Avg","Min","Max","WVc","WVc","Avg"
"2020-12-12 16:05:30",0,12.4,13.2,89,1015.2,502.5,13.2,13.2,1.5,193.9,92.3
"2020-12-12 16:05:50",1,0,13.2,89,1015.2,507.1,13.2,13.2,1.3,190.9,100
"2020-12-12 16:06:20",2,0,13.2,89,1015.2,507.1,13.2,13.2,1.3,190.9,100
"2020-12-12 16:06:50",3,0,13.2,89,1015.2,507.1,13.2,13.2,1.3,190.9,100
"2020-12-12 16:08:00",4,0,0,0,1E-05,0,0,0,0,0,0
"2020-12-12 16:09:10",5,12.44,0,0,1E-05,270.5,0,0,0,0,50
"2020-12-12 16:09:30",6,12.4,13.2,91.2,1015.2,537.7,13.2,13.2,1.4,191.3,100
"2020-12-12 16:09:50",7,12.39,13.2,91.2,1015.2,531.8,13.2,13.2,1.6,204.2,100
"2020-12-12 16:10:10",8,12.39,13.2,92.2,1015,522.5,13.2,13.2,0.85,235.2,100
"2020-12-12 16:10:30",9,12.39,13.2,92.2,1015,510,13.2,13.2,1.15,214,100
"2020-12-12 16:10:50",10,12.38,13.2,92.2,1015,493.3,13.2,13.2,3.1,208.9,100
"2020-12-12 16:11:10",11,12.39,13.1,88,1015.2,476.2,13.1,13.1,1.9,198.8,100
"2020-12-12 16:11:30",12,12.38,13.1,88,1015.2,464.6,13.1,13.1,1,213.1,100
"2020-12-12 16:11:50",13,12.38,13.1,88,1015.2,458.9,13.1,13.1,1.55,203.2,100
"2020-12-12 16:12:10",14,12.37,13,90,1015.2,457.7,13,13,0.75,220.2,100
"2020-12-12 16:12:30",15,12.39,13,90,1015.2,460.7,13,13,2.1,190.1,100
"2020-12-12 16:12:50",16,12.38,13,90,1015.2,468.2,13,13,0.9,205.2,100
"2020-12-12 16:13:10",17,12.38,13,90.1,1015.2,472.2,13,13,0.85,220.9,100
"2020-12-12 16:13:30",18,12.37,13,90.1,1015.2,477.4,13,13,2.4,200.6,100
"2020-12-12 16:13:50",19,12.39,13,90.1,1015.2,484.5,13,13,2.2,195,100
"2020-12-12 16:14:20",20,12.38,13,88.9,1015.2,509.7,13,13,2.8,210.3,100
"2020-12-12 16:14:40",21,12.38,13,88.9,1015.2,524.7,13,13,2.3,202.4,100
"2020-12-12 16:15:00",22,12.37,13,88.9,1015.2,547.6,13,13,1.35,208.9,100
"2020-12-12 16:15:20",23,12.38,13,87.3,1015.2,577.2,13,13,0.8,202.8,100
"2020-12-12 16:15:40",24,12.37,13,87.3,1015.2,603.9,13,13,0.4,206.2,100
"2020-12-12 16:16:00",25,12.37,13,87.3,1015.2,633.1,13,13,1.8,205.5,100
"2020-12-12 16:16:20",26,12.37,13,88.7,1015.2,627.4,13,13,2.4,202.9,100
"2020-12-12 16:16:40",27,12.38,13,88.7,1015.2,618.9,13,13,2.85,210.4,100
"2020-12-12 16:17:00",28,12.39,13,88.7,1015.2,613.3,13,13,1.7,196.4,100
"2020-12-12 16:17:20",29,12.37,13.1,87.5,1015.2,620.5,13.1,13.1,1.9,195.4,100
"2020-12-12 16:17:40",30,12.37,13.1,87.5,1015.2,634.6,13.1,13.1,1.9,192.5,100
"2020-12-12 16:18:00",31,12.37,13.1,87.5,1015.2,628.4,13.1,13.1,1.55,168.6,100
"2020-12-12 16:18:20",32,12.38,13,87.1,1015.1,748.4,13,13,1.95,178.8,100
"2020-12-12 16:18:40",33,12.37,13,87.1,1015.1,722.8,13,13,2.1,189.6,100
"2020-12-12 16:19:00",34,12.38,13,87.1,1015.1,853,13,13,1.5,174.3,100
"2020-12-12 16:19:20",35,12.38,13.1,89.5,1015.2,910,13.1,13.1,0.9,183.3,100
"2020-12-12 16:19:40",36,12.37,13.1,89.5,1015.2,936,13.1,13.1,1.5,191.8,100
"2020-12-12 16:20:00",37,12.39,13.1,89.5,1015.2,789.5,13.1,13.1,0.8,185.5,100
"2020-12-12 16:20:20",38,12.37,13.3,88.8,1015.2,680.3,13.3,13.3,1,203,100
"2020-12-12 16:20:40",39,12.37,13.3,88.8,1015.2,604.9,13.3,13.3,3.8,194.6,100
"2020-12-12 16:21:00",40,12.38,13.3,88.8,1015.2,597.7,13.3,13.3,0.8,156.5,100
"2020-12-12 16:21:20",41,12.37,13.3,84.7,1015.2,595.5,13.3,13.3,0.75,172.5,100
"2020-12-12 16:21:30",42,12.37,13.3,84.7,1015.2,621.9,13.3,13.3,1,171.6,100
"2020-12-12 16:21:50",43,12.37,13.3,84.7,1015.2,712.3,13.3,13.3,1.2,192.2,100
"2020-12-12 16:22:10",44,12.39,13.5,90.4,1015.2,660.5,13.5,13.5,0,0,100
"2020-12-12 16:22:30",45,12.37,13.5,90.4,1015.2,607.2,13.5,13.5,0,0,100
"2020-12-12 16:22:50",46,12.37,13.5,90.4,1015.2,560.9,13.5,13.5,0.15,16.6,100
"2020-12-12 16:23:10",47,12.37,13.9,89.8,1015.2,534.1,13.9,13.9,0.55,273.9,100
"2020-12-12 16:23:30",48,12.37,13.9,89.8,1015.2,527.4,13.9,13.9,0.8,200.6,100
"2020-12-12 16:23:50",49,12.38,13.9,89.8,1015.2,522,13.9,13.9,1.7,209.8,100
"2020-12-12 16:24:10",50,12.37,13.9,86.1,1015.3,493.3,13.9,13.9,2.4,204.1,100
"2020-12-12 16:24:30",51,12.37,13.9,86.1,1015.3,504.9,13.9,13.9,2.3,204.4,100
"2020-12-12 16:24:50",52,12.37,13.9,86.1,1015.3,540.5,13.9,13.9,3,207.8,100
"2020-12-12 16:25:10",53,12.37,13.8,83.1,1015.3,566.8,13.8,13.8,2.8,180.3,100
"2020-12-12 16:25:30",54,12.37,13.8,83.1,1015.3,585.4,13.8,13.8,1.1,194.7,100
"2020-12-12 16:25:50",55,12.37,13.8,83.1,1015.3,697.8,13.8,13.8,1.35,189,100
"2020-12-12 16:26:10",56,12.37,13.7,84.5,1015.3,757.5,13.7,13.7,2.1,208.6,100
"2020-12-12 16:26:30",57,12.37,13.7,84.5,1015.3,562.6,13.7,13.7,1.9,199.9,100
"2020-12-12 16:26:50",58,12.38,13.7,84.5,1015.3,564.5,13.7,13.7,1.1,206,100
"2020-12-12 16:27:10",59,12.37,13.6,82.1,1015.3,571.1,13.6,13.6,1.8,196.1,100
"2020-12-12 16:27:30",60,12.38,13.6,82.1,1015.3,617.2,13.6,13.6,1.85,203,100
"2020-12-12 16:27:50",61,12.37,13.6,82.1,1015.3,666,13.6,13.6,0.15,305.1,100
"2020-12-12 16:28:10",62,12.36,13.6,82.2,1015.2,810,13.6,13.6,1.6,186.9,100
"2020-12-12 16:28:40",63,12.38,13.6,82.2,1015.2,774.4,13.6,13.6,1.7,183.3,100
"2020-12-12 16:29:00",64,12.36,13.6,82.2,1015.2,873,13.6,13.6,1.9,212.1,100
"2020-12-12 16:29:20",65,12.36,13.6,82.3,1015.3,588.8,13.6,13.6,2.05,200.7,100
"2020-12-12 16:29:40",66,12.37,13.6,82.3,1015.3,551.5,13.6,13.6,1.2,195.6,100
"2020-12-12 16:30:00",67,12.37,13.6,82.3,1015.3,583.2,13.6,13.6,3,215.4,100
"2020-12-12 16:30:20",68,12.37,13.6,82.2,1015.2,651.6,13.6,13.6,1,217.3,100
"2020-12-12 16:30:40",69,12.37,13.6,82.2,1015.2,497.8,13.6,13.6,1,197.7,100
"2020-12-12 16:31:00",70,12.38,13.6,82.2,1015.2,451.9,13.6,13.6,1,152.7,100
"2020-12-12 16:31:20",71,12.37,13.8,84.7,1015.2,454.8,13.8,13.8,2.35,201.8,100
"2020-12-12 16:31:40",72,12.38,13.8,84.7,1015.2,482.4,13.8,13.8,1.4,200.4,100
"2020-12-12 16:32:00",73,12.38,13.8,84.7,1015.2,905,13.8,13.8,1.1,201,100
"2020-12-12 16:32:20",74,12.37,13.7,82,1015.3,791.7,13.7,13.7,2.2,191.8,100
"2020-12-12 16:32:40",75,12.38,13.7,82,1015.3,669.4,13.7,13.7,1.95,204.5,100
"2020-12-12 16:33:00",76,12.36,13.7,82,1015.3,600.7,13.7,13.7,1.6,200.3,100
"2020-12-12 16:33:20",77,12.37,13.7,84.6,1015.4,545.5,13.7,13.7,3.2,205.3,100
"2020-12-12 16:33:40",78,12.36,13.7,84.6,1015.4,441.5,13.7,13.7,2.5,210.4,100
"2020-12-12 16:34:00",79,12.37,13.7,84.6,1015.4,456.3,13.7,13.7,1.65,209.8,100
"2020-12-12 16:34:20",80,12.38,13.7,82.2,1015.4,502.6,13.7,13.7,1.3,210.6,100
"2020-12-12 16:34:40",81,12.37,13.7,82.2,1015.4,705.4,13.7,13.7,1.4,208,100
"2020-12-12 16:35:00",82,12.37,13.7,82.2,1015.4,606.8,13.7,13.7,1.8,206,100
"2020-12-12 16:35:20",83,12.37,13.7,81.3,1015.4,567.7,13.7,13.7,1.5,184.7,100
"2020-12-12 16:35:40",84,12.36,13.7,81.3,1015.4,531.2,13.7,13.7,1.75,181.1,100
"2020-12-12 16:36:00",85,12.37,13.7,81.3,1015.4,413.2,13.7,13.7,2.05,209.5,100
"2020-12-12 16:36:20",86,12.37,13.6,82.4,1015.3,320.5,13.6,13.6,1.4,189.7,100
"2020-12-12 16:36:30",87,12.37,13.6,82.4,1015.3,312,13.6,13.6,1.6,188,100
"2020-12-12 16:36:50",88,12.38,13.6,82.4,1015.3,298.5,13.6,13.6,0.4,235.4,100
"2020-12-12 16:37:10",89,12.38,13.8,85.5,1015.4,298.6,13.8,13.8,2.55,200.8,100
"2020-12-12 16:37:20",90,12.36,13.8,85.5,1015.4,303.6,13.8,13.8,2.467,203.1,100
"2020-12-12 16:37:40",91,12.38,13.8,85.5,1015.4,334.3,13.8,13.8,2.45,200.8,100
"2020-12-12 16:38:00",92,12.38,13.8,85.5,1015.4,385.5,13.8,13.8,1.4,207.3,100
"2020-12-12 16:38:20",93,12.38,13.8,82.6,1015.3,384.1,13.8,13.8,4.4,189.8,100
"2020-12-12 16:38:40",94,12.37,13.8,82.6,1015.3,430.9,13.8,13.8,3.35,193.8,100
"2020-12-12 16:39:00",95,12.38,13.8,82.6,1015.3,588.8,13.8,13.8,3.35,199.2,100
"2020-12-12 16:39:20",96,12.36,13.8,81.9,1015.3,837,13.8,13.8,3.05,203.3,100
"2020-12-12 16:39:40",97,12.38,13.8,81.9,1015.3,711.1,13.8,13.8,1.3,205.4,100
"2020-12-12 16:40:00",98,12.37,13.8,81.9,1015.3,817,13.8,13.8,1.1,198.7,100
"2020-12-12 16:40:20",99,12.36,14,84.3,1015.4,864,14,14,1.15,229.6,100
"2020-12-12 16:40:40",100,12.37,14,84.3,1015.4,703.7,14,14,0.4,241.8,100
"2020-12-12 16:41:00",101,12.37,14,84.3,1015.4,786,14,14,1.3,240.9,100
"2020-12-12 16:41:20",102,12.36,14.2,85.3,1015.4,1060,14.2,14.2,0.5,146.9,100
"2020-12-12 16:41:40",103,12.38,14.2,85.3,1015.4,1154,14.2,14.2,2.4,197.2,100
"2020-12-12 16:42:00",104,12.38,14.2,85.3,1015.4,1016,14.2,14.2,0.95,241.7,100
"2020-12-12 16:42:20",105,12.36,14.7,88.5,1015.4,1070,14.7,14.7,0.65,253,100
"2020-12-12 16:42:40",106,12.37,14.7,88.5,1015.4,1183,14.7,14.7,1,288.2,100
"2020-12-12 16:43:00",107,12.37,14.7,88.5,1015.4,1157,14.7,14.7,3.6,201.7,100
"2020-12-12 16:43:20",108,12.36,15.1,83.8,1015.4,1133,15.1,15.1,1.2,217,100
"2020-12-12 16:43:40",109,12.37,15.1,83.8,1015.4,886,15.1,15.1,1.45,273.6,100
"2020-12-12 16:44:00",110,12.36,15.1,83.8,1015.4,827,15.1,15.1,1.25,261.5,100
"2020-12-12 16:44:20",111,12.36,15,83.4,1015.4,1096,15,15,2.3,254.6,100
"2020-12-12 16:44:40",112,12.36,15,83.4,1015.4,1114,15,15,1.8,252.8,100
"2020-12-12 16:45:00",113,12.36,15,83.4,1015.4,1128,15,15,1.4,234.4,100
"2020-12-12 16:45:20",114,12.37,15,82.1,1015.4,1083,15,15,3.6,202.1,100
"2020-12-12 16:45:40",115,12.38,15,82.1,1015.4,1104,15,15,2.8,205.6,100
"2020-12-12 16:46:00",116,12.37,15,82.1,1015.4,1091,15,15,1,271,100
"2020-12-12 16:46:20",117,12.37,14.8,81.8,1015.3,994,14.8,14.8,0,0,100
"2020-12-12 16:46:40",118,12.36,14.8,81.8,1015.3,390.4,14.8,14.8,1.1,213.9,100
"2020-12-12 16:47:00",119,12.37,14.8,81.8,1015.3,838,14.8,14.8,2.85,209.3,100
"2020-12-12 16:47:20",120,12.36,15,81.7,1015.4,1147,15,15,1,222.6,100
"2020-12-12 16:47:40",121,12.36,15,81.7,1015.4,1114,15,15,0.5,21.2,100
"2020-12-12 16:48:00",122,12.36,15,81.7,1015.4,1091,15,15,1.1,265.4,100
"2020-12-12 16:48:20",123,12.36,15,83.6,1015.3,1033,15,15,0.4,260.4,100
"2020-12-12 16:48:40",124,12.36,15,83.6,1015.3,1015,15,15,0.5,296,100
"2020-12-12 16:49:00",125,12.37,15,83.6,1015.3,366.7,15,15,0,0,100
