"TOA5","CR300Series_2","CR300","21904","CR300.Std.09.02","CPU:LufftWS5022Sec.cr300","30643","two_sec"
"TIMESTAMP","RECORD","BatVolt_V_Min","AirTemp_C_Avg","RH_Avg","Barometer_hPa","Solar_W_m2_Avg","AirTemp_C_Min","AirTemp_C_Max","WindSpeed_ms_WVc(1)","WindSpeed_ms_WVc(2)","Wind_Quality_Avg"
"TS","RN","","","","","","","","","",""
"","","Min","Avg","Avg","Smp","Avg","Min","Max","WVc","WVc","Avg"
"2020-12-12 16:05:12",0,12.5,0,0,1E-05,0,0,0,0,0,0
"2020-12-12 16:07:48",1,0,0,0,1E-05,0,0,0,0,0,0
"2020-12-12 16:09:04",2,12.49,0,0,1E-05,0,0,0,0,0,0
"2020-12-12 16:14:08",3,12.39,13,88.9,1015.2,504.7,13,13,2.8,209.7,100
"2020-12-12 16:21:26",4,12.37,13.3,84.7,1015.2,634.1,13.3,13.3,0.7,166.8,100
"2020-12-12 16:28:24",5,12.37,13.6,82.2,1015.2,788.4,13.6,13.6,2.1,201.2,100
"2020-12-12 16:36:26",6,12.38,13.6,82.4,1015.3,307.8,13.6,13.6,1.7,187.1,100
"2020-12-12 16:37:20",7,12.38,13.8,85.5,1015.4,306.1,13.8,13.8,1.8,197.4,100
"2020-12-12 16:58:58",8,12.36,15,80.7,1015.6,590.5,15,15,0.6,261.7,100
"2020-12-12 17:01:24",9,12.37,15.1,80.4,1015.7,977,15.1,15.1,1.8,191.9,100
"2020-12-12 17:02:22",10,12.37,15.1,79,1015.7,947,15.1,15.1,4.1,209.1,100
"2020-12-12 17:03:24",11,12.37,14.7,76.2,1015.8,943,14.7,14.7,3.2,188.6,100
"2020-12-12 17:12:34",12,12.35,14.1,78.5,1015.8,543.3,14.1,14.1,3.2,172.8,100
"2020-12-12 17:22:48",13,12.37,14.3,83.4,1015.9,596.1,14.3,14.3,0.9,209.4,100
"2020-12-12 17:25:22",14,12.36,14.4,80,1016,599.8,14.4,14.4,2.2,195.4,100
"2020-12-12 17:29:12",15,12.37,14.2,79.4,1016.1,390.7,14.2,14.2,2.9,202.2,100
"2020-12-12 17:31:06",16,12.37,13.8,79.2,1016.1,487.4,13.8,13.8,3.4,207.6,100
"2020-12-12 17:36:48",17,12.34,13.6,80,1016.1,534.2,13.6,13.6,0.6,300.3,100
"2020-12-12 17:49:54",18,12.35,14,80.1,1016.5,168.3,14,14,3.7,192.8,100
"2020-12-12 17:56:24",19,12.36,14.3,78.8,1016.4,278.5,14.3,14.3,0,0,100
"2020-12-12 17:59:58",20,12.36,13.8,76,1016.4,387.3,13.8,13.8,0,0,100
"2020-12-12 18:09:12",21,12.35,13.6,81.1,1016.5,308.2,13.6,13.6,2.4,197.1,100
"2020-12-12 18:12:06",22,12.35,13.5,79.5,1016.6,103.7,13.5,13.5,4.5,199.1,100
"2020-12-12 18:17:12",23,12.35,13.6,78.2,1016.6,89.6,13.6,13.6,2.9,173.7,100
"2020-12-12 18:17:18",24,12.35,13.6,78.2,1016.6,90.6,13.6,13.6,2.6,193.1,100
"2020-12-12 18:17:28",25,12.34,13.6,78.2,1016.6,90.9,13.6,13.6,3.1,183.5,100
"2020-12-12 18:17:46",26,12.35,13.6,78.2,1016.6,93.8,13.6,13.6,2.3,192.5,100
"2020-12-12 18:17:52",27,12.34,13.6,78.2,1016.6,93.8,13.6,13.6,2.3,192.5,100
"2020-12-12 18:19:38",28,12.35,13.8,80.2,1016.8,99.1,13.8,13.8,2.6,198.4,100
"2020-12-12 18:20:24",29,12.35,13.7,79.1,1016.7,121.6,13.7,13.7,1,240,100
"2020-12-12 18:21:14",30,12.34,13.9,82.4,1016.8,129.6,13.9,13.9,0,0,100
"2020-12-12 18:26:12",31,12.35,13.7,78.5,1016.8,449.3,13.7,13.7,0.7,336.8,100
"2020-12-12 18:28:38",32,12.35,13.9,80.3,1016.9,346.8,13.9,13.9,0.7,162,100
"2020-12-12 18:31:12",33,12.34,14,75.8,1016.9,419.9,14,14,0,0,100
"2020-12-12 18:33:26",34,12.33,14.2,76.3,1017.1,416.1,14.2,14.2,0.7,194.6,100
"2020-12-12 18:36:32",35,12.35,13.8,75.7,1017,423.6,13.8,13.8,0,0,100
"2020-12-12 18:36:38",36,12.34,13.8,75.7,1017,409.6,13.8,13.8,0,0,100
"2020-12-12 18:36:44",37,12.34,13.8,75.7,1017,409.6,13.8,13.8,0,0,100
"2020-12-12 18:37:26",38,12.34,13.9,75.6,1017,370.3,13.9,13.9,0,0,100
"2020-12-12 18:37:32",39,12.33,13.9,75.6,1017,370.3,13.9,13.9,0,0,100
"2020-12-12 18:37:38",40,12.33,13.9,75.6,1017,394.1,13.9,13.9,0,0,100
"2020-12-12 18:39:40",41,12.34,13.8,74.9,1017.1,378.7,13.8,13.8,0,0,100
"2020-12-12 18:47:38",42,12.34,13.5,72.6,1017.4,93.7,13.5,13.5,5.1,191.6,100
"2020-12-12 18:47:44",43,12.33,13.5,72.6,1017.4,93.7,13.5,13.5,5.1,191.6,100
"2020-12-12 18:47:50",44,12.34,13.5,72.6,1017.4,92.1,13.5,13.5,4.7,206.2,100
"2020-12-12 18:48:08",45,12.33,13.4,72.1,1017.3,85,13.4,13.4,4.9,205.3,100
"2020-12-12 18:48:10",46,12.34,13.4,72.1,1017.3,85,13.4,13.4,4.9,205.3,100
"2020-12-12 18:48:16",47,12.34,13.4,72.1,1017.3,85.5,13.4,13.4,5.9,201.5,100
"2020-12-12 18:48:22",48,12.32,13.4,72.1,1017.3,85.5,13.4,13.4,5.9,194.7,100
"2020-12-12 18:48:28",49,12.34,13.4,72.1,1017.3,87.7,13.4,13.4,4.5,194.7,100
"2020-12-12 18:48:30",50,12.33,13.4,72.1,1017.3,87.7,13.4,13.4,4.5,194.7,100
"2020-12-12 18:48:40",51,12.34,13.4,72.1,1017.3,86.9,13.4,13.4,5.7,197,100
"2020-12-12 18:48:42",52,12.32,13.4,72.1,1017.3,86.9,13.4,13.4,4.3,205,100
"2020-12-12 18:48:48",53,12.34,13.4,72.1,1017.3,86.1,13.4,13.4,4.3,205,100
"2020-12-12 18:49:06",54,12.33,13.4,73.3,1017.3,89.3,13.4,13.4,3.7,192,100
"2020-12-12 18:49:12",55,12.33,13.4,73.3,1017.3,89.3,13.4,13.4,1.5,202.7,100
"2020-12-12 18:49:18",56,12.34,13.4,73.3,1017.3,84.3,13.4,13.4,3.5,203.5,100
"2020-12-12 18:49:20",57,12.33,13.4,73.3,1017.3,84.3,13.4,13.4,3.5,203.5,100
"2020-12-12 18:49:38",58,12.34,13.4,73.3,1017.3,84.5,13.4,13.4,1,255.2,100
"2020-12-12 18:49:40",59,12.32,13.4,73.3,1017.3,84.5,13.4,13.4,1,255.2,100
"2020-12-12 18:49:46",60,12.33,13.4,73.3,1017.3,88.8,13.4,13.4,0.4,348.4,100
"2020-12-12 18:49:48",61,12.33,13.4,73.3,1017.3,88.8,13.4,13.4,0.4,348.4,100
"2020-12-12 18:50:06",62,12.33,13.3,75.9,1017.3,84.3,13.3,13.3,0.4,285.7,100
"2020-12-12 18:50:08",63,12.32,13.3,75.9,1017.3,84.3,13.3,13.3,0.4,285.7,100
"2020-12-12 18:50:14",64,12.32,13.3,75.9,1017.3,84.3,13.3,13.3,0,0,100
"2020-12-12 18:50:16",65,12.33,13.3,75.9,1017.3,86.7,13.3,13.3,0,0,100
"2020-12-12 18:50:22",66,12.34,13.3,75.9,1017.3,86.7,13.3,13.3,0.4,265.2,100
"2020-12-12 18:50:36",67,12.33,13.3,75.9,1017.3,84.6,13.3,13.3,0.6,161.8,100
"2020-12-12 18:50:38",68,12.34,13.3,75.9,1017.3,84.6,13.3,13.3,0.6,204.4,100
"2020-12-12 18:50:44",69,12.34,13.3,75.9,1017.3,84.6,13.3,13.3,1.3,204.4,100
"2020-12-12 18:50:50",70,12.34,13.3,75.9,1017.3,83.9,13.3,13.3,0.8,194.5,100
"2020-12-12 18:51:04",71,12.34,13.3,75.9,1017.3,84.9,13.3,13.3,3.4,203.1,100
"2020-12-12 18:51:10",72,12.34,13.4,73.8,1017.4,79.6,13.4,13.4,4.2,200.2,100
"2020-12-12 18:51:16",73,12.34,13.4,73.8,1017.4,86.1,13.4,13.4,5,205.9,100
"2020-12-12 18:51:18",74,12.33,13.4,73.8,1017.4,86.1,13.4,13.4,5,205.9,100
"2020-12-12 18:51:32",75,12.33,13.4,73.8,1017.4,86,13.4,13.4,3.9,207.4,100
"2020-12-12 18:51:38",76,12.34,13.4,73.8,1017.4,82.4,13.4,13.4,2.1,289,100
"2020-12-12 18:51:40",77,12.34,13.4,73.8,1017.4,82.4,13.4,13.4,2.1,289,100
"2020-12-12 18:51:46",78,12.34,13.4,73.8,1017.4,82,13.4,13.4,0.8,245.3,100
"2020-12-12 18:52:04",79,12.34,13.4,73.8,1017.4,81.9,13.4,13.4,6.2,208.4,100
"2020-12-12 18:52:10",80,12.33,13.4,72.7,1017.6,82,13.4,13.4,6.6,183.8,100
"2020-12-12 18:52:24",81,12.34,13.4,72.7,1017.6,82.4,13.4,13.4,5.3,193.7,100
"2020-12-12 18:52:26",82,12.33,13.4,72.7,1017.6,82.9,13.4,13.4,5.3,193.7,100
"2020-12-12 18:52:32",83,12.34,13.4,72.7,1017.6,82.9,13.4,13.4,4.9,207,100
"2020-12-12 18:52:38",84,12.32,13.4,72.7,1017.6,83.9,13.4,13.4,5.3,209.9,100
"2020-12-12 18:52:40",85,12.33,13.4,72.7,1017.6,83.9,13.4,13.4,5.3,209.9,100
"2020-12-12 18:52:46",86,12.33,13.4,72.7,1017.6,86.8,13.4,13.4,5,203.3,100
"2020-12-12 18:52:48",87,12.33,13.4,72.7,1017.6,86.8,13.4,13.4,5,203.3,100
"2020-12-12 18:52:58",88,12.33,13.4,72.7,1017.6,85.8,13.4,13.4,5.4,199.6,100
"2020-12-12 18:53:00",89,12.33,13.4,72.7,1017.6,85.8,13.4,13.4,5.4,199.6,100
"2020-12-12 18:53:06",90,12.32,13.3,71.3,1017.6,87.4,13.3,13.3,5.2,204.2,100
"2020-12-12 18:53:08",91,12.33,13.3,71.3,1017.6,87.4,13.3,13.3,5.2,204.2,100
"2020-12-12 18:53:14",92,12.33,13.3,71.3,1017.6,87.4,13.3,13.3,5.7,209.2,100
"2020-12-12 18:53:32",93,12.34,13.3,71.3,1017.6,90.5,13.3,13.3,3.5,208.7,100
"2020-12-12 18:53:34",94,12.34,13.3,71.3,1017.6,90.5,13.3,13.3,3.5,208.7,100
"2020-12-12 18:53:40",95,12.34,13.3,71.3,1017.6,91.4,13.3,13.3,3.2,207.3,100
"2020-12-12 18:53:42",96,12.33,13.3,71.3,1017.6,91.4,13.3,13.3,3.2,207.3,100
"2020-12-12 18:54:00",97,12.33,13.3,71.3,1017.6,91.4,13.3,13.3,4,202.6,100
"2020-12-12 18:54:02",98,12.34,13.3,71.3,1017.6,91.4,13.3,13.3,4,202.6,100
"2020-12-12 18:54:08",99,12.34,13.3,71.2,1017.5,88.9,13.3,13.3,3.8,207,100
"2020-12-12 18:54:10",100,12.34,13.3,71.2,1017.5,88.9,13.3,13.3,3.8,207,100
"2020-12-12 18:54:28",101,12.34,13.3,71.2,1017.5,85.3,13.3,13.3,5.5,209.8,100
"2020-12-12 18:54:34",102,12.34,13.3,71.2,1017.5,85.3,13.3,13.3,5.9,189.6,100
"2020-12-12 18:54:40",103,12.33,13.3,71.2,1017.5,82.9,13.3,13.3,5.9,189.6,100
"2020-12-12 18:54:50",104,12.33,13.3,71.2,1017.5,80.4,13.3,13.3,5,189,100
"2020-12-12 18:55:00",105,12.33,13.3,71.2,1017.5,80.7,13.3,13.3,2.7,191.4,100
"2020-12-12 18:55:06",106,12.33,13.3,73.4,1017.5,80.1,13.3,13.3,4,202.1,100
"2020-12-12 18:55:12",107,12.32,13.3,73.4,1017.5,80.1,13.3,13.3,5,206.3,100
"2020-12-12 18:55:14",108,12.32,13.3,73.4,1017.5,80.1,13.3,13.3,5,206.3,100
"2020-12-12 18:55:28",109,12.34,13.3,73.4,1017.5,81.5,13.3,13.3,2.2,209.4,100
"2020-12-12 18:55:34",110,12.32,13.3,73.4,1017.5,81.5,13.3,13.3,2.9,209.4,100
"2020-12-12 18:55:44",111,12.33,13.3,73.4,1017.5,81.8,13.3,13.3,4.6,209.7,100
"2020-12-12 18:55:58",112,12.32,13.3,73.4,1017.5,81.7,13.3,13.3,3.5,202.1,100
"2020-12-12 18:56:04",113,12.33,13.3,73.4,1017.5,81.7,13.3,13.3,3.5,202.1,100
"2020-12-12 18:56:10",114,12.33,13.3,71.9,1017.6,81.8,13.3,13.3,5.3,214.1,100
"2020-12-12 18:56:28",115,12.33,13.3,71.9,1017.6,81.5,13.3,13.3,4.6,200.9,100
"2020-12-12 18:56:34",116,12.33,13.3,71.9,1017.6,81.5,13.3,13.3,3.2,192.3,100
"2020-12-12 18:56:40",117,12.32,13.3,71.9,1017.6,82,13.3,13.3,3.2,192.3,100
"2020-12-12 18:56:58",118,12.34,13.3,71.9,1017.6,82.6,13.3,13.3,1.7,225.3,100
"2020-12-12 18:57:04",119,12.34,13.3,71.9,1017.6,82.6,13.3,13.3,0.5,308.5,100
"2020-12-12 18:57:22",120,12.34,13.3,74.1,1017.7,85.2,13.3,13.3,2.9,209.9,100
"2020-12-12 18:57:28",121,12.32,13.3,74.1,1017.7,85.9,13.3,13.3,3.2,207.1,100
"2020-12-12 18:57:34",122,12.32,13.3,74.1,1017.7,85.9,13.3,13.3,3.2,207.1,100
