Flight Information:
Launch Date:            	      	                       	Saturday, 12 December 2020	     	                       	          	Launch Time: 	     	            	16:34:20  	          	        	End of Ascent:	     	         	01:55:06
Station name:           	      	                       	                          	     	                       	          	Serialnumber:	     	            	20026298
Ground values:
Pressure:               	      	                       	1010.2 hPa                	     	                       	          	Temperature: 	     	            	13.8 ?C   	          	        	Humidity:     	     	         	82 %
Wind Direction:         	      	                       	196 ?                     	     	                       	          	Wind Speed:  	     	            	2 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                       	-73.160 ?                 	     	                       	          	Latitude:    	     	            	-39.236 ? 	          	        	Altitude:     	     	         	3 m
Staff:
Company:                	      	                       	
Operator:               	      	                       	                          	     	                       	          	
Events:
Highest Point:          	      	                       	6.9 hPa                   	     	                       	          	33725 m
Tropopauses:            	      	                       	1.: 237.8 hPa             	     	                       	          	2.: 95.8 hPa 	     	            	
Max Winds:              	      	                       	1.: 238.2 hPa             	     	                       	          	2.: 8.5 hPa  	     	            	
Remarks:

Profile Data:
Time                    	P     	T                      	Hu                        	Ws   	Wd                     	Long.     	Lat.         	Alt  	Geopot      	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range 	D
[sec]                   	[hPa] 	[?C]                   	[%]                       	[m/s]	[?]                    	[?]       	[?]          	[m]  	[m]         	          	          	[?C]    	[?C]          	[m/s]	[?]      	[?]     	[m]   	[kg/m3]
0                       	1010.2	13.8                   	82                        	1.5  	196                    	-73.160380	-39.236240   	3    	3           	277.374   	276.903   	10.8    	15.2          	0.0  	39.2     	180     	0     	1.226646
1                       	1009.7	13.5                   	82                        	1.5  	199                    	-73.160360	-39.236257   	7    	7           	278.160   	277.014   	10.5    	14.9          	4.3  	58.0     	143     	5     	1.227105
2                       	1009.2	13.3                   	82                        	1.6  	203                    	-73.160340	-39.236275   	12   	12          	278.961   	277.124   	10.3    	14.6          	4.3  	58.8     	141     	11    	1.227565
3                       	1008.6	13.0                   	82                        	1.6  	206                    	-73.160320	-39.236292   	16   	16          	279.747   	277.235   	10.1    	14.4          	4.3  	58.8     	140     	16    	1.228026
4                       	1008.1	12.8                   	82                        	1.6  	210                    	-73.160301	-39.236310   	20   	20          	280.534   	277.347   	9.8     	14.1          	4.3  	58.9     	140     	21    	1.228488
5                       	1007.6	12.5                   	82                        	1.7  	213                    	-73.160281	-39.236327   	25   	25          	281.320   	277.458   	9.6     	13.8          	4.3  	58.9     	140     	26    	1.228951
6                       	1007.1	12.3                   	82                        	1.7  	217                    	-73.160261	-39.236345   	29   	29          	282.123   	277.570   	9.3     	13.5          	4.3  	59.0     	139     	31    	1.229415
7                       	1006.6	12.0                   	82                        	1.8  	221                    	-73.160241	-39.236362   	33   	33          	282.882   	277.654   	9.1     	13.3          	4.3  	59.0     	139     	36    	1.229756
8                       	1006.1	12.0                   	82                        	1.8  	224                    	-73.160221	-39.236380   	38   	38          	283.462   	277.559   	9.1     	13.2          	4.3  	59.0     	139     	41    	1.229304
