Flight Information:
Launch Date:            	     	                       	Sunday, 13 December 2020	        	                   	          	Launch Time: 	       	            	17:02:04  	       	     	End of Ascent:	     	         	01:30:10
Station name:           	     	                       	                        	        	                   	          	Serialnumber:	       	            	20027773
Ground values:
Pressure:               	     	                       	991.8 hPa               	        	                   	          	Temperature: 	       	            	15.1 °C   	       	     	Humidity:     	     	         	62 %
Wind Direction:         	     	                       	300 °                   	        	                   	          	Wind Speed:  	       	            	1 m/s     	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-72.105 °               	        	                   	          	Latitude:    	       	            	-39.307 ° 	       	     	Altitude:     	     	         	254 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                        	        	                   	          	
Events:
Highest Point:          	     	                       	63.8 hPa                	        	                   	          	28480 m
Tropopauses:            	     	                       	1.: 474.2 hPa           	        	                   	          	             	       	            	
Max Winds:              	     	                       	1.: 265.2 hPa           	        	                   	          	             	       	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                      	Ws      	Wd                 	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                   	[%]                     	[m/s]   	[°]                	[°]       	[°]          	[m]    	[m]         	          	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	991.8	15.1                   	62                      	0.5     	300                	-72.105229	-39.307372   	254    	254         	309.680   	269.787	7.9  	16.3          	0.0  	39.3     	180     	0      	1.198872
1                       	991.0	14.8                   	61                      	0.6     	301                	-72.105188	-39.307398   	261    	261         	310.772   	269.795	7.3  	15.9          	6.9  	55.9     	133     	9      	1.199154
2                       	990.2	14.5                   	59                      	0.6     	301                	-72.105147	-39.307425   	268    	268         	311.864   	269.804	6.7  	15.6          	6.9  	56.1     	131     	17     	1.199437
3                       	989.4	14.2                   	58                      	0.7     	302                	-72.105105	-39.307451   	275    	275         	312.956   	269.813	6.1  	15.2          	6.9  	56.1     	131     	25     	1.199722
4                       	988.6	13.9                   	57                      	0.8     	302                	-72.105064	-39.307478   	282    	282         	314.048   	269.822	5.4  	14.9          	6.9  	56.1     	130     	34     	1.200007
5                       	987.8	13.6                   	55                      	0.8     	302                	-72.105022	-39.307504   	289    	289         	315.141   	269.830	4.8  	14.5          	6.9  	56.1     	130     	42     	1.200295
6                       	987.0	13.3                   	54                      	0.9     	302                	-72.104981	-39.307531   	296    	295         	316.233   	269.839	4.2  	14.2          	6.9  	56.1     	130     	50     	1.200584
7                       	986.1	13.2                   	53                      	1.0     	303                	-72.104940	-39.307557   	302    	302         	317.109   	269.632	3.8  	14.1          	6.9  	56.1     	130     	59     	1.199917
8                       	985.3	13.2                   	52                      	1.0     	303                	-72.104898	-39.307584   	309    	309         	318.007   	269.447	3.7  	14.0          	6.9  	56.1     	130     	67     	1.199137
9                       	984.5	13.1                   	53                      	1.1     	303                	-72.104857	-39.307610   	316    	316         	318.929   	269.285	3.7  	14.0          	6.9  	56.1     	130     	75     	1.198357
10                      	983.7	13.1                   	53                      	1.2     	303                	-72.104815	-39.307637   	323    	323         	319.851   	269.124	3.7  	13.9          	6.9  	56.1     	130     	83     	1.197578
11                      	982.9	13.0                   	53                      	1.2     	303                	-72.104774	-39.307663   	330    	330         	320.773   	268.963	3.7  	13.9          	6.9  	56.1     	130     	92     	1.196800
12                      	982.1	13.0                   	53                      	1.3     	303                	-72.104733	-39.307690   	337    	337         	321.695   	268.802	3.7  	13.8          	6.9  	56.1     	130     	100    	1.196022
13                      	981.3	12.9                   	54                      	1.4     	303                	-72.104691	-39.307716   	344    	344         	322.640   	268.647	3.8  	13.8          	6.9  	56.2     	130     	108    	1.195272
14                      	980.6	12.9                   	54                      	1.4     	303                	-72.104650	-39.307743   	351    	351         	323.568   	268.493	3.8  	13.8          	6.9  	56.2     	130     	117    	1.194523
15                      	979.8	12.8                   	54                      	1.5     	304                	-72.104609	-39.307769   	358    	357         	324.497   	268.338	3.8  	13.7          	6.9  	56.2     	130     	125    	1.193774
16                      	979.0	12.8                   	54                      	1.6     	304                	-72.104578	-39.307785   	365    	364         	325.426   	268.184	3.8  	13.7          	6.9  	56.7     	129     	133    	1.193026
17                      	978.2	12.7                   	55                      	1.6     	304                	-72.104555	-39.307793   	371    	371         	326.261   	268.030	3.9  	13.6          	6.3  	57.4     	129     	139    	1.192279
18                      	977.4	12.7                   	55                      	1.7     	304                	-72.104532	-39.307801   	377    	377         	327.081   	267.876	3.9  	13.6          	6.2  	58.0     	129     	145    	1.191532
19                      	976.7	12.6                   	55                      	1.7     	304                	-72.104509	-39.307809   	383    	383         	327.915   	267.737	3.9  	13.5          	6.2  	58.6     	128     	152    	1.190850
20                      	976.0	12.6                   	55                      	1.8     	304                	-72.104486	-39.307817   	390    	389         	328.775   	267.608	3.9  	13.5          	6.2  	59.1     	128     	158    	1.190220
21                      	975.3	12.5                   	56                      	1.9     	304                	-72.104463	-39.307825   	396    	396         	329.639   	267.499	3.9  	13.4          	6.2  	59.6     	127     	165    	1.189695
22                      	974.5	12.4                   	56                      	1.9     	304                	-72.104440	-39.307833   	402    	402         	330.503   	267.389	3.8  	13.3          	6.2  	60.0     	127     	171    	1.189171
23                      	973.8	12.3                   	56                      	2.0     	304                	-72.104417	-39.307841   	408    	408         	331.368   	267.280	3.8  	13.2          	6.2  	60.5     	127     	177    	1.188647
24                      	973.1	12.2                   	56                      	2.1     	304                	-72.104394	-39.307849   	414    	414         	332.232   	267.171	3.7  	13.1          	6.2  	60.8     	127     	184    	1.188123
25                      	972.4	12.1                   	56                      	2.1     	304                	-72.104371	-39.307857   	421    	420         	333.111   	267.062	3.7  	13.0          	6.2  	61.2     	126     	190    	1.187598
26                      	971.7	12.1                   	56                      	2.2     	304                	-72.104348	-39.307865   	427    	427         	333.976   	266.952	3.6  	12.9          	6.2  	61.5     	126     	197    	1.187074
27                      	970.9	12.0                   	56                      	2.3     	304                	-72.104325	-39.307873   	433    	433         	334.840   	266.843	3.6  	12.8          	6.2  	61.8     	126     	203    	1.186550
28                      	970.2	11.9                   	56                      	2.3     	304                	-72.104302	-39.307881   	439    	439         	335.704   	266.734	3.5  	12.8          	6.2  	62.1     	125     	210    	1.186026
29                      	969.5	11.8                   	57                      	2.4     	304                	-72.104279	-39.307888   	446    	445         	336.568   	266.625	3.5  	12.7          	6.2  	62.4     	125     	216    	1.185503
30                      	968.8	11.7                   	57                      	2.5     	304                	-72.104257	-39.307896   	452    	452         	337.448   	266.516	3.4  	12.6          	6.2  	62.7     	125     	223    	1.184980
31                      	968.1	11.6                   	57                      	2.4     	304                	-72.104234	-39.307904   	458    	458         	338.313   	266.407	3.4  	12.5          	6.2  	62.9     	125     	229    	1.184455
32                      	967.3	11.5                   	57                      	2.4     	303                	-72.104211	-39.307912   	464    	464         	339.177   	266.297	3.3  	12.4          	6.2  	63.1     	125     	236    	1.183932
33                      	966.6	11.5                   	57                      	2.4     	302                	-72.104188	-39.307920   	470    	470         	340.041   	266.188	3.3  	12.3          	6.2  	63.3     	124     	242    	1.183408
34                      	965.9	11.4                   	57                      	2.4     	301                	-72.104165	-39.307928   	477    	476         	340.886   	266.060	3.3  	12.2          	6.2  	63.5     	124     	249    	1.182800
35                      	965.2	11.3                   	57                      	2.3     	300                	-72.104142	-39.307936   	483    	483         	341.726   	265.926	3.2  	12.2          	6.2  	63.7     	124     	255    	1.182166
36                      	964.5	11.3                   	57                      	2.3     	299                	-72.104119	-39.307944   	489    	489         	342.581   	265.793	3.2  	12.1          	6.2  	63.9     	124     	262    	1.181532
37                      	963.8	11.2                   	58                      	2.3     	299                	-72.104096	-39.307952   	495    	495         	343.421   	265.658	3.2  	12.1          	6.2  	64.1     	124     	268    	1.180897
38                      	963.0	11.2                   	58                      	2.2     	298                	-72.104073	-39.307960   	502    	501         	344.260   	265.525	3.2  	12.0          	6.2  	64.3     	123     	275    	1.180262
39                      	962.3	11.1                   	58                      	2.2     	297                	-72.104050	-39.307968   	508    	507         	345.100   	265.391	3.1  	12.0          	6.2  	64.4     	123     	282    	1.179628
40                      	961.6	11.0                   	58                      	2.2     	296                	-72.104027	-39.307976   	514    	514         	345.939   	265.257	3.1  	11.9          	6.2  	64.6     	123     	288    	1.178994
