Flight Information:
Launch Date:            	     	                       	Sunday, 13 December 2020	        	                        	          	Launch Time: 	       	            	17:01:57  	       	     	End of Ascent:	     	         	01:19:20
Station name:           	     	                       	                        	        	                        	          	Serialnumber:	       	            	20028050
Ground values:
Pressure:               	     	                       	992.5 hPa               	        	                        	          	Temperature: 	       	            	13.6 °C   	       	     	Humidity:     	     	         	60 %
Wind Direction:         	     	                       	299 °                   	        	                        	          	Wind Speed:  	       	            	1 m/s     	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-72.105 °               	        	                        	          	Latitude:    	       	            	-39.307 ° 	       	     	Altitude:     	     	         	267 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                        	        	                        	          	
Events:
Highest Point:          	     	                       	56.3 hPa                	        	                        	          	19991 m
Tropopauses:            	     	                       	1.: 208.4 hPa           	        	                        	          	2.: 113.8 hPa	       	            	
Max Winds:              	     	                       	1.: 276.2 hPa           	        	                        	          	             	       	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                      	Ws      	Wd                      	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                   	[%]                     	[m/s]   	[°]                     	[°]       	[°]          	[m]    	[m]         	          	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	992.5	13.6                   	60                      	0.7     	299                     	-72.105210	-39.307470   	267    	267         	313.230   	271.311	6.0  	14.6          	0.0  	39.3     	180     	0      	1.205994
1                       	992.2	13.7                   	59                      	0.8     	299                     	-72.105182	-39.307497   	270    	270         	313.469   	271.095	5.8  	14.7          	2.9  	37.5     	145     	5      	1.205283
2                       	991.8	13.7                   	58                      	0.8     	300                     	-72.105154	-39.307525   	273    	273         	313.709   	270.879	5.5  	14.7          	2.9  	37.2     	143     	10     	1.204572
3                       	991.5	13.8                   	56                      	0.9     	300                     	-72.105126	-39.307552   	276    	276         	313.948   	270.663	5.3  	14.8          	2.9  	37.1     	143     	15     	1.203861
4                       	991.1	13.9                   	55                      	0.9     	301                     	-72.105098	-39.307579   	279    	279         	314.188   	270.447	5.0  	14.8          	2.9  	37.0     	142     	20     	1.203152
5                       	990.8	14.0                   	54                      	1.0     	301                     	-72.105070	-39.307607   	281    	281         	314.412   	270.232	4.8  	14.9          	2.9  	36.8     	142     	25     	1.202442
6                       	990.5	14.0                   	53                      	1.0     	301                     	-72.105042	-39.307634   	284    	284         	314.652   	270.017	4.5  	15.0          	2.9  	36.8     	142     	29     	1.201733
7                       	990.1	14.0                   	51                      	1.1     	301                     	-72.105014	-39.307661   	287    	287         	315.022   	269.932	4.1  	14.9          	2.9  	36.8     	142     	34     	1.201600
8                       	989.8	13.9                   	51                      	1.1     	302                     	-72.104986	-39.307689   	290    	290         	315.464   	269.918	3.8  	14.7          	2.9  	36.8     	142     	39     	1.201644
9                       	989.5	13.7                   	51                      	1.2     	302                     	-72.104958	-39.307716   	293    	293         	315.931   	269.930	3.7  	14.6          	2.9  	36.8     	142     	44     	1.201689
10                      	989.1	13.6                   	51                      	1.3     	302                     	-72.104930	-39.307743   	296    	296         	316.398   	269.941	3.6  	14.5          	2.9  	36.8     	142     	49     	1.201733
11                      	988.8	13.5                   	51                      	1.3     	302                     	-72.104902	-39.307770   	299    	299         	316.864   	269.953	3.5  	14.4          	2.9  	36.8     	142     	54     	1.201778
12                      	988.4	13.4                   	51                      	1.4     	302                     	-72.104874	-39.307798   	302    	302         	317.331   	269.965	3.4  	14.3          	2.9  	36.8     	142     	58     	1.201822
13                      	988.0	13.3                   	51                      	1.4     	302                     	-72.104846	-39.307825   	305    	304         	317.777   	269.955	3.3  	14.2          	2.9  	36.8     	142     	63     	1.201773
14                      	987.6	13.2                   	51                      	1.5     	302                     	-72.104817	-39.307846   	307    	307         	318.208   	269.946	3.2  	14.0          	2.9  	37.0     	141     	68     	1.201723
15                      	987.2	13.1                   	51                      	1.5     	303                     	-72.104785	-39.307848   	310    	310         	318.654   	269.937	3.1  	13.9          	2.9  	37.9     	139     	71     	1.201674
16                      	986.8	13.0                   	51                      	1.6     	303                     	-72.104753	-39.307850   	314    	314         	319.241   	269.927	3.0  	13.8          	3.8  	39.3     	137     	75     	1.201625
17                      	986.4	12.9                   	51                      	1.6     	303                     	-72.104721	-39.307852   	319    	318         	319.923   	269.918	2.9  	13.7          	4.4  	40.8     	135     	79     	1.201577
18                      	986.0	12.8                   	51                      	1.7     	303                     	-72.104689	-39.307854   	323    	323         	320.604   	269.909	2.8  	13.6          	4.4  	42.1     	134     	84     	1.201528
19                      	985.4	12.7                   	51                      	1.8     	303                     	-72.104657	-39.307856   	327    	327         	321.259   	269.873	2.7  	13.5          	4.4  	43.3     	132     	88     	1.201357
20                      	984.9	12.6                   	51                      	1.8     	303                     	-72.104625	-39.307859   	332    	331         	321.890   	269.813	2.7  	13.4          	4.4  	44.3     	131     	93     	1.201072
21                      	984.4	12.6                   	51                      	1.9     	303                     	-72.104593	-39.307861   	336    	336         	322.443   	269.691	2.8  	13.4          	4.4  	45.2     	129     	98     	1.200440
22                      	983.9	12.6                   	52                      	1.9     	303                     	-72.104561	-39.307863   	340    	340         	323.012   	269.569	2.9  	13.4          	4.4  	46.0     	128     	102    	1.199809
23                      	983.4	12.6                   	52                      	2.0     	303                     	-72.104529	-39.307865   	345    	345         	323.581   	269.448	3.0  	13.4          	4.4  	46.7     	127     	107    	1.199178
24                      	982.9	12.6                   	52                      	2.0     	303                     	-72.104497	-39.307867   	349    	349         	324.150   	269.326	3.1  	13.4          	4.4  	47.4     	126     	112    	1.198548
25                      	982.4	12.6                   	53                      	2.1     	303                     	-72.104465	-39.307869   	354    	353         	324.719   	269.204	3.2  	13.4          	4.4  	48.0     	125     	117    	1.197918
26                      	981.8	12.6                   	53                      	2.1     	303                     	-72.104434	-39.307871   	358    	358         	325.273   	269.083	3.3  	13.4          	4.4  	48.5     	124     	122    	1.197288
27                      	981.3	12.6                   	54                      	2.2     	303                     	-72.104402	-39.307874   	362    	362         	325.842   	268.961	3.5  	13.4          	4.4  	49.0     	123     	127    	1.196659
