Flight Information:
Launch Date:            	     	                       	Monday, 14 December 2020	        	                   	          	Launch Time: 	       	            	01:02:04  	       	     	End of Ascent:	     	         	01:38:08
Station name:           	     	                       	                        	        	                   	          	Serialnumber:	       	            	20027940
Ground values:
Pressure:               	     	                       	989.0 hPa               	        	                   	          	Temperature: 	       	            	12.6 °C   	       	     	Humidity:     	     	         	70 %
Wind Direction:         	     	                       	279 °                   	        	                   	          	Wind Speed:  	       	            	0 m/s     	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-72.105 °               	        	                   	          	Latitude:    	       	            	-39.308 ° 	       	     	Altitude:     	     	         	281 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                        	        	                   	          	
Events:
Highest Point:          	     	                       	6.4 hPa                 	        	                   	          	34317 m
Tropopauses:            	     	                       	1.: 177.2 hPa           	        	                   	          	             	       	            	
Max Winds:              	     	                       	1.: 324.9 hPa           	        	                   	          	2.: 9.3 hPa  	       	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                      	Ws      	Wd                 	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                   	[%]                     	[m/s]   	[°]                	[°]       	[°]          	[m]    	[m]         	          	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	989.0	12.6                   	70                      	0.3     	279                	-72.105158	-39.307571   	281    	281         	315.909   	271.777	7.3  	13.7          	0.0  	39.3     	180     	0      	1.205947
1                       	988.5	12.4                   	70                      	0.5     	266                	-72.105083	-39.307559   	285    	285         	316.604   	271.827	7.1  	13.5          	4.1  	34.1     	081     	8      	1.206199
2                       	988.0	12.2                   	70                      	0.7     	261                	-72.105008	-39.307546   	289    	289         	317.299   	271.878	6.8  	13.3          	4.1  	33.0     	079     	16     	1.206452
3                       	987.6	12.0                   	69                      	0.9     	257                	-72.104934	-39.307534   	293    	293         	317.993   	271.930	6.6  	13.1          	4.1  	32.6     	079     	23     	1.206705
4                       	987.1	11.8                   	69                      	1.1     	255                	-72.104859	-39.307521   	298    	298         	318.688   	271.981	6.3  	12.8          	4.1  	32.5     	079     	31     	1.206959
5                       	986.6	11.6                   	69                      	1.3     	254                	-72.104785	-39.307509   	302    	302         	319.383   	272.032	6.1  	12.6          	4.1  	32.4     	078     	39     	1.207214
6                       	986.1	11.4                   	69                      	1.5     	253                	-72.104710	-39.307496   	306    	306         	320.079   	272.084	5.9  	12.4          	4.1  	32.3     	078     	47     	1.207469
7                       	985.6	11.3                   	69                      	1.7     	252                	-72.104636	-39.307483   	310    	310         	320.745   	272.091	5.7  	12.2          	4.1  	32.3     	078     	54     	1.207531
8                       	985.1	11.2                   	68                      	1.8     	252                	-72.104561	-39.307471   	314    	314         	321.278   	271.980	5.6  	12.2          	4.1  	32.3     	078     	62     	1.207059
9                       	984.7	11.2                   	68                      	2.0     	251                	-72.104486	-39.307458   	318    	318         	321.813   	271.871	5.6  	12.2          	4.1  	32.2     	078     	70     	1.206588
10                      	984.2	11.2                   	68                      	2.2     	251                	-72.104412	-39.307446   	322    	322         	322.348   	271.763	5.5  	12.2          	4.1  	32.2     	078     	78     	1.206117
11                      	983.7	11.1                   	68                      	2.4     	250                	-72.104337	-39.307433   	326    	326         	322.883   	271.654	5.5  	12.1          	4.1  	32.2     	078     	85     	1.205646
12                      	983.2	11.1                   	68                      	2.6     	250                	-72.104263	-39.307421   	330    	330         	323.418   	271.545	5.4  	12.1          	4.1  	32.2     	078     	93     	1.205175
13                      	982.7	11.1                   	68                      	2.8     	250                	-72.104188	-39.307408   	335    	334         	323.934   	271.418	5.4  	12.1          	4.1  	32.1     	078     	101    	1.204618
14                      	982.1	11.1                   	68                      	3.0     	250                	-72.104114	-39.307395   	339    	338         	324.450   	271.290	5.3  	12.0          	4.1  	32.1     	078     	109    	1.204062
15                      	981.6	11.0                   	68                      	3.2     	249                	-72.104039	-39.307380   	343    	343         	324.998   	271.162	5.3  	12.0          	4.3  	32.2     	078     	117    	1.203505
16                      	981.0	11.0                   	68                      	3.4     	249                	-72.103962	-39.307347   	348    	348         	325.686   	271.035	5.3  	12.0          	5.2  	32.4     	077     	126    	1.202949
