Flight Information:
Launch Date:            	     	                       	Monday, 14 December 2020	        	                       	          	Launch Time: 	       	            	04:02:03  	       	     	End of Ascent:	     	         	01:54:14
Station name:           	     	                       	                        	        	                       	          	Serialnumber:	       	            	20026272
Ground values:
Pressure:               	     	                       	989.0 hPa               	        	                       	          	Temperature: 	       	            	9.5 °C    	       	     	Humidity:     	     	         	82 %
Wind Direction:         	     	                       	281 °                   	        	                       	          	Wind Speed:  	       	            	1 m/s     	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-72.105 °               	        	                       	          	Latitude:    	       	            	-39.307 ° 	       	     	Altitude:     	     	         	248 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                        	        	                       	          	
Events:
Highest Point:          	     	                       	8.7 hPa                 	        	                       	          	32153 m
Tropopauses:            	     	                       	1.: 194.1 hPa           	        	                       	          	2.: 91.4 hPa 	       	            	
Max Winds:              	     	                       	1.: 489.4 hPa           	        	                       	          	2.: 12.4 hPa 	       	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                      	Ws      	Wd                     	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                   	[%]                     	[m/s]   	[°]                    	[°]       	[°]          	[m]    	[m]         	          	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	989.0	9.5                    	82                      	0.7     	281                    	-72.105144	-39.307423   	248    	248         	314.258   	275.353	6.6  	10.6          	0.0  	39.3     	180     	0      	1.219173
1                       	988.3	9.5                    	81                      	0.8     	280                    	-72.105087	-39.307438   	254    	253         	314.975   	275.175	6.4  	10.5          	5.7  	48.7     	113     	8      	1.218545
2                       	987.7	9.4                    	80                      	1.0     	280                    	-72.105031	-39.307453   	259    	259         	315.677   	274.998	6.2  	10.4          	5.7  	48.1     	111     	16     	1.217918
3                       	987.0	9.4                    	79                      	1.1     	279                    	-72.104974	-39.307468   	265    	265         	316.394   	274.821	6.0  	10.4          	5.7  	48.0     	110     	23     	1.217291
4                       	986.3	9.3                    	79                      	1.2     	279                    	-72.104918	-39.307483   	270    	270         	317.096   	274.643	5.8  	10.3          	5.7  	47.9     	110     	31     	1.216665
5                       	985.6	9.3                    	78                      	1.3     	279                    	-72.104861	-39.307498   	276    	276         	317.814   	274.466	5.6  	10.3          	5.7  	47.9     	110     	39     	1.216038
6                       	985.0	9.2                    	77                      	1.5     	278                    	-72.104805	-39.307513   	282    	282         	318.516   	274.289	5.4  	10.2          	5.7  	47.8     	110     	46     	1.215412
7                       	984.3	9.2                    	76                      	1.6     	278                    	-72.104748	-39.307528   	287    	287         	319.182   	274.060	5.3  	10.2          	5.7  	47.8     	109     	54     	1.214562
8                       	983.6	9.2                    	76                      	1.7     	278                    	-72.104692	-39.307543   	293    	293         	319.853   	273.836	5.2  	10.2          	5.7  	47.8     	109     	62     	1.213658
9                       	983.0	9.3                    	75                      	1.9     	278                    	-72.104635	-39.307558   	299    	299         	320.514   	273.619	5.1  	10.2          	5.7  	47.8     	109     	69     	1.212754
10                      	982.3	9.3                    	75                      	2.0     	278                    	-72.104579	-39.307573   	304    	304         	321.192   	273.401	5.1  	10.2          	5.7  	47.8     	109     	77     	1.211851
11                      	981.6	9.3                    	75                      	2.1     	278                    	-72.104522	-39.307588   	310    	310         	321.854   	273.184	5.0  	10.2          	5.7  	47.7     	109     	84     	1.210949
12                      	981.0	9.3                    	74                      	2.2     	278                    	-72.104466	-39.307603   	316    	316         	322.533   	272.968	5.0  	10.3          	5.7  	47.8     	109     	92     	1.210047
13                      	980.3	9.3                    	74                      	2.4     	277                    	-72.104409	-39.307618   	321    	321         	323.211   	272.751	5.0  	10.3          	5.7  	47.8     	109     	100    	1.209146
14                      	979.6	9.4                    	74                      	2.5     	277                    	-72.104353	-39.307633   	327    	327         	323.874   	272.535	4.9  	10.3          	5.7  	47.7     	109     	107    	1.208246
15                      	979.0	9.4                    	73                      	2.6     	277                    	-72.104296	-39.307648   	333    	333         	324.552   	272.318	4.9  	10.3          	5.7  	47.8     	109     	115    	1.207347
16                      	978.3	9.4                    	73                      	2.7     	277                    	-72.104239	-39.307660   	338    	338         	325.215   	272.102	4.8  	10.3          	5.7  	47.8     	109     	123    	1.206448
17                      	977.6	9.4                    	73                      	2.9     	277                    	-72.104180	-39.307664   	344    	344         	325.894   	271.886	4.8  	10.3          	5.7  	47.8     	108     	130    	1.205550
18                      	977.0	9.4                    	72                      	3.0     	277                    	-72.104121	-39.307668   	350    	349         	326.558   	271.670	4.7  	10.4          	5.7  	47.8     	107     	138    	1.204653
19                      	976.4	9.4                    	72                      	3.1     	277                    	-72.104062	-39.307672   	355    	355         	327.253   	271.471	4.7  	10.4          	5.6  	47.9     	107     	145    	1.203830
20                      	975.8	9.4                    	72                      	3.3     	277                    	-72.104002	-39.307676   	360    	360         	327.889   	271.322	4.6  	10.3          	5.0  	47.7     	106     	152    	1.203199
21                      	975.1	9.4                    	72                      	3.4     	277                    	-72.103943	-39.307680   	365    	365         	328.553   	271.185	4.5  	10.3          	5.0  	47.6     	106     	160    	1.202607
22                      	974.5	9.3                    	72                      	3.5     	277                    	-72.103884	-39.307684   	370    	370         	329.202   	271.049	4.5  	10.3          	5.0  	47.5     	105     	167    	1.202015
23                      	973.9	9.3                    	71                      	3.6     	277                    	-72.103825	-39.307688   	375    	375         	329.850   	270.912	4.4  	10.2          	5.0  	47.4     	105     	174    	1.201424
