Flight Information:
Launch Date:            	     	                        	Monday, 14 December 2020	        	                   	          	Launch Time: 	       	            	07:02:03  	       	     	End of Ascent:	     	         	00:57:06
Station name:           	     	                        	                        	        	                   	          	Serialnumber:	       	            	20028058
Ground values:
Pressure:               	     	                        	986.7 hPa               	        	                   	          	Temperature: 	       	            	8.5 °C    	       	     	Humidity:     	     	         	93 %
Wind Direction:         	     	                        	13 °                    	        	                   	          	Wind Speed:  	       	            	1 m/s     	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                        	-72.105 °               	        	                   	          	Latitude:    	       	            	-39.307 ° 	       	     	Altitude:     	     	         	201 m
Staff:
Company:                	     	                        	
Operator:               	     	                        	                        	        	                   	          	
Events:
Highest Point:          	     	                        	68.8 hPa                	        	                   	          	18680 m
Tropopauses:            	     	                        	1.: 168.1 hPa           	        	                   	          	             	       	            	
Max Winds:              	     	                        	1.: 282.3 hPa           	        	                   	          	             	       	            	
Remarks:

Profile Data:
Time                    	P    	T                       	Hu                      	Ws      	Wd                 	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                    	[%]                     	[m/s]   	[°]                	[°]       	[°]          	[m]    	[m]         	          	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	986.7	8.5                     	93                      	0.6     	013                	-72.105263	-39.307385   	201    	201         	307.753   	276.228	7.4  	9.6           	0.0  	39.3     	180     	0      	1.220657
1                       	985.7	8.5                     	92                      	0.6     	010                	-72.105238	-39.307397   	210    	210         	308.835   	275.928	7.3  	9.6           	8.8  	73.1     	130     	10     	1.219454
2                       	984.6	8.5                     	92                      	0.6     	007                	-72.105214	-39.307410   	218    	218         	309.918   	275.629	7.2  	9.6           	8.8  	73.5     	126     	19     	1.218254
3                       	983.6	8.4                     	91                      	0.7     	005                	-72.105189	-39.307422   	227    	227         	311.000   	275.330	7.0  	9.5           	8.8  	73.7     	125     	28     	1.217054
4                       	982.5	8.4                     	90                      	0.7     	002                	-72.105164	-39.307435   	236    	236         	312.067   	275.031	6.9  	9.5           	8.8  	73.7     	125     	37     	1.215855
5                       	981.5	8.4                     	90                      	0.7     	360                	-72.105140	-39.307447   	245    	245         	313.150   	274.732	6.8  	9.5           	8.8  	73.7     	124     	46     	1.214658
6                       	980.4	8.4                     	89                      	0.7     	357                	-72.105115	-39.307460   	254    	253         	314.233   	274.434	6.6  	9.4           	8.8  	73.8     	124     	55     	1.213462
7                       	979.4	8.4                     	88                      	0.7     	355                	-72.105090	-39.307472   	262    	262         	315.314   	274.133	6.5  	9.4           	8.8  	73.8     	124     	64     	1.212255
8                       	978.4	8.3                     	88                      	0.8     	353                	-72.105066	-39.307485   	271    	271         	316.411   	273.848	6.5  	9.4           	8.8  	73.8     	124     	74     	1.211032
