Flight Information:
Launch Date:            	     	                       	Monday, 14 December 2020	        	                   	          	Launch Time: 	       	            	08:02:04  	          	        	End of Ascent:	     	         	02:16:00
Station name:           	     	                       	                        	        	                   	          	Serialnumber:	       	            	20028096
Ground values:
Pressure:               	     	                       	986.4 hPa               	        	                   	          	Temperature: 	       	            	8.7 °C    	          	        	Humidity:     	     	         	94 %
Wind Direction:         	     	                       	64 °                    	        	                   	          	Wind Speed:  	       	            	1 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-72.105 °               	        	                   	          	Latitude:    	       	            	-39.307 ° 	          	        	Altitude:     	     	         	267 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                        	        	                   	          	
Events:
Highest Point:          	     	                       	83.8 hPa                	        	                   	          	18440 m
Tropopauses:            	     	                       	                        	        	                   	          	             	       	            	
Max Winds:              	     	                       	1.: 339.0 hPa           	        	                   	          	             	       	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                      	Ws      	Wd                 	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                   	[%]                     	[m/s]   	[°]                	[°]       	[°]          	[m]    	[m]         	          	          	[°C]    	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	986.4	8.7                    	94                      	0.5     	064                	-72.105214	-39.307469   	267    	267         	317.959   	275.993   	7.8     	9.8           	0.0  	39.3     	180     	0      	1.219419
1                       	985.8	8.7                    	93                      	0.5     	068                	-72.105206	-39.307463   	272    	272         	318.546   	275.810   	7.6     	9.8           	4.9  	81.6     	064     	5      	1.218768
2                       	985.2	8.7                    	92                      	0.6     	073                	-72.105198	-39.307457   	277    	277         	319.132   	275.627   	7.5     	9.8           	4.9  	80.3     	053     	10     	1.218117
3                       	984.7	8.7                    	92                      	0.6     	079                	-72.105190	-39.307450   	282    	282         	319.703   	275.445   	7.4     	9.8           	4.9  	79.7     	050     	15     	1.217467
4                       	984.1	8.6                    	91                      	0.6     	087                	-72.105182	-39.307444   	287    	287         	320.290   	275.262   	7.2     	9.7           	4.9  	79.5     	048     	20     	1.216816
5                       	983.5	8.6                    	90                      	0.7     	096                	-72.105174	-39.307437   	292    	292         	320.876   	275.080   	7.1     	9.7           	4.9  	79.3     	047     	25     	1.216166
6                       	982.9	8.6                    	89                      	0.7     	108                	-72.105166	-39.307431   	297    	297         	321.463   	274.897   	6.9     	9.7           	4.9  	79.2     	047     	30     	1.215517
7                       	982.3	8.6                    	88                      	0.7     	122                	-72.105158	-39.307425   	302    	301         	322.056   	274.721   	6.8     	9.7           	4.9  	79.1     	046     	35     	1.214895
8                       	981.8	8.6                    	88                      	0.7     	136                	-72.105150	-39.307418   	306    	306         	322.688   	274.583   	6.7     	9.6           	4.9  	79.1     	046     	40     	1.214307
9                       	981.2	8.5                    	88                      	0.8     	149                	-72.105142	-39.307412   	311    	311         	323.309   	274.450   	6.7     	9.6           	4.9  	79.0     	046     	45     	1.213719
10                      	980.6	8.5                    	88                      	0.8     	159                	-72.105134	-39.307406   	316    	316         	323.945   	274.317   	6.6     	9.6           	4.9  	79.0     	046     	50     	1.213132
11                      	980.0	8.5                    	88                      	0.8     	168                	-72.105126	-39.307399   	321    	321         	324.581   	274.184   	6.6     	9.5           	4.9  	78.9     	046     	55     	1.212545
12                      	979.5	8.4                    	88                      	0.9     	174                	-72.105118	-39.307393   	326    	326         	325.217   	274.051   	6.6     	9.5           	4.9  	78.9     	045     	60     	1.211958
13                      	978.8	8.4                    	88                      	0.9     	179                	-72.105110	-39.307387   	331    	331         	325.842   	273.907   	6.5     	9.5           	4.9  	78.9     	045     	65     	1.211323
14                      	978.2	8.4                    	88                      	0.9     	184                	-72.105102	-39.307380   	336    	335         	326.452   	273.763   	6.5     	9.4           	4.9  	78.9     	045     	70     	1.210689
15                      	977.6	8.4                    	88                      	1.0     	187                	-72.105094	-39.307374   	341    	341         	327.125   	273.619   	6.4     	9.4           	5.1  	78.9     	045     	75     	1.210054
16                      	977.0	8.3                    	88                      	1.0     	190                	-72.105086	-39.307367   	346    	346         	327.829   	273.476   	6.4     	9.4           	5.4  	78.9     	045     	81     	1.209421
17                      	976.4	8.3                    	88                      	1.0     	192                	-72.105066	-39.307368   	352    	352         	328.549   	273.332   	6.4     	9.3           	5.4  	78.9     	050     	86     	1.208787
18                      	975.8	8.3                    	87                      	1.0     	194                	-72.105032	-39.307378   	357    	357         	329.254   	273.189   	6.3     	9.3           	5.4  	78.4     	058     	92     	1.208154
19                      	975.1	8.2                    	87                      	1.1     	195                	-72.104999	-39.307387   	363    	362         	329.966   	273.038   	6.3     	9.3           	5.4  	77.9     	065     	98     	1.207485
20                      	974.5	8.2                    	87                      	1.1     	197                	-72.104965	-39.307396   	368    	368         	330.671   	272.895   	6.2     	9.2           	5.4  	77.3     	070     	104    	1.206833
21                      	973.9	8.1                    	87                      	1.1     	198                	-72.104931	-39.307405   	373    	373         	331.408   	272.784   	6.2     	9.2           	5.4  	76.6     	075     	109    	1.206315
22                      	973.2	8.1                    	88                      	1.2     	199                	-72.104897	-39.307414   	379    	379         	332.161   	272.674   	6.1     	9.1           	5.4  	76.0     	078     	115    	1.205796
23                      	972.6	8.0                    	88                      	1.2     	200                	-72.104863	-39.307424   	384    	384         	332.899   	272.564   	6.1     	9.0           	5.4  	75.4     	081     	121    	1.205278
24                      	971.9	7.9                    	88                      	1.2     	201                	-72.104829	-39.307433   	390    	390         	333.636   	272.453   	6.0     	9.0           	5.4  	74.8     	084     	127    	1.204760
25                      	971.3	7.9                    	88                      	1.3     	201                	-72.104795	-39.307442   	395    	395         	334.389   	272.343   	6.0     	8.9           	5.4  	74.2     	086     	133    	1.204241
26                      	970.7	7.8                    	88                      	1.3     	202                	-72.104761	-39.307451   	401    	400         	335.126   	272.232   	5.9     	8.8           	5.4  	73.7     	088     	139    	1.203723
27                      	970.0	7.8                    	88                      	1.3     	203                	-72.104727	-39.307460   	406    	406         	335.879   	272.122   	5.9     	8.8           	5.4  	73.2     	089     	145    	1.203205
28                      	969.4	7.7                    	88                      	1.3     	203                	-72.104694	-39.307470   	412    	411         	336.617   	272.011   	5.8     	8.7           	5.4  	72.8     	090     	151    	1.202687
29                      	968.7	7.6                    	88                      	1.4     	204                	-72.104660	-39.307479   	417    	417         	337.354   	271.901   	5.8     	8.6           	5.4  	72.3     	092     	157    	1.202169
30                      	968.1	7.6                    	88                      	1.4     	204                	-72.104626	-39.307488   	422    	422         	338.107   	271.791   	5.7     	8.6           	5.4  	71.9     	093     	163    	1.201652
31                      	967.5	7.5                    	88                      	1.5     	211                	-72.104592	-39.307497   	428    	428         	338.845   	271.680   	5.7     	8.5           	5.4  	71.5     	094     	170    	1.201134
32                      	966.8	7.4                    	88                      	1.7     	220                	-72.104558	-39.307506   	433    	433         	339.598   	271.570   	5.6     	8.4           	5.4  	71.2     	095     	176    	1.200616
33                      	966.2	7.4                    	88                      	1.8     	228                	-72.104524	-39.307515   	439    	438         	340.335   	271.459   	5.6     	8.4           	5.4  	70.8     	095     	182    	1.200099
34                      	965.6	7.3                    	88                      	1.9     	237                	-72.104490	-39.307525   	444    	444         	341.037   	271.313   	5.5     	8.3           	5.4  	70.5     	096     	188    	1.199432
35                      	964.9	7.3                    	88                      	2.0     	246                	-72.104456	-39.307534   	450    	449         	341.738   	271.151   	5.5     	8.3           	5.4  	70.2     	097     	194    	1.198692
36                      	964.3	7.3                    	88                      	2.2     	255                	-72.104422	-39.307543   	455    	455         	342.423   	270.988   	5.5     	8.3           	5.4  	69.9     	097     	200    	1.197952
37                      	963.6	7.3                    	88                      	2.3     	262                	-72.104388	-39.307552   	461    	460         	343.124   	270.826   	5.5     	8.3           	5.4  	69.6     	098     	206    	1.197213
38                      	963.0	7.3                    	88                      	2.4     	269                	-72.104355	-39.307561   	466    	466         	343.809   	270.663   	5.5     	8.3           	5.4  	69.4     	098     	213    	1.196474
39                      	962.4	7.3                    	88                      	2.5     	275                	-72.104321	-39.307571   	471    	471         	344.495   	270.501   	5.5     	8.3           	5.4  	69.1     	099     	219    	1.195735
40                      	961.7	7.3                    	89                      	2.7     	280                	-72.104287	-39.307580   	477    	477         	345.196   	270.338   	5.5     	8.3           	5.4  	68.9     	099     	225    	1.194997
41                      	961.1	7.3                    	89                      	2.8     	284                	-72.104253	-39.307589   	482    	482         	345.882   	270.176   	5.5     	8.3           	5.4  	68.7     	099     	231    	1.194259
42                      	960.5	7.2                    	89                      	2.9     	288                	-72.104219	-39.307598   	488    	487         	346.583   	270.014   	5.5     	8.2           	5.4  	68.5     	100     	237    	1.193521
43                      	959.9	7.2                    	89                      	3.1     	291                	-72.104185	-39.307607   	493    	493         	347.278   	269.861   	5.5     	8.2           	5.4  	68.3     	100     	243    	1.192826
44                      	959.3	7.2                    	89                      	3.2     	293                	-72.104151	-39.307617   	499    	498         	347.973   	269.708   	5.5     	8.2           	5.4  	68.1     	100     	250    	1.192130
45                      	958.7	7.2                    	89                      	3.3     	296                	-72.104117	-39.307626   	504    	504         	348.684   	269.556   	5.5     	8.2           	5.4  	67.9     	101     	256    	1.191435
46                      	958.1	7.2                    	89                      	3.4     	298                	-72.104078	-39.307651   	509    	509         	349.332   	269.403   	5.5     	8.2           	5.1  	67.5     	102     	262    	1.190741
47                      	957.5	7.2                    	89                      	3.6     	299                	-72.104032	-39.307694   	514    	514         	349.919   	269.252   	5.5     	8.2           	4.7  	66.9     	104     	268    	1.190056
48                      	956.9	7.2                    	89                      	3.7     	301                	-72.103986	-39.307736   	519    	518         	350.528   	269.108   	5.4     	8.2           	4.7  	66.4     	106     	275    	1.189403
49                      	956.3	7.1                    	89                      	3.8     	302                	-72.103940	-39.307779   	523    	523         	351.135   	268.977   	5.4     	8.1           	4.7  	65.8     	108     	281    	1.188808
50                      	955.8	7.1                    	89                      	3.9     	304                	-72.103895	-39.307822   	528    	528         	351.758   	268.846   	5.4     	8.1           	4.7  	65.2     	109     	288    	1.188214
51                      	955.2	7.1                    	89                      	4.1     	305                	-72.103849	-39.307864   	533    	532         	352.365   	268.715   	5.4     	8.1           	4.7  	64.7     	111     	294    	1.187620
52                      	954.7	7.1                    	89                      	4.2     	306                	-72.103803	-39.307907   	538    	537         	352.972   	268.585   	5.4     	8.1           	4.7  	64.1     	112     	301    	1.187026
53                      	954.1	7.1                    	89                      	4.3     	307                	-72.103758	-39.307950   	542    	542         	353.595   	268.454   	5.4     	8.1           	4.7  	63.6     	113     	307    	1.186433
54                      	953.6	7.0                    	89                      	4.5     	307                	-72.103712	-39.307992   	547    	547         	354.202   	268.323   	5.3     	8.0           	4.7  	63.1     	114     	314    	1.185840
55                      	953.0	7.0                    	89                      	4.6     	308                	-72.103666	-39.308035   	552    	551         	354.825   	268.193   	5.3     	8.0           	4.7  	62.6     	115     	321    	1.185247
56                      	952.5	7.0                    	89                      	4.7     	309                	-72.103620	-39.308078   	557    	556         	355.433   	268.062   	5.3     	8.0           	4.7  	62.1     	116     	328    	1.184654
57                      	951.9	7.0                    	89                      	4.8     	310                	-72.103575	-39.308120   	561    	561         	356.056   	267.932   	5.3     	8.0           	4.7  	61.6     	117     	334    	1.184062
58                      	951.4	7.0                    	89                      	5.0     	310                	-72.103529	-39.308163   	566    	566         	356.664   	267.802   	5.3     	7.9           	4.7  	61.2     	118     	341    	1.183470
59                      	950.8	6.9                    	89                      	5.1     	311                	-72.103483	-39.308206   	571    	570         	357.287   	267.671   	5.2     	7.9           	4.7  	60.7     	119     	348    	1.182878
60                      	950.3	6.9                    	89                      	5.2     	311                	-72.103437	-39.308248   	576    	575         	357.895   	267.541   	5.2     	7.9           	4.7  	60.3     	120     	355    	1.182287
61                      	949.7	6.9                    	89                      	5.3     	312                	-72.103392	-39.308291   	580    	580         	358.517   	267.426   	5.2     	7.9           	4.7  	59.9     	120     	362    	1.181756
62                      	949.2	6.8                    	89                      	5.3     	312                	-72.103346	-39.308334   	585    	585         	359.159   	267.314   	5.2     	7.8           	4.7  	59.4     	121     	369    	1.181244
63                      	948.6	6.8                    	89                      	5.4     	312                	-72.103300	-39.308377   	590    	589         	359.785   	267.203   	5.1     	7.8           	4.7  	59.0     	121     	376    	1.180732
64                      	948.1	6.8                    	89                      	5.4     	313                	-72.103255	-39.308419   	595    	594         	360.428   	267.091   	5.1     	7.7           	4.7  	58.7     	122     	383    	1.180220
65                      	947.6	6.7                    	89                      	5.5     	313                	-72.103209	-39.308462   	599    	599         	361.054   	266.980   	5.1     	7.7           	4.7  	58.3     	123     	390    	1.179708
66                      	947.0	6.7                    	89                      	5.5     	313                	-72.103163	-39.308505   	604    	604         	361.696   	266.868   	5.0     	7.7           	4.7  	57.9     	123     	398    	1.179196
67                      	946.5	6.6                    	89                      	5.5     	314                	-72.103117	-39.308547   	609    	608         	362.323   	266.757   	5.0     	7.6           	4.7  	57.6     	124     	405    	1.178685
68                      	945.9	6.6                    	89                      	5.6     	314                	-72.103072	-39.308590   	614    	613         	362.965   	266.646   	5.0     	7.6           	4.7  	57.2     	124     	412    	1.178173
69                      	945.4	6.6                    	89                      	5.6     	315                	-72.103026	-39.308633   	618    	618         	363.592   	266.534   	4.9     	7.5           	4.7  	56.9     	124     	419    	1.177662
70                      	944.8	6.5                    	89                      	5.7     	315                	-72.102980	-39.308675   	623    	623         	364.218   	266.423   	4.9     	7.5           	4.7  	56.6     	125     	426    	1.177151
71                      	944.3	6.5                    	89                      	5.7     	315                	-72.102935	-39.308718   	628    	627         	364.861   	266.312   	4.8     	7.4           	4.7  	56.3     	125     	434    	1.176640
72                      	943.7	6.4                    	89                      	5.8     	316                	-72.102889	-39.308761   	632    	632         	365.488   	266.201   	4.8     	7.4           	4.7  	56.0     	126     	441    	1.176130
73                      	943.2	6.4                    	89                      	5.8     	316                	-72.102843	-39.308803   	637    	637         	366.128   	266.088   	4.8     	7.4           	4.7  	55.7     	126     	448    	1.175610
74                      	942.6	6.4                    	89                      	5.9     	316                	-72.102797	-39.308846   	642    	642         	366.755   	265.977   	4.7     	7.3           	4.7  	55.4     	126     	455    	1.175097
75                      	942.1	6.3                    	89                      	5.9     	316                	-72.102752	-39.308889   	647    	646         	367.400   	265.868   	4.7     	7.3           	4.7  	55.1     	127     	463    	1.174596
