Flight Information:
Launch Date:            	     	                       	Monday, 14 December 2020	     	                   	          	Launch Time: 	     	            	10:02:05  	          	        	End of Ascent:	     	         	00:40:36
Station name:           	     	                       	                        	     	                   	          	Serialnumber:	     	            	20027703
Ground values:
Pressure:               	     	                       	985.1 hPa               	     	                   	          	Temperature: 	     	            	8.9 °C    	          	        	Humidity:     	     	         	94 %
Wind Direction:         	     	                       	235 °                   	     	                   	          	Wind Speed:  	     	            	1 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-72.105 °               	     	                   	          	Latitude:    	     	            	-39.308 ° 	          	        	Altitude:     	     	         	267 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                        	     	                   	          	
Events:
Highest Point:          	     	                       	248.0 hPa               	     	                   	          	10614 m
Tropopauses:            	     	                       	                        	     	                   	          	             	     	            	
Max Winds:              	     	                       	1.: 480.1 hPa           	     	                   	          	             	     	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                      	Ws   	Wd                 	Long.     	Lat.         	Alt  	Geopot      	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range	D
[sec]                   	[hPa]	[°C]                   	[%]                     	[m/s]	[°]                	[°]       	[°]          	[m]  	[m]         	          	          	[°C]    	[°C]          	[m/s]	[°]      	[°]     	[m]  	[kg/m3]
0                       	985.1	8.9                    	94                      	0.7  	235                	-72.105079	-39.307521   	267  	267         	317.340   	275.437   	8.0     	10.1          	0.0  	39.3     	180     	0    	1.216949
1                       	984.4	8.8                    	94                      	0.9  	252                	-72.105038	-39.307560   	272  	272         	318.158   	275.391   	7.9     	9.9           	5.5  	44.7     	143     	8    	1.216676
2                       	983.8	8.7                    	95                      	1.1  	266                	-72.104997	-39.307598   	278  	278         	318.977   	275.346   	7.8     	9.8           	5.5  	44.7     	142     	16   	1.216403
3                       	983.1	8.5                    	95                      	1.2  	278                	-72.104956	-39.307637   	283  	283         	319.795   	275.301   	7.7     	9.7           	5.5  	44.7     	141     	24   	1.216131
4                       	982.5	8.4                    	95                      	1.4  	286                	-72.104915	-39.307676   	289  	289         	320.614   	275.256   	7.7     	9.5           	5.5  	44.7     	141     	32   	1.215859
5                       	981.8	8.3                    	95                      	1.6  	293                	-72.104874	-39.307714   	295  	294         	321.448   	275.212   	7.6     	9.4           	5.5  	44.8     	141     	40   	1.215587
6                       	981.2	8.2                    	96                      	1.8  	297                	-72.104833	-39.307753   	300  	300         	322.267   	275.167   	7.5     	9.3           	5.5  	44.8     	141     	47   	1.215316
7                       	980.5	8.1                    	96                      	2.0  	301                	-72.104792	-39.307792   	306  	305         	323.025   	275.061   	7.5     	9.2           	5.5  	44.8     	141     	55   	1.214780
8                       	979.9	8.1                    	96                      	2.2  	304                	-72.104750	-39.307830   	311  	311         	323.739   	274.912   	7.4     	9.2           	5.5  	44.7     	141     	63   	1.214121
9                       	979.2	8.0                    	96                      	2.3  	307                	-72.104709	-39.307869   	317  	316         	324.453   	274.762   	7.4     	9.1           	5.5  	44.7     	141     	71   	1.213463
10                      	978.6	8.0                    	96                      	2.5  	309                	-72.104668	-39.307908   	322  	322         	325.167   	274.613   	7.3     	9.1           	5.5  	44.7     	141     	79   	1.212804
11                      	977.9	8.0                    	95                      	2.7  	310                	-72.104627	-39.307946   	328  	327         	325.881   	274.464   	7.3     	9.1           	5.5  	44.7     	141     	87   	1.212147
12                      	977.3	7.9                    	95                      	2.9  	312                	-72.104586	-39.307985   	333  	333         	326.596   	274.315   	7.2     	9.0           	5.5  	44.7     	141     	94   	1.211489
13                      	976.6	7.9                    	95                      	3.1  	313                	-72.104545	-39.308023   	339  	338         	327.326   	274.166   	7.2     	9.0           	5.5  	44.8     	141     	102  	1.210832
14                      	976.0	7.9                    	95                      	3.2  	314                	-72.104504	-39.308062   	344  	344         	328.041   	274.017   	7.1     	9.0           	5.5  	44.7     	141     	110  	1.210176
15                      	975.3	7.8                    	95                      	3.4  	315                	-72.104463	-39.308101   	350  	349         	328.756   	273.868   	7.1     	8.9           	5.5  	44.7     	141     	118  	1.209520
16                      	974.7	7.8                    	95                      	3.6  	316                	-72.104408	-39.308160   	355  	355         	329.470   	273.720   	7.0     	8.9           	5.5  	43.9     	141     	128  	1.208865
17                      	974.0	7.7                    	95                      	3.8  	316                	-72.104353	-39.308219   	361  	360         	330.185   	273.571   	7.0     	8.8           	5.5  	43.3     	141     	137  	1.208210
18                      	973.4	7.7                    	95                      	4.0  	317                	-72.104298	-39.308278   	366  	366         	330.900   	273.423   	6.9     	8.8           	5.5  	42.7     	141     	147  	1.207555
19                      	972.8	7.7                    	95                      	4.2  	318                	-72.104243	-39.308337   	371  	371         	331.564   	273.285   	6.9     	8.8           	5.2  	42.0     	142     	156  	1.206950
20                      	972.2	7.6                    	95                      	4.3  	318                	-72.104188	-39.308396   	376  	376         	332.245   	273.150   	6.9     	8.7           	5.2  	41.5     	142     	166  	1.206341
21                      	971.6	7.6                    	95                      	4.5  	318                	-72.104133	-39.308455   	382  	381         	332.912   	273.017   	6.8     	8.7           	5.2  	41.0     	142     	175  	1.205729
22                      	971.0	7.6                    	95                      	4.7  	319                	-72.104078	-39.308514   	387  	386         	333.596   	272.884   	6.8     	8.7           	5.2  	40.6     	142     	185  	1.205118
23                      	970.3	7.5                    	95                      	4.9  	319                	-72.104023	-39.308573   	392  	392         	334.264   	272.751   	6.8     	8.6           	5.2  	40.2     	142     	194  	1.204507
24                      	969.7	7.5                    	95                      	5.1  	320                	-72.103968	-39.308631   	397  	397         	334.947   	272.618   	6.8     	8.6           	5.2  	39.8     	142     	204  	1.203896
25                      	969.1	7.5                    	95                      	5.2  	320                	-72.103913	-39.308690   	402  	402         	335.615   	272.486   	6.7     	8.6           	5.2  	39.5     	142     	213  	1.203285
26                      	968.5	7.4                    	95                      	5.4  	320                	-72.103858	-39.308749   	407  	407         	336.299   	272.353   	6.7     	8.5           	5.2  	39.2     	142     	223  	1.202675
27                      	967.9	7.4                    	95                      	5.6  	321                	-72.103804	-39.308808   	412  	412         	336.967   	272.220   	6.7     	8.5           	5.2  	38.9     	142     	232  	1.202065
