Flight Information:
Launch Date:            	     	                       	Monday, 14 December 2020	        	                   	          	Launch Time: 	       	            	13:02:05  	       	     	End of Ascent:	     	         	01:06:30
Station name:           	     	                       	                        	        	                   	          	Serialnumber:	       	            	20027766
Ground values:
Pressure:               	     	                       	984.7 hPa               	        	                   	          	Temperature: 	       	            	9.1 °C    	       	     	Humidity:     	     	         	98 %
Wind Direction:         	     	                       	297 °                   	        	                   	          	Wind Speed:  	       	            	1 m/s     	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-72.105 °               	        	                   	          	Latitude:    	       	            	-39.307 ° 	       	     	Altitude:     	     	         	258 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                        	        	                   	          	
Events:
Highest Point:          	     	                       	62.1 hPa                	        	                   	          	19578 m
Tropopauses:            	     	                       	1.: 104.9 hPa           	        	                   	          	             	       	            	
Max Winds:              	     	                       	1.: 284.8 hPa           	        	                   	          	             	       	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                      	Ws      	Wd                 	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                   	[%]                     	[m/s]   	[°]                	[°]       	[°]          	[m]    	[m]         	          	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	984.7	9.1                    	98                      	0.8     	297                	-72.105209	-39.307371   	258    	258         	315.774   	275.316	8.8  	10.3          	0.0  	39.3     	180     	0      	1.215593
1                       	984.2	9.0                    	98                      	0.8     	292                	-72.105186	-39.307372   	262    	262         	316.374   	275.240	8.8  	10.3          	4.3  	66.2     	104     	5      	1.215199
2                       	983.7	9.0                    	98                      	0.9     	287                	-72.105163	-39.307373   	266    	266         	316.989   	275.164	8.8  	10.2          	4.3  	66.1     	099     	10     	1.214806
3                       	983.2	8.9                    	99                      	0.9     	282                	-72.105140	-39.307374   	271    	271         	317.588   	275.088	8.7  	10.2          	4.3  	65.9     	097     	15     	1.214413
4                       	982.7	8.9                    	99                      	0.9     	277                	-72.105117	-39.307375   	275    	275         	318.187   	275.012	8.7  	10.1          	4.3  	65.8     	096     	19     	1.214020
5                       	982.1	8.8                    	99                      	1.0     	271                	-72.105094	-39.307376   	279    	279         	318.803   	274.937	8.7  	10.0          	4.3  	65.8     	096     	24     	1.213627
6                       	981.6	8.8                    	99                      	1.0     	266                	-72.105071	-39.307377   	284    	284         	319.402   	274.861	8.7  	10.0          	4.3  	65.7     	095     	29     	1.213235
7                       	981.1	8.7                    	99                      	1.1     	260                	-72.105049	-39.307378   	288    	288         	319.990   	274.774	8.6  	9.9           	4.3  	65.7     	095     	34     	1.212791
8                       	980.6	8.7                    	100                     	1.1     	255                	-72.105026	-39.307379   	292    	292         	320.565   	274.674	8.6  	9.9           	4.3  	65.6     	095     	38     	1.212322
9                       	980.1	8.6                    	100                     	1.1     	250                	-72.105003	-39.307380   	297    	297         	321.151   	274.569	8.6  	9.9           	4.3  	65.7     	095     	43     	1.211854
10                      	979.6	8.6                    	99                      	1.2     	246                	-72.104980	-39.307381   	301    	301         	321.722   	274.465	8.5  	9.8           	4.3  	65.6     	094     	48     	1.211386
11                      	979.1	8.6                    	99                      	1.2     	242                	-72.104957	-39.307382   	305    	305         	322.292   	274.360	8.5  	9.8           	4.3  	65.6     	094     	53     	1.210918
12                      	978.6	8.5                    	99                      	1.2     	238                	-72.104934	-39.307383   	310    	310         	322.879   	274.256	8.4  	9.7           	4.3  	65.6     	094     	57     	1.210451
