Flight Information:
Launch Date:            	     	                       	Sunday, 13 December 2020	     	                    	             	Launch Time: 	       	            	19:02:03  	       	     	End of Ascent:	     	         	00:34:33
Station name:           	     	                       	                        	     	                    	             	Serialnumber:	       	            	20028120
Ground values:
Pressure:               	     	                       	991.1 hPa               	     	                    	             	Temperature: 	       	            	15.5 °C   	       	     	Humidity:     	     	         	57 %
Wind Direction:         	     	                       	37 °                    	     	                    	             	Wind Speed:  	       	            	1 m/s     	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-72.105 °               	     	                    	             	Latitude:    	       	            	-39.307 ° 	       	     	Altitude:     	     	         	265 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                        	     	                    	             	
Events:
Highest Point:          	     	                       	308.1 hPa               	     	                    	             	25249 m
Tropopauses:            	     	                       	                        	     	                    	             	             	       	            	
Max Winds:              	     	                       	                        	     	                    	             	             	       	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                      	Ws   	Wd                  	Long.        	Lat.         	Alt    	Geopot      	MRI       	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                   	[%]                     	[m/s]	[°]                 	[°]          	[°]          	[m]    	[m]         	          	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	991.1	15.5                   	57                      	0.5  	037                 	-72.105209   	-39.307464   	265    	265         	310.555   	268.997	7.0  	16.6          	0.0  	39.3     	180     	0      	1.196366
1                       	990.4	15.4                   	56                      	0.6  	030                 	-72.105196   	-39.307501   	270    	270         	311.305   	268.852	6.7  	16.5          	5.7  	52.2     	167     	8      	1.195935
2                       	989.8	15.3                   	55                      	0.7  	025                 	-72.105184   	-39.307539   	276    	276         	312.070   	268.707	6.3  	16.4          	5.7  	52.8     	167     	15     	1.195505
3                       	989.1	15.2                   	54                      	0.8  	021                 	-72.105172   	-39.307576   	282    	282         	312.820   	268.562	5.9  	16.3          	5.7  	52.9     	166     	22     	1.195076
4                       	988.4	15.1                   	52                      	0.8  	017                 	-72.105160   	-39.307614   	288    	288         	313.570   	268.417	5.5  	16.1          	5.7  	52.9     	166     	29     	1.194646
5                       	987.8	15.0                   	51                      	0.9  	014                 	-72.105148   	-39.307651   	293    	293         	314.320   	268.272	5.1  	16.0          	5.7  	52.9     	166     	36     	1.194217
6                       	987.1	15.0                   	50                      	1.0  	012                 	-72.105136   	-39.307689   	299    	299         	315.086   	268.127	4.7  	15.9          	5.7  	53.0     	166     	43     	1.193788
7                       	986.4	14.8                   	49                      	1.1  	010                 	-72.105124   	-39.307726   	305    	305         	315.866   	268.012	4.3  	15.7          	5.7  	53.0     	166     	51     	1.193493
8                       	985.8	14.7                   	49                      	1.2  	008                 	-72.105112   	-39.307764   	311    	310         	316.713   	267.965	4.2  	15.6          	5.7  	53.0     	166     	58     	1.193254
9                       	985.1	14.6                   	49                      	1.3  	007                 	-72.105100   	-39.307802   	316    	316         	317.566   	267.923	4.1  	15.5          	5.7  	53.0     	166     	65     	1.193015
10                      	984.4	14.4                   	50                      	1.3  	006                 	-72.105088   	-39.307839   	322    	322         	318.435   	267.881	4.0  	15.3          	5.7  	53.0     	166     	72     	1.192776
11                      	983.8	14.3                   	50                      	1.4  	004                 	-72.105076   	-39.307877   	328    	328         	319.289   	267.840	4.0  	15.2          	5.7  	53.0     	166     	79     	1.192538
