Flight Information:
Launch Date:            	     	                       	Monday, 14 December 2020	        	                       	          	Launch Time: 	       	            	20:32:04  	       	     	End of Ascent:	     	         	01:35:30
Station name:           	     	                       	                        	        	                       	          	Serialnumber:	       	            	20027659
Ground values:
Pressure:               	     	                       	984.8 hPa               	        	                       	          	Temperature: 	       	            	15.4 °C   	       	     	Humidity:     	     	         	74 %
Wind Direction:         	     	                       	135 °                   	        	                       	          	Wind Speed:  	       	            	0 m/s     	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-72.105 °               	        	                       	          	Latitude:    	       	            	-39.307 ° 	       	     	Altitude:     	     	         	265 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                        	        	                       	          	
Events:
Highest Point:          	     	                       	7.8 hPa                 	        	                       	          	32884 m
Tropopauses:            	     	                       	1.: 208.3 hPa           	        	                       	          	2.: 85.9 hPa 	       	            	
Max Winds:              	     	                       	1.: 275.7 hPa           	        	                       	          	             	       	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                      	Ws      	Wd                     	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                   	[%]                     	[m/s]   	[°]                    	[°]       	[°]          	[m]    	[m]         	          	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	984.8	15.4                   	74                      	0.4     	135                    	-72.105104	-39.307405   	265    	265         	309.685   	268.158	10.8 	16.8          	0.0  	39.3     	180     	0      	1.189173
1                       	984.1	15.5                   	73                      	0.6     	159                    	-72.105052	-39.307390   	271    	271         	310.310   	267.779	10.6 	16.9          	6.4  	54.8     	073     	8      	1.187755
2                       	983.3	15.7                   	71                      	0.7     	178                    	-72.104999	-39.307374   	277    	277         	310.937   	267.401	10.5 	17.1          	6.4  	53.9     	071     	16     	1.186339
3                       	982.6	15.8                   	70                      	0.9     	191                    	-72.104947	-39.307358   	284    	284         	311.579   	267.023	10.3 	17.2          	6.4  	53.7     	070     	24     	1.184925
4                       	981.8	15.9                   	69                      	1.0     	199                    	-72.104894	-39.307343   	290    	290         	312.207   	266.645	10.2 	17.3          	6.4  	53.5     	070     	32     	1.183513
5                       	981.1	16.0                   	67                      	1.2     	205                    	-72.104842	-39.307327   	297    	297         	312.834   	266.268	10.0 	17.4          	6.4  	53.4     	070     	40     	1.182102
6                       	980.4	16.2                   	66                      	1.4     	209                    	-72.104790	-39.307312   	303    	303         	313.463   	265.892	9.8  	17.5          	6.4  	53.3     	070     	48     	1.180694
7                       	979.6	16.2                   	65                      	1.5     	212                    	-72.104737	-39.307296   	310    	309         	314.222   	265.631	9.5  	17.5          	6.4  	53.3     	070     	56     	1.179791
8                       	978.9	16.1                   	64                      	1.7     	214                    	-72.104685	-39.307280   	316    	316         	315.118   	265.521	9.3  	17.4          	6.4  	53.3     	070     	65     	1.179328
9                       	978.1	16.0                   	64                      	1.8     	216                    	-72.104632	-39.307265   	322    	322         	316.021   	265.419	9.2  	17.3          	6.4  	53.2     	069     	73     	1.178866
10                      	977.4	15.8                   	64                      	2.0     	218                    	-72.104580	-39.307249   	329    	329         	316.924   	265.318	9.1  	17.1          	6.4  	53.2     	069     	81     	1.178405
11                      	976.7	15.7                   	64                      	2.2     	219                    	-72.104528	-39.307234   	335    	335         	317.827   	265.216	9.0  	17.0          	6.4  	53.2     	069     	89     	1.177943
12                      	975.9	15.6                   	64                      	2.3     	220                    	-72.104475	-39.307218   	342    	341         	318.745   	265.114	8.9  	16.9          	6.4  	53.2     	069     	97     	1.177482
13                      	975.2	15.5                   	64                      	2.5     	221                    	-72.104423	-39.307202   	348    	348         	319.643   	265.007	8.8  	16.8          	6.4  	53.2     	069     	105    	1.176995
14                      	974.4	15.4                   	64                      	2.6     	221                    	-72.104370	-39.307187   	354    	354         	320.540   	264.899	8.7  	16.7          	6.4  	53.1     	069     	113    	1.176509
15                      	973.7	15.3                   	64                      	2.8     	222                    	-72.104318	-39.307171   	361    	361         	321.438   	264.792	8.6  	16.6          	6.4  	53.1     	069     	121    	1.176022
16                      	972.9	15.2                   	64                      	3.0     	222                    	-72.104274	-39.307139   	367    	367         	322.351   	264.685	8.5  	16.5          	6.4  	53.1     	068     	129    	1.175536
17                      	972.1	15.1                   	64                      	3.1     	223                    	-72.104230	-39.307106   	374    	374         	323.327   	264.578	8.4  	16.4          	6.9  	53.2     	066     	137    	1.175050
