Flight Information:
Launch Date:            	     	                       	Monday, 14 December 2020	        	                       	          	Launch Time: 	       	            	21:32:08  	          	        	End of Ascent:	     	         	01:30:29
Station name:           	     	                       	                        	        	                       	          	Serialnumber:	       	            	20027516
Ground values:
Pressure:               	     	                       	984.5 hPa               	        	                       	          	Temperature: 	       	            	17.0 °C   	          	        	Humidity:     	     	         	64 %
Wind Direction:         	     	                       	34 °                    	        	                       	          	Wind Speed:  	       	            	1 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-72.105 °               	        	                       	          	Latitude:    	       	            	-39.307 ° 	          	        	Altitude:     	     	         	242 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                        	        	                       	          	
Events:
Highest Point:          	     	                       	11.4 hPa                	        	                       	          	31062 m
Tropopauses:            	     	                       	1.: 211.5 hPa           	        	                       	          	2.: 67.3 hPa 	       	            	
Max Winds:              	     	                       	1.: 251.7 hPa           	        	                       	          	             	       	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                      	Ws      	Wd                     	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                   	[%]                     	[m/s]   	[°]                    	[°]       	[°]          	[m]    	[m]         	          	          	[°C]    	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	984.5	17.0                   	64                      	0.6     	034                    	-72.104965	-39.307325   	242    	242         	304.195   	266.138   	10.2    	18.4          	0.0  	39.3     	180     	0      	1.182255
1                       	983.6	16.8                   	63                      	0.8     	012                    	-72.104895	-39.307367   	251    	251         	305.387   	266.043   	9.8     	18.1          	8.2  	47.3     	129     	12     	1.181962
2                       	982.6	16.6                   	62                      	1.0     	351                    	-72.104824	-39.307408   	259    	259         	306.579   	265.947   	9.4     	17.9          	8.2  	47.2     	128     	23     	1.181670
3                       	981.7	16.4                   	62                      	1.2     	335                    	-72.104753	-39.307449   	267    	267         	307.771   	265.852   	9.0     	17.7          	8.2  	47.1     	128     	34     	1.181378
4                       	980.7	16.2                   	61                      	1.4     	323                    	-72.104682	-39.307490   	275    	275         	308.963   	265.756   	8.6     	17.4          	8.2  	47.1     	127     	45     	1.181087
5                       	979.8	16.0                   	60                      	1.6     	316                    	-72.104612	-39.307532   	283    	283         	310.139   	265.661   	8.3     	17.2          	8.2  	47.0     	127     	56     	1.180796
6                       	978.8	15.8                   	59                      	1.8     	310                    	-72.104541	-39.307573   	292    	292         	311.331   	265.566   	7.9     	16.9          	8.2  	47.0     	127     	68     	1.180506
7                       	977.9	15.6                   	59                      	2.0     	306                    	-72.104470	-39.307614   	300    	300         	312.446   	265.393   	7.6     	16.8          	8.2  	47.0     	127     	79     	1.179875
8                       	977.0	15.6                   	58                      	2.2     	304                    	-72.104399	-39.307656   	308    	308         	313.535   	265.195   	7.5     	16.7          	8.2  	47.0     	127     	90     	1.179011
9                       	976.0	15.5                   	58                      	2.4     	301                    	-72.104329	-39.307697   	316    	316         	314.631   	265.003   	7.4     	16.7          	8.2  	47.0     	127     	101    	1.178148
10                      	975.1	15.4                   	58                      	2.6     	299                    	-72.104258	-39.307738   	324    	324         	315.726   	264.811   	7.3     	16.6          	8.2  	47.0     	127     	112    	1.177286
11                      	974.1	15.4                   	58                      	2.8     	298                    	-72.104187	-39.307779   	333    	332         	316.822   	264.619   	7.3     	16.5          	8.2  	47.0     	127     	124    	1.176424
12                      	973.2	15.3                   	58                      	3.0     	297                    	-72.104117	-39.307821   	341    	341         	317.917   	264.427   	7.2     	16.4          	8.2  	47.0     	127     	135    	1.175563
13                      	972.3	15.2                   	58                      	3.1     	296                    	-72.104046	-39.307862   	349    	349         	319.013   	264.236   	7.1     	16.4          	8.2  	47.0     	127     	146    	1.174701
14                      	971.3	15.2                   	58                      	3.3     	295                    	-72.103975	-39.307903   	357    	357         	320.108   	264.044   	7.1     	16.3          	8.2  	47.0     	127     	157    	1.173840
