Flight Information:
Launch Date:            	     	                       	Tuesday, 15 December 2020	        	                   	          	Launch Time: 	       	            	02:31:56  	       	     	End of Ascent:	     	         	01:48:01
Station name:           	     	                       	                         	        	                   	          	Serialnumber:	       	            	20027735
Ground values:
Pressure:               	     	                       	988.1 hPa                	        	                   	          	Temperature: 	       	            	11.1 °C   	       	     	Humidity:     	     	         	80 %
Wind Direction:         	     	                       	220 °                    	        	                   	          	Wind Speed:  	       	            	1 m/s     	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-72.105 °                	        	                   	          	Latitude:    	       	            	-39.307 ° 	       	     	Altitude:     	     	         	277 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                         	        	                   	          	
Events:
Highest Point:          	     	                       	7.9 hPa                  	        	                   	          	32875 m
Tropopauses:            	     	                       	1.: 210.4 hPa            	        	                   	          	             	       	            	
Max Winds:              	     	                       	1.: 256.5 hPa            	        	                   	          	2.: 9.8 hPa  	       	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                       	Ws      	Wd                 	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                   	[%]                      	[m/s]   	[°]                	[°]       	[°]          	[m]    	[m]         	          	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	988.1	11.1                   	80                       	0.7     	220                	-72.105197	-39.307460   	277    	277         	316.948   	273.444	7.8  	12.3          	0.0  	39.3     	180     	0      	1.211207
1                       	987.8	11.1                   	80                       	0.8     	229                	-72.105163	-39.307484   	280    	280         	317.341   	273.381	7.7  	12.2          	2.9  	37.4     	136     	5      	1.210973
2                       	987.4	11.0                   	79                       	0.9     	238                	-72.105129	-39.307507   	283    	283         	317.733   	273.318	7.6  	12.1          	2.9  	36.9     	134     	10     	1.210739
3                       	987.1	11.0                   	79                       	0.9     	247                	-72.105095	-39.307531   	286    	286         	318.142   	273.256	7.5  	12.1          	2.9  	37.1     	133     	15     	1.210505
4                       	986.7	10.9                   	79                       	1.0     	256                	-72.105061	-39.307555   	289    	289         	318.534   	273.193	7.4  	12.0          	2.9  	36.9     	133     	20     	1.210271
5                       	986.4	10.9                   	79                       	1.1     	264                	-72.105027	-39.307578   	292    	292         	318.927   	273.130	7.3  	12.0          	2.9  	36.8     	133     	25     	1.210038
6                       	986.0	10.8                   	78                       	1.2     	271                	-72.104993	-39.307602   	295    	295         	319.320   	273.068	7.3  	11.9          	2.9  	36.7     	133     	30     	1.209804
7                       	985.7	10.8                   	78                       	1.2     	278                	-72.104960	-39.307626   	298    	298         	319.701   	272.978	7.2  	11.9          	2.9  	36.8     	132     	35     	1.209453
8                       	985.3	10.8                   	78                       	1.3     	283                	-72.104926	-39.307649   	301    	300         	320.048   	272.869	7.1  	11.9          	2.9  	36.8     	132     	40     	1.209031
9                       	985.0	10.8                   	78                       	1.4     	288                	-72.104892	-39.307673   	303    	303         	320.395   	272.761	7.1  	11.9          	2.9  	36.7     	132     	44     	1.208610
10                      	984.7	10.8                   	77                       	1.5     	292                	-72.104858	-39.307697   	306    	306         	320.741   	272.652	7.0  	11.9          	2.9  	36.7     	132     	49     	1.208188
11                      	984.3	10.8                   	77                       	1.6     	295                	-72.104824	-39.307720   	309    	309         	321.088   	272.543	6.9  	11.9          	2.9  	36.7     	132     	54     	1.207767
12                      	984.0	10.8                   	77                       	1.6     	298                	-72.104790	-39.307744   	312    	312         	321.450   	272.435	6.9  	11.9          	2.9  	36.7     	132     	59     	1.207345
13                      	983.5	10.8                   	76                       	1.7     	300                	-72.104756	-39.307768   	315    	315         	321.766   	272.296	6.8  	11.9          	2.9  	36.7     	132     	64     	1.206788
14                      	983.1	10.8                   	76                       	1.8     	302                	-72.104722	-39.307791   	318    	318         	322.083   	272.157	6.8  	11.9          	2.9  	36.7     	132     	69     	1.206230
15                      	982.6	10.8                   	76                       	1.9     	304                	-72.104688	-39.307815   	321    	321         	322.399   	272.018	6.7  	11.9          	2.9  	36.7     	132     	74     	1.205673
16                      	982.2	10.8                   	75                       	1.9     	306                	-72.104659	-39.307842   	324    	324         	322.716   	271.879	6.6  	11.9          	2.9  	36.7     	133     	79     	1.205116
17                      	981.7	10.8                   	75                       	2.0     	307                	-72.104635	-39.307871   	329    	329         	323.425   	271.740	6.6  	11.9          	5.3  	38.1     	134     	85     	1.204559
18                      	981.3	10.8                   	75                       	2.1     	309                	-72.104611	-39.307901   	335    	335         	324.243   	271.601	6.5  	11.9          	6.2  	39.6     	134     	92     	1.204003
19                      	980.5	10.8                   	74                       	2.2     	310                	-72.104587	-39.307931   	342    	341         	325.004   	271.388	6.5  	11.9          	6.2  	41.0     	135     	99     	1.203113
20                      	979.8	10.8                   	74                       	2.3     	311                	-72.104564	-39.307960   	348    	348         	325.807   	271.218	6.4  	11.8          	6.2  	42.2     	136     	106    	1.202379
21                      	979.1	10.7                   	74                       	2.3     	312                	-72.104540	-39.307990   	354    	354         	326.624   	271.077	6.3  	11.8          	6.2  	43.2     	136     	112    	1.201734
22                      	978.4	10.7                   	74                       	2.4     	313                	-72.104516	-39.308019   	360    	360         	327.457   	270.937	6.3  	11.7          	6.2  	44.1     	137     	119    	1.201090
23                      	977.6	10.6                   	74                       	2.5     	314                	-72.104492	-39.308049   	366    	366         	328.291   	270.797	6.2  	11.7          	6.2  	44.9     	137     	127    	1.200447
24                      	976.9	10.6                   	74                       	2.6     	314                	-72.104468	-39.308078   	372    	372         	329.124   	270.657	6.2  	11.6          	6.2  	45.7     	138     	134    	1.199804
25                      	976.2	10.5                   	74                       	2.7     	315                	-72.104444	-39.308108   	379    	378         	329.941   	270.517	6.1  	11.5          	6.2  	46.3     	138     	141    	1.199160
26                      	975.5	10.4                   	74                       	2.7     	316                	-72.104420	-39.308137   	385    	384         	330.775   	270.377	6.1  	11.5          	6.2  	46.9     	138     	148    	1.198516
27                      	974.7	10.4                   	74                       	2.8     	316                	-72.104396	-39.308167   	391    	391         	331.608   	270.237	6.1  	11.4          	6.2  	47.4     	139     	155    	1.197873
28                      	974.0	10.3                   	75                       	2.9     	317                	-72.104372	-39.308196   	397    	397         	332.426   	270.097	6.0  	11.4          	6.2  	47.9     	139     	162    	1.197231
29                      	973.3	10.3                   	75                       	2.9     	317                	-72.104348	-39.308226   	403    	403         	333.260   	269.957	6.0  	11.3          	6.2  	48.3     	139     	169    	1.196588
