Flight Information:
Launch Date:            	     	                       	Tuesday, 15 December 2020	        	                       	          	Launch Time: 	       	            	05:32:03  	       	     	End of Ascent:	     	         	02:24:00
Station name:           	     	                       	                         	        	                       	          	Serialnumber:	       	            	20028068
Ground values:
Pressure:               	     	                       	988.8 hPa                	        	                       	          	Temperature: 	       	            	7.8 °C    	       	     	Humidity:     	     	         	94 %
Wind Direction:         	     	                       	0 °                      	        	                       	          	Wind Speed:  	       	            	0 m/s     	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-72.105 °                	        	                       	          	Latitude:    	       	            	-39.307 ° 	       	     	Altitude:     	     	         	271 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                         	        	                       	          	
Events:
Highest Point:          	     	                       	4.6 hPa                  	        	                       	          	36657 m
Tropopauses:            	     	                       	1.: 176.3 hPa            	        	                       	          	2.: 56.3 hPa 	       	            	
Max Winds:              	     	                       	1.: 265.5 hPa            	        	                       	          	             	       	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                       	Ws      	Wd                     	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                   	[%]                      	[m/s]   	[°]                    	[°]       	[°]          	[m]    	[m]         	          	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	988.8	7.8                    	94                       	0.0     	000                    	-72.105085	-39.307420   	271    	271         	320.023   	277.554	6.9  	8.9           	0.0  	39.3     	180     	0      	1.226302
1                       	988.3	7.9                    	93                       	0.1     	266                    	-72.105043	-39.307434   	275    	275         	320.406   	277.247	6.8  	9.0           	4.4  	49.0     	118     	6      	1.225206
2                       	987.8	8.0                    	91                       	0.2     	266                    	-72.105001	-39.307448   	279    	279         	320.774   	276.940	6.7  	9.1           	4.4  	48.4     	116     	12     	1.224112
3                       	987.2	8.1                    	90                       	0.4     	266                    	-72.104959	-39.307462   	284    	284         	321.159   	276.633	6.6  	9.2           	4.4  	48.4     	115     	18     	1.223018
4                       	986.7	8.2                    	89                       	0.5     	266                    	-72.104918	-39.307476   	288    	288         	321.527   	276.327	6.5  	9.3           	4.4  	48.2     	114     	24     	1.221926
5                       	986.2	8.3                    	88                       	0.6     	266                    	-72.104876	-39.307490   	292    	292         	321.912   	276.021	6.4  	9.4           	4.4  	48.2     	114     	30     	1.220834
6                       	985.7	8.4                    	86                       	0.7     	266                    	-72.104834	-39.307504   	297    	297         	322.282   	275.716	6.3  	9.5           	4.4  	48.1     	114     	35     	1.219744
7                       	985.2	8.5                    	85                       	0.8     	266                    	-72.104792	-39.307517   	301    	301         	322.693   	275.436	6.2  	9.5           	4.4  	48.1     	114     	41     	1.218766
8                       	984.7	8.5                    	85                       	0.9     	266                    	-72.104750	-39.307531   	305    	305         	323.167   	275.235	6.1  	9.6           	4.4  	48.1     	114     	47     	1.217987
