Flight Information:
Launch Date:            	     	                       	Tuesday, 15 December 2020	        	                   	          	Launch Time: 	       	            	09:32:00  	          	        	End of Ascent:	     	         	02:05:37
Station name:           	     	                       	                         	        	                   	          	Serialnumber:	       	            	20027724
Ground values:
Pressure:               	     	                       	988.2 hPa                	        	                   	          	Temperature: 	       	            	5.3 °C    	          	        	Humidity:     	     	         	99 %
Wind Direction:         	     	                       	0 °                      	        	                   	          	Wind Speed:  	       	            	0 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-72.105 °                	        	                   	          	Latitude:    	       	            	-39.307 ° 	          	        	Altitude:     	     	         	277 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                         	        	                   	          	
Events:
Highest Point:          	     	                       	7.5 hPa                  	        	                   	          	35088 m
Tropopauses:            	     	                       	1.: 181.5 hPa            	        	                   	          	             	       	            	
Max Winds:              	     	                       	1.: 180.9 hPa            	        	                   	          	             	       	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                       	Ws      	Wd                 	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                   	[%]                      	[m/s]   	[°]                	[°]       	[°]          	[m]    	[m]         	          	          	[°C]    	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	988.2	5.3                    	99                       	0.0     	000                	-72.104832	-39.307424   	277    	277         	323.602   	280.160   	5.2     	6.2           	0.0  	39.3     	180     	0      	1.236562
1                       	987.8	5.4                    	98                       	0.0     	142                	-72.104842	-39.307426   	280    	280         	323.794   	279.850   	5.1     	6.4           	3.2  	73.3     	234     	4      	1.235471
2                       	987.4	5.6                    	96                       	0.1     	142                	-72.104852	-39.307429   	283    	283         	324.003   	279.541   	5.0     	6.5           	3.2  	74.3     	243     	7      	1.234382
3                       	987.0	5.7                    	95                       	0.1     	142                	-72.104861	-39.307431   	286    	286         	324.196   	279.232   	5.0     	6.6           	3.2  	74.4     	246     	10     	1.233295
4                       	986.6	5.8                    	94                       	0.1     	142                	-72.104871	-39.307433   	290    	290         	324.390   	278.923   	4.9     	6.8           	3.2  	74.5     	248     	14     	1.232208
5                       	986.3	6.0                    	93                       	0.2     	142                	-72.104881	-39.307435   	293    	293         	324.600   	278.615   	4.9     	6.9           	3.2  	74.6     	249     	17     	1.231123
6                       	985.9	6.1                    	91                       	0.2     	142                	-72.104891	-39.307438   	296    	296         	324.795   	278.307   	4.8     	7.0           	3.2  	74.6     	250     	20     	1.230039
7                       	985.5	6.2                    	90                       	0.3     	142                	-72.104901	-39.307440   	299    	299         	325.054   	278.048   	4.7     	7.1           	3.2  	74.6     	250     	24     	1.229160
8                       	985.1	6.3                    	90                       	0.3     	142                	-72.104911	-39.307442   	303    	303         	325.368   	277.860   	4.7     	7.2           	3.2  	74.6     	251     	27     	1.228371
9                       	984.7	6.3                    	90                       	0.3     	142                	-72.104921	-39.307444   	306    	306         	325.683   	277.672   	4.8     	7.3           	3.2  	74.6     	251     	30     	1.227582
10                      	984.3	6.4                    	89                       	0.4     	142                	-72.104931	-39.307447   	309    	309         	326.013   	277.485   	4.8     	7.3           	3.2  	74.6     	251     	34     	1.226794
11                      	983.9	6.5                    	89                       	0.4     	142                	-72.104940	-39.307449   	312    	312         	326.328   	277.297   	4.8     	7.4           	3.2  	74.6     	252     	37     	1.226006
12                      	983.5	6.6                    	89                       	0.4     	142                	-72.104950	-39.307451   	316    	315         	326.643   	277.110   	4.9     	7.5           	3.2  	74.6     	252     	41     	1.225219
13                      	983.1	6.6                    	89                       	0.5     	142                	-72.104960	-39.307453   	319    	319         	326.962   	276.911   	4.9     	7.6           	3.2  	74.6     	252     	44     	1.224378
14                      	982.7	6.7                    	88                       	0.5     	142                	-72.104970	-39.307456   	322    	322         	327.266   	276.712   	4.9     	7.6           	3.2  	74.6     	252     	47     	1.223538
15                      	982.3	6.8                    	88                       	0.6     	142                	-72.104981	-39.307457   	325    	325         	327.569   	276.513   	5.0     	7.7           	3.2  	74.6     	253     	51     	1.222699
16                      	981.8	6.8                    	88                       	0.6     	142                	-72.104995	-39.307455   	329    	328         	327.889   	276.314   	5.0     	7.8           	3.2  	74.4     	255     	54     	1.221861
17                      	981.4	6.9                    	88                       	0.6     	142                	-72.105009	-39.307453   	333    	333         	328.349   	276.115   	5.0     	7.8           	4.2  	74.4     	257     	58     	1.221023
