Flight Information:
Launch Date:            	     	                       	Tuesday, 15 December 2020	     	                   	          	Launch Time: 	       	            	13:32:07  	       	     	End of Ascent:	     	         	01:43:28
Station name:           	     	                       	                         	     	                   	          	Serialnumber:	       	            	20027468
Ground values:
Pressure:               	     	                       	988.4 hPa                	     	                   	          	Temperature: 	       	            	10.9 °C   	       	     	Humidity:     	     	         	76 %
Wind Direction:         	     	                       	37 °                     	     	                   	          	Wind Speed:  	       	            	0 m/s     	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-72.105 °                	     	                   	          	Latitude:    	       	            	-39.308 ° 	       	     	Altitude:     	     	         	276 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                         	     	                   	          	
Events:
Highest Point:          	     	                       	9.0 hPa                  	     	                   	          	31859 m
Tropopauses:            	     	                       	1.: 184.7 hPa            	     	                   	          	             	       	            	
Max Winds:              	     	                       	1.: 176.0 hPa            	     	                   	          	             	       	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                       	Ws   	Wd                 	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                   	[%]                      	[m/s]	[°]                	[°]       	[°]          	[m]    	[m]         	          	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	988.4	10.9                   	76                       	0.4  	037                	-72.105009	-39.307516   	276    	276         	316.868   	273.536	6.8  	12.0          	0.0  	39.3     	180     	0      	1.212428
1                       	987.8	10.8                   	74                       	0.5  	026                	-72.104979	-39.307541   	281    	281         	317.580   	273.416	6.4  	11.8          	5.3  	54.1     	141     	7      	1.212195
2                       	987.2	10.7                   	73                       	0.6  	016                	-72.104950	-39.307566   	287    	287         	318.276   	273.296	6.0  	11.7          	5.3  	54.1     	140     	13     	1.211961
3                       	986.5	10.5                   	71                       	0.6  	008                	-72.104921	-39.307592   	292    	292         	318.988   	273.175	5.6  	11.5          	5.3  	54.2     	139     	20     	1.211728
4                       	985.9	10.4                   	70                       	0.7  	001                	-72.104891	-39.307617   	297    	297         	319.684   	273.055	5.2  	11.4          	5.3  	54.2     	139     	26     	1.211495
5                       	985.3	10.3                   	68                       	0.8  	356                	-72.104862	-39.307642   	302    	302         	320.396   	272.935	4.7  	11.2          	5.3  	54.3     	139     	33     	1.211263
6                       	984.7	10.2                   	67                       	0.9  	352                	-72.104833	-39.307667   	308    	308         	321.092   	272.814	4.3  	11.1          	5.3  	54.2     	138     	39     	1.211030
7                       	984.1	10.1                   	65                       	0.9  	348                	-72.104803	-39.307692   	313    	313         	321.777   	272.667	3.9  	10.9          	5.3  	54.3     	138     	46     	1.210681
8                       	983.4	10.0                   	65                       	1.0  	345                	-72.104774	-39.307718   	318    	318         	322.462   	272.536	3.7  	10.9          	5.3  	54.3     	138     	52     	1.210165
9                       	982.8	9.9                    	65                       	1.1  	343                	-72.104745	-39.307743   	323    	323         	323.189   	272.431	3.7  	10.8          	5.3  	54.3     	138     	59     	1.209649
10                      	982.2	9.9                    	65                       	1.2  	341                	-72.104715	-39.307768   	329    	328         	323.915   	272.325	3.7  	10.8          	5.3  	54.3     	138     	65     	1.209133
11                      	981.6	9.8                    	65                       	1.2  	339                	-72.104686	-39.307793   	334    	334         	324.626   	272.219	3.7  	10.7          	5.3  	54.3     	138     	72     	1.208618
12                      	981.0	9.8                    	66                       	1.3  	338                	-72.104657	-39.307818   	339    	339         	325.353   	272.114	3.6  	10.6          	5.3  	54.3     	138     	78     	1.208103
13                      	980.3	9.7                    	66                       	1.4  	336                	-72.104627	-39.307844   	344    	344         	326.065   	272.010	3.6  	10.6          	5.3  	54.3     	138     	84     	1.207594
14                      	979.7	9.7                    	66                       	1.5  	335                	-72.104598	-39.307869   	350    	349         	326.793   	271.906	3.6  	10.5          	5.3  	54.3     	138     	91     	1.207085
15                      	979.1	9.6                    	66                       	1.5  	334                	-72.104575	-39.307892   	355    	355         	327.505   	271.801	3.6  	10.5          	5.3  	54.6     	138     	97     	1.206576
16                      	978.5	9.5                    	66                       	1.6  	333                	-72.104568	-39.307910   	360    	360         	328.233   	271.697	3.6  	10.4          	5.3  	55.4     	139     	103    	1.206068
