Flight Information:
Launch Date:            	     	                       	Sunday, 13 December 2020	     	                        	          	Launch Time: 	       	            	20:02:43    	       	     	End of Ascent:	     	         	01:30:25
Station name:           	     	                       	                        	     	                        	          	Serialnumber:	       	            	20027755
Ground values:
Pressure:               	     	                       	990.1 hPa               	     	                        	          	Temperature: 	       	            	17.0 °C     	       	     	Humidity:     	     	         	58 %
Wind Direction:         	     	                       	340 °                   	     	                        	          	Wind Speed:  	       	            	1 m/s       	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-72.105 °               	     	                        	          	Latitude:    	       	            	-39.307 °   	       	     	Altitude:     	     	         	275 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                        	     	                        	          	
Events:
Highest Point:          	     	                       	7.9 hPa                 	     	                        	          	32854 m
Tropopauses:            	     	                       	1.: 186.3 hPa           	     	                        	          	2.: 106.8 hPa	       	            	3.: 72.6 hPa
Max Winds:              	     	                       	1.: 183.2 hPa           	     	                        	          	2.: 9.0 hPa  	       	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                      	Ws   	Wd                      	Long.     	Lat.         	Alt    	Geopot      	MRI         	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                   	[%]                     	[m/s]	[°]                     	[°]       	[°]          	[m]    	[m]         	            	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	990.1	17.0                   	58                      	1.0  	340                     	-72.105162	-39.307455   	275    	275         	310.466     	267.370	8.7  	18.2          	0.0  	39.3     	180     	0      	1.188980
1                       	989.5	16.8                   	57                      	1.1  	342                     	-72.105156	-39.307482   	280    	280         	311.234     	267.337	8.3  	18.0          	5.1  	57.3     	172     	6      	1.189015
2                       	988.9	16.6                   	56                      	1.1  	344                     	-72.105151	-39.307510   	285    	285         	311.985     	267.303	7.8  	17.8          	5.1  	57.7     	172     	12     	1.189050
3                       	988.3	16.5                   	55                      	1.2  	346                     	-72.105145	-39.307538   	290    	290         	312.753     	267.270	7.4  	17.6          	5.1  	58.0     	172     	18     	1.189086
4                       	987.8	16.3                   	54                      	1.3  	348                     	-72.105140	-39.307566   	295    	295         	313.504     	267.236	7.0  	17.4          	5.1  	58.0     	172     	24     	1.189123
5                       	987.2	16.1                   	53                      	1.3  	349                     	-72.105135	-39.307593   	300    	300         	314.272     	267.203	6.5  	17.2          	5.1  	58.1     	172     	30     	1.189159
6                       	986.6	15.9                   	52                      	1.4  	350                     	-72.105129	-39.307621   	305    	305         	315.039     	267.170	6.1  	17.0          	5.1  	58.2     	172     	36     	1.189197
7                       	986.0	15.8                   	51                      	1.5  	351                     	-72.105124	-39.307649   	310    	310         	315.729     	267.075	5.7  	16.8          	5.1  	58.2     	172     	42     	1.188961
8                       	985.4	15.7                   	51                      	1.6  	353                     	-72.105119	-39.307676   	315    	315         	316.436     	266.981	5.5  	16.7          	5.1  	58.3     	172     	48     	1.188610
