Flight Information:
Launch Date:            	     	                       	Tuesday, 15 December 2020	     	                        	          	Launch Time: 	     	            	16:32:04  	          	        	End of Ascent:	     	         	01:32:29
Station name:           	     	                       	                         	     	                        	          	Serialnumber:	     	            	20027435
Ground values:
Pressure:               	     	                       	987.4 hPa                	     	                        	          	Temperature: 	     	            	15.4 °C   	          	        	Humidity:     	     	         	58 %
Wind Direction:         	     	                       	6 °                      	     	                        	          	Wind Speed:  	     	            	1 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-72.105 °                	     	                        	          	Latitude:    	     	            	-39.308 ° 	          	        	Altitude:     	     	         	276 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                         	     	                        	          	
Events:
Highest Point:          	     	                       	9.6 hPa                  	     	                        	          	31464 m
Tropopauses:            	     	                       	1.: 196.3 hPa            	     	                        	          	2.: 112.7 hPa	     	            	
Max Winds:              	     	                       	1.: 251.1 hPa            	     	                        	          	             	     	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                       	Ws   	Wd                      	Long.     	Lat.         	Alt  	Geopot      	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range	D
[sec]                   	[hPa]	[°C]                   	[%]                      	[m/s]	[°]                     	[°]       	[°]          	[m]  	[m]         	          	          	[°C]    	[°C]          	[m/s]	[°]      	[°]     	[m]  	[kg/m3]
0                       	987.4	15.4                   	58                       	0.9  	006                     	-72.105091	-39.307707   	276  	276         	311.473   	268.141   	7.2     	16.5          	0.0  	39.3     	180     	0    	1.192313
1                       	986.9	15.4                   	57                       	1.0  	358                     	-72.105040	-39.307711   	280  	280         	311.982   	267.975   	6.8     	16.5          	4.3  	45.9     	100     	6    	1.191838
2                       	986.4	15.3                   	55                       	1.1  	350                     	-72.104989	-39.307714   	285  	285         	312.476   	267.810   	6.5     	16.4          	4.3  	44.8     	098     	12   	1.191364
3                       	985.9	15.3                   	54                       	1.2  	342                     	-72.104938	-39.307718   	289  	289         	312.986   	267.645   	6.1     	16.4          	4.3  	44.7     	097     	19   	1.190889
4                       	985.4	15.3                   	53                       	1.3  	335                     	-72.104887	-39.307722   	293  	293         	313.496   	267.479   	5.7     	16.3          	4.3  	44.6     	097     	25   	1.190415
5                       	984.9	15.3                   	51                       	1.4  	329                     	-72.104837	-39.307726   	297  	297         	313.990   	267.314   	5.3     	16.2          	4.3  	44.4     	097     	31   	1.189941
6                       	984.4	15.2                   	50                       	1.5  	324                     	-72.104786	-39.307730   	302  	302         	314.500   	267.149   	4.9     	16.2          	4.3  	44.4     	096     	37   	1.189468
7                       	983.9	15.2                   	49                       	1.6  	319                     	-72.104735	-39.307734   	306  	306         	315.010   	266.983   	4.5     	16.1          	4.3  	44.4     	096     	43   	1.188994
8                       	983.4	15.1                   	48                       	1.7  	315                     	-72.104684	-39.307738   	310  	310         	315.621   	266.936   	4.3     	16.0          	4.3  	44.3     	096     	49   	1.188814
