Flight Information:
Launch Date:            	     	                       	Sunday, 13 December 2020	        	                        	          	Launch Time: 	       	            	22:02:13  	       	     	End of Ascent:	     	         	02:12:20
Station name:           	     	                       	                        	        	                        	          	Serialnumber:	       	            	20028095
Ground values:
Pressure:               	     	                       	989.1 hPa               	        	                        	          	Temperature: 	       	            	16.2 °C   	       	     	Humidity:     	     	         	55 %
Wind Direction:         	     	                       	343 °                   	        	                        	          	Wind Speed:  	       	            	1 m/s     	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-72.105 °               	        	                        	          	Latitude:    	       	            	-39.307 ° 	       	     	Altitude:     	     	         	260 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                        	        	                        	          	
Events:
Highest Point:          	     	                       	8.8 hPa                 	        	                        	          	35276 m
Tropopauses:            	     	                       	1.: 190.2 hPa           	        	                        	          	2.: 102.3 hPa	       	            	
Max Winds:              	     	                       	1.: 186.1 hPa           	        	                        	          	2.: 13.7 hPa 	       	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                      	Ws      	Wd                      	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                   	[%]                     	[m/s]   	[°]                     	[°]       	[°]          	[m]    	[m]         	          	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	989.1	16.2                   	55                      	0.7     	343                     	-72.105013	-39.307301   	260    	260         	308.550   	267.714	7.2  	17.3          	0.0  	39.3     	180     	0      	1.191063
1                       	988.5	16.2                   	55                      	0.8     	334                     	-72.104971	-39.307309   	265    	265         	309.212   	267.560	7.1  	17.3          	5.2  	55.1     	109     	7      	1.190400
2                       	987.9	16.2                   	55                      	0.9     	324                     	-72.104929	-39.307317   	271    	270         	309.875   	267.406	7.1  	17.3          	5.2  	54.8     	107     	13     	1.189737
3                       	987.3	16.2                   	55                      	1.0     	316                     	-72.104887	-39.307325   	276    	276         	310.521   	267.252	7.0  	17.3          	5.2  	54.5     	106     	19     	1.189075
4                       	986.7	16.1                   	54                      	1.1     	308                     	-72.104845	-39.307333   	281    	281         	311.184   	267.098	7.0  	17.2          	5.2  	54.4     	105     	26     	1.188413
5                       	986.1	16.1                   	54                      	1.2     	301                     	-72.104803	-39.307341   	286    	286         	311.846   	266.944	6.9  	17.2          	5.2  	54.4     	105     	32     	1.187751
6                       	985.5	16.1                   	54                      	1.2     	295                     	-72.104761	-39.307350   	291    	291         	312.509   	266.791	6.8  	17.2          	5.2  	54.4     	105     	39     	1.187090
7                       	984.9	16.1                   	54                      	1.3     	290                     	-72.104719	-39.307358   	296    	296         	313.180   	266.645	6.8  	17.2          	5.2  	54.4     	105     	45     	1.186465
8                       	984.3	16.0                   	54                      	1.4     	286                     	-72.104677	-39.307366   	302    	302         	313.869   	266.518	6.7  	17.1          	5.2  	54.4     	105     	51     	1.185917
9                       	983.7	16.0                   	54                      	1.5     	282                     	-72.104635	-39.307374   	307    	307         	314.543   	266.391	6.6  	17.1          	5.2  	54.3     	105     	58     	1.185369
10                      	983.1	16.0                   	54                      	1.6     	279                     	-72.104593	-39.307382   	312    	312         	315.233   	266.265	6.6  	17.0          	5.2  	54.3     	105     	64     	1.184821
11                      	982.5	15.9                   	53                      	1.7     	277                     	-72.104551	-39.307390   	317    	317         	315.923   	266.139	6.5  	17.0          	5.2  	54.3     	104     	71     	1.184273
12                      	981.9	15.9                   	53                      	1.8     	274                     	-72.104509	-39.307398   	322    	322         	316.613   	266.012	6.4  	16.9          	5.2  	54.3     	104     	77     	1.183726
13                      	981.3	15.8                   	53                      	1.9     	273                     	-72.104467	-39.307406   	328    	327         	317.304   	265.887	6.4  	16.9          	5.2  	54.3     	104     	83     	1.183182
14                      	980.7	15.8                   	53                      	2.0     	271                     	-72.104425	-39.307414   	333    	333         	317.995   	265.761	6.3  	16.9          	5.2  	54.3     	104     	90     	1.182639
15                      	980.1	15.7                   	53                      	2.1     	269                     	-72.104383	-39.307423   	338    	338         	318.670   	265.636	6.2  	16.8          	5.2  	54.3     	104     	96     	1.182095
16                      	979.5	15.7                   	53                      	2.2     	268                     	-72.104344	-39.307426   	343    	343         	319.361   	265.510	6.1  	16.8          	5.2  	54.5     	104     	102    	1.181552
17                      	978.9	15.7                   	53                      	2.2     	267                     	-72.104312	-39.307418   	348    	348         	320.052   	265.385	6.1  	16.7          	5.2  	55.0     	102     	108    	1.181009
18                      	978.3	15.6                   	53                      	2.3     	266                     	-72.104281	-39.307410   	353    	353         	320.712   	265.260	6.0  	16.7          	5.0  	55.4     	101     	113    	1.180467
19                      	977.8	15.6                   	53                      	2.4     	265                     	-72.104249	-39.307402   	358    	358         	321.325   	265.151	5.9  	16.6          	4.6  	55.7     	100     	119    	1.179999
20                      	977.3	15.5                   	52                      	2.5     	264                     	-72.104218	-39.307394   	362    	362         	321.943   	265.046	5.9  	16.6          	4.6  	55.9     	099     	124    	1.179546
21                      	976.8	15.5                   	52                      	2.6     	263                     	-72.104186	-39.307387   	367    	367         	322.573   	264.954	5.8  	16.5          	4.6  	56.1     	098     	129    	1.179125
22                      	976.2	15.4                   	52                      	2.7     	262                     	-72.104154	-39.307379   	372    	371         	323.218   	264.861	5.8  	16.5          	4.6  	56.3     	097     	134    	1.178704
23                      	975.7	15.4                   	52                      	2.8     	261                     	-72.104123	-39.307371   	376    	376         	323.848   	264.769	5.7  	16.4          	4.6  	56.5     	096     	140    	1.178284
24                      	975.2	15.3                   	52                      	2.9     	261                     	-72.104091	-39.307363   	381    	381         	324.478   	264.676	5.7  	16.3          	4.6  	56.6     	095     	145    	1.177863
25                      	974.6	15.3                   	52                      	3.0     	260                     	-72.104059	-39.307356   	386    	385         	325.107   	264.584	5.6  	16.3          	4.6  	56.7     	094     	150    	1.177442
26                      	974.1	15.2                   	52                      	3.1     	260                     	-72.104028	-39.307348   	390    	390         	325.737   	264.491	5.6  	16.2          	4.6  	56.8     	094     	156    	1.177021
27                      	973.6	15.2                   	52                      	3.1     	259                     	-72.103996	-39.307340   	395    	395         	326.367   	264.399	5.5  	16.2          	4.6  	56.9     	093     	161    	1.176601
28                      	973.0	15.1                   	53                      	3.2     	259                     	-72.103964	-39.307332   	399    	399         	326.997   	264.306	5.5  	16.1          	4.6  	57.0     	092     	166    	1.176180
29                      	972.5	15.1                   	53                      	3.3     	258                     	-72.103933	-39.307324   	404    	404         	327.626   	264.214	5.4  	16.1          	4.6  	57.1     	092     	172    	1.175760
30                      	972.0	15.0                   	53                      	3.4     	258                     	-72.103901	-39.307317   	409    	408         	328.256   	264.122	5.4  	16.0          	4.6  	57.2     	091     	177    	1.175340
31                      	971.5	14.9                   	53                      	3.4     	258                     	-72.103869	-39.307309   	413    	413         	328.886   	264.029	5.3  	15.9          	4.6  	57.2     	091     	182    	1.174919
32                      	970.9	14.9                   	53                      	3.3     	258                     	-72.103838	-39.307301   	418    	418         	329.532   	263.937	5.3  	15.9          	4.6  	57.3     	090     	188    	1.174499
33                      	970.4	14.8                   	53                      	3.3     	257                     	-72.103806	-39.307293   	422    	422         	330.162   	263.845	5.2  	15.8          	4.6  	57.4     	090     	193    	1.174079
34                      	969.9	14.8                   	53                      	3.2     	257                     	-72.103774	-39.307286   	427    	427         	330.783   	263.744	5.2  	15.8          	4.6  	57.4     	089     	198    	1.173609
35                      	969.3	14.8                   	53                      	3.2     	257                     	-72.103743	-39.307278   	432    	431         	331.404   	263.643	5.2  	15.7          	4.6  	57.5     	089     	204    	1.173134
36                      	968.8	14.7                   	53                      	3.1     	257                     	-72.103711	-39.307270   	436    	436         	332.026   	263.542	5.2  	15.7          	4.6  	57.5     	088     	209    	1.172658
37                      	968.3	14.7                   	53                      	3.1     	257                     	-72.103679	-39.307262   	441    	441         	332.647   	263.441	5.2  	15.7          	4.6  	57.6     	088     	214    	1.172183
38                      	967.8	14.6                   	53                      	3.0     	257                     	-72.103648	-39.307254   	445    	445         	333.268   	263.341	5.2  	15.6          	4.6  	57.6     	088     	220    	1.171707
39                      	967.2	14.6                   	53                      	3.0     	256                     	-72.103616	-39.307247   	450    	450         	333.890   	263.240	5.2  	15.6          	4.6  	57.6     	087     	225    	1.171232
40                      	966.7	14.6                   	53                      	2.9     	256                     	-72.103584	-39.307239   	455    	454         	334.512   	263.139	5.2  	15.5          	4.6  	57.7     	087     	231    	1.170757
41                      	966.2	14.5                   	53                      	2.9     	256                     	-72.103553	-39.307231   	459    	459         	335.133   	263.039	5.2  	15.5          	4.6  	57.7     	087     	236    	1.170282
42                      	965.7	14.5                   	53                      	2.8     	256                     	-72.103521	-39.307223   	464    	464         	335.755   	262.938	5.1  	15.5          	4.6  	57.7     	086     	241    	1.169807
43                      	965.1	14.4                   	54                      	2.8     	256                     	-72.103489	-39.307216   	469    	468         	336.396   	262.841	5.1  	15.4          	4.6  	57.7     	086     	247    	1.169349
44                      	964.6	14.4                   	54                      	2.7     	255                     	-72.103458	-39.307208   	473    	473         	337.021   	262.745	5.1  	15.4          	4.6  	57.8     	086     	252    	1.168891
45                      	964.1	14.4                   	54                      	2.7     	255                     	-72.103426	-39.307200   	478    	477         	337.647   	262.648	5.1  	15.3          	4.6  	57.8     	085     	258    	1.168434
46                      	963.6	14.3                   	54                      	2.6     	255                     	-72.103394	-39.307192   	482    	482         	338.272   	262.551	5.1  	15.3          	4.6  	57.8     	085     	263    	1.167976
47                      	963.1	14.3                   	54                      	2.6     	255                     	-72.103375	-39.307184   	487    	486         	338.848   	262.452	5.1  	15.3          	4.3  	58.0     	085     	268    	1.167506
48                      	962.6	14.2                   	54                      	2.5     	254                     	-72.103357	-39.307176   	491    	490         	339.404   	262.348	5.1  	15.2          	4.2  	58.2     	085     	272    	1.167020
49                      	962.1	14.2                   	54                      	2.5     	254                     	-72.103340	-39.307167   	495    	495         	339.968   	262.253	5.1  	15.2          	4.2  	58.3     	084     	276    	1.166573
50                      	961.6	14.2                   	54                      	2.4     	254                     	-72.103323	-39.307159   	499    	499         	340.533   	262.159	5.1  	15.2          	4.2  	58.5     	084     	281    	1.166126
51                      	961.1	14.1                   	54                      	2.4     	254                     	-72.103305	-39.307151   	503    	503         	341.098   	262.064	5.1  	15.1          	4.2  	58.7     	084     	285    	1.165679
52                      	960.7	14.1                   	54                      	2.3     	253                     	-72.103288	-39.307142   	508    	507         	341.663   	261.970	5.1  	15.1          	4.2  	58.9     	083     	290    	1.165233
53                      	960.2	14.1                   	54                      	2.3     	253                     	-72.103271	-39.307134   	512    	511         	342.228   	261.875	5.1  	15.1          	4.2  	59.0     	083     	294    	1.164786
54                      	959.7	14.0                   	55                      	2.2     	253                     	-72.103253	-39.307126   	516    	516         	342.793   	261.781	5.1  	15.0          	4.2  	59.2     	083     	298    	1.164340
55                      	959.2	14.0                   	55                      	2.2     	252                     	-72.103236	-39.307118   	520    	520         	343.358   	261.686	5.1  	15.0          	4.2  	59.3     	083     	303    	1.163894
56                      	958.8	14.0                   	55                      	2.1     	252                     	-72.103219	-39.307109   	524    	524         	343.922   	261.592	5.0  	15.0          	4.2  	59.5     	082     	307    	1.163447
57                      	958.3	13.9                   	55                      	2.1     	252                     	-72.103202	-39.307101   	529    	528         	344.487   	261.497	5.0  	14.9          	4.2  	59.6     	082     	312    	1.163001
58                      	957.8	13.9                   	55                      	2.0     	251                     	-72.103184	-39.307093   	533    	532         	345.052   	261.403	5.0  	14.9          	4.2  	59.7     	082     	316    	1.162556
59                      	957.3	13.9                   	55                      	2.0     	251                     	-72.103167	-39.307084   	537    	537         	345.617   	261.308	5.0  	14.9          	4.2  	59.9     	082     	321    	1.162110
60                      	956.8	13.8                   	55                      	1.9     	250                     	-72.103150	-39.307076   	541    	541         	346.183   	261.214	5.0  	14.8          	4.2  	60.0     	081     	325    	1.161665
61                      	956.4	13.8                   	55                      	1.9     	250                     	-72.103132	-39.307068   	545    	545         	346.756   	261.128	5.0  	14.8          	4.2  	60.1     	081     	329    	1.161258
62                      	955.9	13.8                   	55                      	2.0     	250                     	-72.103115	-39.307059   	550    	549         	347.328   	261.041	5.0  	14.8          	4.2  	60.2     	081     	334    	1.160851
63                      	955.4	13.7                   	55                      	2.0     	249                     	-72.103098	-39.307051   	554    	553         	347.901   	260.955	5.0  	14.7          	4.2  	60.3     	081     	338    	1.160444
64                      	954.9	13.7                   	55                      	2.0     	249                     	-72.103080	-39.307043   	558    	558         	348.474   	260.868	4.9  	14.7          	4.2  	60.5     	080     	343    	1.160038
65                      	954.5	13.6                   	56                      	2.1     	249                     	-72.103063	-39.307035   	562    	562         	349.047   	260.782	4.9  	14.6          	4.2  	60.6     	080     	347    	1.159632
66                      	954.0	13.6                   	56                      	2.1     	248                     	-72.103046	-39.307026   	566    	566         	349.620   	260.695	4.9  	14.6          	4.2  	60.7     	080     	352    	1.159225
67                      	953.5	13.6                   	56                      	2.1     	248                     	-72.103028	-39.307018   	571    	570         	350.193   	260.609	4.9  	14.5          	4.2  	60.8     	080     	356    	1.158819
68                      	953.0	13.5                   	56                      	2.1     	248                     	-72.103011	-39.307010   	575    	574         	350.766   	260.522	4.9  	14.5          	4.2  	60.9     	080     	361    	1.158413
69                      	952.6	13.5                   	56                      	2.2     	247                     	-72.102994	-39.307001   	579    	579         	351.339   	260.436	4.8  	14.4          	4.2  	61.0     	079     	365    	1.158006
70                      	952.1	13.4                   	56                      	2.2     	247                     	-72.102977	-39.306993   	583    	583         	351.912   	260.349	4.8  	14.4          	4.2  	61.1     	079     	370    	1.157600
71                      	951.6	13.4                   	56                      	2.2     	247                     	-72.102959	-39.306985   	587    	587         	352.485   	260.263	4.8  	14.4          	4.2  	61.1     	079     	374    	1.157195
72                      	951.1	13.3                   	56                      	2.3     	246                     	-72.102942	-39.306976   	592    	591         	353.058   	260.176	4.8  	14.3          	4.2  	61.2     	079     	378    	1.156789
73                      	950.6	13.3                   	56                      	2.3     	246                     	-72.102925	-39.306968   	596    	595         	353.605   	260.064	4.7  	14.3          	4.2  	61.3     	079     	383    	1.156266
74                      	950.0	13.2                   	56                      	2.3     	246                     	-72.102907	-39.306960   	600    	600         	354.157   	259.957	4.7  	14.2          	4.2  	61.4     	078     	387    	1.155764
75                      	949.4	13.2                   	56                      	2.3     	246                     	-72.102890	-39.306952   	604    	604         	354.715   	259.855	4.7  	14.2          	4.2  	61.5     	078     	392    	1.155279
76                      	948.9	13.1                   	56                      	2.4     	245                     	-72.102852	-39.306944   	610    	610         	355.524   	259.754	4.7  	14.1          	5.8  	61.5     	078     	399    	1.154793
77                      	948.3	13.1                   	57                      	2.4     	245                     	-72.102811	-39.306936   	616    	616         	356.364   	259.652	4.7  	14.1          	6.0  	61.4     	078     	406    	1.154309
78                      	947.7	13.0                   	57                      	2.4     	245                     	-72.102771	-39.306929   	622    	622         	357.205   	259.551	4.7  	14.0          	6.0  	61.4     	078     	413    	1.153824
79                      	947.0	13.0                   	57                      	2.5     	245                     	-72.102730	-39.306921   	628    	628         	358.002   	259.422	4.6  	14.0          	6.0  	61.3     	078     	420    	1.153214
80                      	946.4	12.9                   	57                      	2.5     	244                     	-72.102690	-39.306913   	634    	634         	358.815   	259.292	4.6  	13.9          	6.0  	61.3     	078     	427    	1.152605
81                      	945.7	12.9                   	57                      	2.5     	244                     	-72.102650	-39.306906   	640    	639         	359.628   	259.163	4.6  	13.9          	6.0  	61.3     	078     	433    	1.151995
82                      	945.0	12.8                   	57                      	2.5     	244                     	-72.102609	-39.306898   	646    	645         	360.425   	259.034	4.6  	13.8          	6.0  	61.2     	078     	440    	1.151387
83                      	944.4	12.8                   	57                      	2.6     	244                     	-72.102569	-39.306890   	652    	651         	361.238   	258.905	4.6  	13.8          	6.0  	61.2     	078     	447    	1.150778
84                      	943.7	12.7                   	57                      	2.6     	243                     	-72.102528	-39.306883   	658    	657         	362.051   	258.776	4.6  	13.7          	6.0  	61.2     	078     	454    	1.150170
85                      	943.0	12.7                   	58                      	2.6     	243                     	-72.102488	-39.306875   	664    	663         	362.848   	258.647	4.5  	13.6          	6.0  	61.1     	078     	461    	1.149561
86                      	942.4	12.6                   	58                      	2.7     	243                     	-72.102447	-39.306867   	670    	669         	363.661   	258.518	4.5  	13.6          	6.0  	61.1     	078     	468    	1.148953
87                      	941.7	12.6                   	58                      	2.7     	243                     	-72.102407	-39.306860   	676    	675         	364.460   	258.390	4.5  	13.5          	6.0  	61.1     	078     	475    	1.148348
88                      	941.0	12.5                   	58                      	2.7     	243                     	-72.102366	-39.306852   	682    	681         	365.278   	258.267	4.5  	13.5          	6.0  	61.0     	078     	482    	1.147765
89                      	940.4	12.5                   	58                      	2.7     	242                     	-72.102326	-39.306844   	688    	687         	366.097   	258.144	4.4  	13.4          	6.0  	61.0     	078     	489    	1.147183
90                      	939.7	12.4                   	58                      	2.8     	242                     	-72.102285	-39.306837   	694    	693         	366.900   	258.021	4.4  	13.4          	6.0  	61.0     	078     	496    	1.146601
91                      	939.0	12.3                   	58                      	2.8     	243                     	-72.102245	-39.306829   	700    	699         	367.719   	257.897	4.4  	13.3          	6.0  	60.9     	078     	503    	1.146018
92                      	938.3	12.3                   	58                      	2.9     	244                     	-72.102204	-39.306821   	706    	705         	368.538   	257.774	4.4  	13.2          	6.0  	60.9     	078     	510    	1.145436
93                      	937.7	12.2                   	58                      	2.9     	245                     	-72.102164	-39.306814   	711    	711         	369.341   	257.651	4.3  	13.2          	6.0  	60.9     	078     	517    	1.144854
94                      	937.0	12.2                   	59                      	3.0     	246                     	-72.102123	-39.306806   	717    	717         	370.160   	257.528	4.3  	13.1          	6.0  	60.9     	078     	524    	1.144272
95                      	936.3	12.1                   	59                      	3.0     	247                     	-72.102083	-39.306798   	723    	723         	370.979   	257.405	4.3  	13.1          	6.0  	60.8     	078     	531    	1.143691
96                      	935.7	12.1                   	59                      	3.1     	248                     	-72.102043	-39.306791   	729    	729         	371.782   	257.282	4.3  	13.0          	6.0  	60.8     	078     	538    	1.143110
97                      	935.0	12.0                   	59                      	3.2     	249                     	-72.102002	-39.306783   	735    	735         	372.601   	257.159	4.2  	13.0          	6.0  	60.8     	078     	545    	1.142528
98                      	934.4	11.9                   	59                      	3.2     	250                     	-72.101962	-39.306776   	741    	741         	373.420   	257.036	4.2  	12.9          	6.0  	60.8     	078     	552    	1.141947
