Flight Information:
Launch Date:            	     	                       	Sunday, 13 December 2020	        	                   	          	Launch Time: 	       	            	23:02:03  	       	     	End of Ascent:	     	         	02:04:01
Station name:           	     	                       	                        	        	                   	          	Serialnumber:	       	            	20028023
Ground values:
Pressure:               	     	                       	988.7 hPa               	        	                   	          	Temperature: 	       	            	15.8 °C   	       	     	Humidity:     	     	         	64 %
Wind Direction:         	     	                       	240 °                   	        	                   	          	Wind Speed:  	       	            	0 m/s     	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-72.105 °               	        	                   	          	Latitude:    	       	            	-39.307 ° 	       	     	Altitude:     	     	         	285 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                        	        	                   	          	
Events:
Highest Point:          	     	                       	7.3 hPa                 	        	                   	          	33584 m
Tropopauses:            	     	                       	1.: 189.0 hPa           	        	                   	          	             	       	            	
Max Winds:              	     	                       	1.: 183.4 hPa           	        	                   	          	2.: 9.5 hPa  	       	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                      	Ws      	Wd                 	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                   	[%]                     	[m/s]   	[°]                	[°]       	[°]          	[m]    	[m]         	          	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	988.7	15.8                   	64                      	0.4     	240                	-72.105042	-39.307491   	285    	285         	313.175   	268.383	9.0  	17.1          	0.0  	39.3     	180     	0      	1.192230
1                       	988.2	15.9                   	63                      	0.5     	233                	-72.105027	-39.307479   	290    	290         	313.628   	268.146	8.8  	17.1          	4.4  	71.0     	053     	5      	1.191393
2                       	987.7	15.9                   	62                      	0.6     	228                	-72.105012	-39.307467   	294    	294         	314.082   	267.908	8.6  	17.1          	4.4  	69.1     	048     	10     	1.190558
3                       	987.2	16.0                   	61                      	0.7     	224                	-72.104997	-39.307455   	299    	299         	314.551   	267.671	8.4  	17.2          	4.4  	68.5     	046     	15     	1.189722
4                       	986.6	16.0                   	60                      	0.7     	221                	-72.104982	-39.307442   	303    	303         	315.005   	267.434	8.1  	17.2          	4.4  	68.2     	046     	19     	1.188888
5                       	986.1	16.1                   	58                      	0.8     	219                	-72.104967	-39.307430   	307    	307         	315.459   	267.197	7.9  	17.2          	4.4  	67.9     	045     	24     	1.188054
6                       	985.6	16.1                   	57                      	0.9     	217                	-72.104952	-39.307418   	312    	312         	315.913   	266.960	7.7  	17.3          	4.4  	67.8     	045     	29     	1.187221
7                       	985.1	16.1                   	56                      	1.0     	215                	-72.104937	-39.307406   	316    	316         	316.443   	266.784	7.4  	17.3          	4.4  	67.7     	045     	34     	1.186633
8                       	984.6	16.0                   	56                      	1.1     	214                	-72.104922	-39.307394   	321    	321         	317.051   	266.701	7.3  	17.2          	4.4  	67.6     	045     	39     	1.186275
9                       	984.1	16.0                   	56                      	1.2     	213                	-72.104907	-39.307382   	325    	325         	317.660   	266.619	7.2  	17.1          	4.4  	67.6     	045     	43     	1.185917
10                      	983.6	15.9                   	56                      	1.3     	212                	-72.104892	-39.307369   	330    	329         	318.268   	266.536	7.2  	17.0          	4.4  	67.5     	044     	48     	1.185559
11                      	983.1	15.9                   	56                      	1.3     	211                	-72.104877	-39.307357   	334    	334         	318.892   	266.454	7.1  	17.0          	4.4  	67.5     	044     	53     	1.185201
12                      	982.6	15.8                   	56                      	1.4     	210                	-72.104862	-39.307345   	338    	338         	319.500   	266.371	7.0  	16.9          	4.4  	67.5     	044     	58     	1.184844
13                      	982.0	15.7                   	56                      	1.5     	210                	-72.104847	-39.307333   	343    	343         	320.108   	266.288	6.9  	16.8          	4.4  	67.4     	044     	63     	1.184485
14                      	981.5	15.7                   	56                      	1.6     	209                	-72.104832	-39.307321   	347    	347         	320.716   	266.206	6.8  	16.8          	4.4  	67.4     	044     	67     	1.184127
15                      	981.0	15.6                   	56                      	1.7     	209                	-72.104817	-39.307309   	352    	352         	321.340   	266.123	6.8  	16.7          	4.4  	67.4     	044     	72     	1.183770
16                      	980.5	15.5                   	55                      	1.8     	208                	-72.104796	-39.307291   	356    	356         	321.948   	266.040	6.7  	16.6          	4.4  	66.8     	044     	77     	1.183412
17                      	980.0	15.5                   	55                      	1.9     	208                	-72.104763	-39.307263   	361    	360         	322.556   	265.958	6.6  	16.6          	4.4  	65.4     	044     	83     	1.183055
18                      	979.5	15.4                   	55                      	2.0     	208                	-72.104731	-39.307236   	365    	365         	323.165   	265.875	6.5  	16.5          	4.4  	64.1     	044     	89     	1.182697
19                      	978.9	15.4                   	55                      	2.0     	207                	-72.104698	-39.307209   	370    	370         	323.834   	265.775	6.4  	16.4          	4.9  	63.2     	044     	95     	1.182262
20                      	978.4	15.3                   	55                      	2.1     	207                	-72.104666	-39.307181   	375    	375         	324.517   	265.673	6.4  	16.4          	5.0  	62.4     	044     	101    	1.181807
21                      	977.8	15.2                   	55                      	2.2     	207                	-72.104633	-39.307154   	380    	380         	325.199   	265.571	6.3  	16.3          	5.0  	61.7     	044     	108    	1.181336
22                      	977.2	15.2                   	55                      	2.3     	206                	-72.104601	-39.307126   	385    	385         	325.882   	265.468	6.3  	16.3          	5.0  	61.0     	043     	114    	1.180865
23                      	976.6	15.1                   	55                      	2.4     	206                	-72.104568	-39.307099   	390    	390         	326.564   	265.366	6.2  	16.2          	5.0  	60.4     	043     	120    	1.180394
24                      	976.1	15.1                   	55                      	2.5     	206                	-72.104536	-39.307071   	395    	395         	327.247   	265.263	6.2  	16.1          	5.0  	59.9     	043     	127    	1.179924
25                      	975.5	15.0                   	55                      	2.5     	206                	-72.104503	-39.307044   	400    	400         	327.913   	265.160	6.2  	16.1          	5.0  	59.4     	043     	133    	1.179451
26                      	974.9	15.0                   	55                      	2.6     	205                	-72.104471	-39.307016   	405    	405         	328.596   	265.058	6.1  	16.0          	5.0  	59.0     	043     	140    	1.178979
27                      	974.3	14.9                   	55                      	2.7     	205                	-72.104438	-39.306989   	410    	409         	329.278   	264.955	6.1  	16.0          	5.0  	58.6     	043     	146    	1.178506
28                      	973.8	14.9                   	55                      	2.8     	205                	-72.104406	-39.306961   	415    	414         	329.960   	264.852	6.0  	15.9          	5.0  	58.3     	043     	152    	1.178034
29                      	973.2	14.8                   	55                      	2.9     	205                	-72.104373	-39.306934   	420    	419         	330.642   	264.749	6.0  	15.9          	5.0  	58.0     	043     	159    	1.177562
30                      	972.6	14.8                   	55                      	3.0     	205                	-72.104341	-39.306906   	425    	424         	331.309   	264.647	5.9  	15.8          	5.0  	57.6     	043     	165    	1.177091
31                      	972.1	14.7                   	55                      	3.0     	206                	-72.104308	-39.306879   	430    	429         	331.991   	264.544	5.9  	15.7          	5.0  	57.4     	043     	172    	1.176618
32                      	971.5	14.7                   	55                      	3.1     	208                	-72.104276	-39.306851   	435    	434         	332.673   	264.441	5.9  	15.7          	5.0  	57.1     	043     	178    	1.176146
